Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,227.7301,340.50986,0.0,0.24617386,0.0,0.0,0.0,0.0,0.0,173.59593,0.0,0.0,49.522633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.79115,0.0,0.0,40.47214,6.6047363,0.0,0.0,81.79884,0.0,0.0,0.0,0.0,0.0,78.89675,42.808887,0.0,0.0,0.0,0.0,42.298046,0.0,11.073299,0.0,10.430702,53.540707,0.0,0.0,0.0
2026-02-01,225.08795,336.52753,0.0,0.12137985,0.0,0.0,0.0,0.0,0.0,171.59415,0.0,0.0,48.89875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.157394,0.0,0.0,39.922142,6.439789,0.0,0.0,81.13173,0.0,0.0,0.0,0.0,0.0,77.9939,42.340454,0.0,0.0,0.0,0.0,41.74885,0.0,10.848312,0.0,10.204182,52.96378,0.0,0.0,0.0
2026-03-01,222.70561,332.94135,0.0,0.013687134,0.0,0.0,0.0,0.0,0.0,169.78564,0.0,0.0,48.333412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5863,0.0,0.0,39.4217,6.2994347,0.0,0.0,80.56128,0.0,0.0,0.0,0.0,0.0,77.18114,41.93087,0.0,0.0,0.0,0.0,41.255104,0.0,10.649899,0.0,10.00808,52.448814,0.0,0.0,0.0
2026-04-01,220.48889,329.59964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0844,0.0,0.0,47.799934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.051025,0.0,0.0,38.94632,6.180523,0.0,0.0,80.08322,0.0,0.0,0.0,0.0,0.0,76.42842,41.56672,0.0,0.0,0.0,0.0,40.799034,0.0,10.483402,0.0,9.839172,51.979866,0.0,0.0,0.0
2026-05-01,219.28319,327.7268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.09677,0.0,0.0,47.474194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.731194,0.0,0.0,38.653915,6.145088,0.0,0.0,79.941574,0.0,0.0,0.0,0.0,0.0,75.961044,41.38617,0.0,0.0,0.0,0.0,40.521633,0.0,10.403336,0.0,9.750877,51.69236,0.0,0.0,0.0
2026-06-01,219.5466,327.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.15674,0.0,0.0,47.453323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.723114,0.0,0.0,38.635796,6.2183647,0.0,0.0,80.2253,0.0,0.0,0.0,0.0,0.0,75.89456,41.450565,0.0,0.0,0.0,0.0,40.49562,0.0,10.430923,0.0,9.763226,51.65088,0.0,0.0,0.0
2026-07-01,220.47023,329.22824,0.0,0.008369446,0.0,0.0,0.0,0.0,0.0,167.68202,0.0,0.0,47.563972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.84851,0.0,0.0,38.73795,6.3368187,0.0,0.0,80.6749,0.0,0.0,0.0,0.0,0.0,75.991554,41.615246,0.0,0.0,0.0,0.0,40.57183,0.0,10.49696,0.0,9.810631,51.704685,0.0,0.0,0.0
2026-08-01,222.44548,331.99707,0.0,0.13095474,0.0,0.0,0.0,0.0,0.0,168.96266,0.0,0.0,47.892708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.191547,0.0,0.0,39.036148,6.5252533,0.0,0.0,81.39792,0.0,0.0,0.0,0.0,0.0,76.37149,41.946278,0.0,0.0,0.0,0.0,40.82355,0.0,10.628719,0.0,9.9218445,51.925022,0.0,0.0,0.0
2026-09-01,224.42969,334.77515,0.0,0.25639343,0.0,0.0,0.0,0.0,0.0,170.24521,0.0,0.0,48.22144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.535133,0.0,0.0,39.33303,6.717449,0.0,0.0,82.1372,0.0,0.0,0.0,0.0,0.0,76.757034,42.28087,0.0,0.0,0.0,0.0,41.078186,0.0,10.763409,0.0,10.03442,52.148693,0.0,0.0,0.0
2026-10-01,225.77625,336.61862,0.0,0.34958267,0.0,0.0,0.0,0.0,0.0,171.07495,0.0,0.0,48.42324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.748466,0.0,0.0,39.51255,6.862961,0.0,0.0,82.703705,0.0,0.0,0.0,0.0,0.0,76.98848,42.512096,0.0,0.0,0.0,0.0,41.233494,0.0,10.858246,0.0,10.110142,52.280125,0.0,0.0,0.0
