Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,6.4775248,8.235437,0.01220584,0.42484638,0.07663847,0.4107193,0.031927306,0.17492555,0.20391932,3.9233909,0.040993884,0.067436986,1.1856055,0.113843165,0.0459962,0.09862192,0.059974685,0.20852198,0.7467697,0.32555965,1.3928227,0.033256482,0.2906076,1.1819345,0.73685193,0.09450797,0.27084613,3.2296524,0.015096389,0.10486399,0.31497145,0.042950206,0.0745248,1.8285565,1.3919078,0.16133854,0.05195719,0.11374693,0.10634283,1.0198191,0.02131502,0.68160474,0.39485896,0.60469913,1.2445036,0.23136868,0.035852168,0.013459954
2026-02-01,6.3880925,8.10806,0.012149654,0.42128468,0.07598533,0.40626544,0.03171878,0.17360175,0.20175225,3.8751762,0.04066858,0.06683244,1.1729918,0.11288513,0.045606732,0.09780223,0.05942154,0.20662746,0.7360458,0.32250786,1.37887,0.03298149,0.28847724,1.1692048,0.7305156,0.09376961,0.2683076,3.1914115,0.015030891,0.103775606,0.31254405,0.042588715,0.07371952,1.803058,1.375728,0.15949647,0.05160618,0.112862006,0.10549448,1.0088682,0.021136949,0.67440736,0.3917375,0.59864736,1.2307588,0.2296157,0.03565028,0.013368435
2026-03-01,6.303972,7.988754,0.012095592,0.4180077,0.075373836,0.40212098,0.03152994,0.17231615,0.19972183,3.8295453,0.04037736,0.066265285,1.1610644,0.11205791,0.045248568,0.09702302,0.058893852,0.20485035,0.72600293,0.3197291,1.36548,0.03274817,0.28654385,1.1566482,0.7247772,0.09311809,0.26594242,3.1576416,0.014963449,0.10273652,0.31022787,0.042249456,0.07294321,1.7796999,1.360733,0.15775491,0.05130218,0.11203776,0.104682475,0.9985469,0.020974396,0.6678646,0.388877,0.59284806,1.2180568,0.22793874,0.035463337,0.013283757
2026-04-01,6.2202964,7.869548,0.01203729,0.41487956,0.07475226,0.39803866,0.031351697,0.17097136,0.1976537,3.7848465,0.040084727,0.06566944,1.1491381,0.11130138,0.044886973,0.0962292,0.05836364,0.2030751,0.7161046,0.3169602,1.351898,0.032532804,0.2845857,1.1441841,0.7192161,0.09249738,0.26354444,3.12652,0.01489921,0.10170866,0.30786455,0.04190026,0.07213517,1.7567759,1.3455371,0.15599628,0.051009238,0.11122341,0.10383707,0.9883184,0.0208059,0.66148615,0.38607788,0.5869797,1.2054168,0.2262417,0.03529321,0.013199468
2026-05-01,6.1692295,7.7926426,0.012002399,0.41300324,0.074373886,0.3955662,0.031259954,0.17014904,0.1961807,3.7593715,0.039909553,0.065237,1.1416279,0.11096187,0.04464746,0.09565727,0.058004502,0.20183949,0.7093434,0.31525975,1.3430506,0.032404855,0.28336778,1.1360838,0.71605694,0.092120305,0.26197478,3.1094818,0.014880496,0.10100188,0.30640152,0.041649673,0.071530156,1.7410324,1.3352716,0.15473126,0.050841223,0.11068956,0.10317763,0.981963,0.020687483,0.6572235,0.38424256,0.5827994,1.1969244,0.22517344,0.035205517,0.013145398
2026-06-01,6.1703134,7.7837977,0.012005157,0.41294387,0.07435592,0.39550748,0.031300075,0.17021094,0.19576664,3.7653742,0.03991397,0.065078765,1.1417582,0.11121054,0.044614136,0.09547236,0.057923168,0.20158735,0.70741427,0.31524116,1.3423303,0.032388728,0.28331515,1.135523,0.71634316,0.09208467,0.26175705,3.111914,0.014923405,0.100789964,0.3064608,0.041580874,0.0712645,1.7361677,1.332737,0.15429744,0.05087526,0.110649206,0.10292491,0.98159915,0.020651596,0.6561407,0.38388008,0.58142006,1.1951208,0.22514196,0.03523478,0.0131313065
2026-07-01,6.1961994,7.806822,0.012025067,0.41382915,0.074526526,0.3966934,0.031410523,0.17071773,0.19583681,3.7878249,0.04001359,0.065078534,1.1456356,0.1117599,0.044691566,0.09547929,0.057989813,0.2018526,0.7079862,0.31603163,1.3453939,0.032426704,0.28386444,1.1387558,0.71834767,0.09222674,0.2622026,3.1233404,0.015000749,0.10081933,0.30737165,0.041604362,0.07119617,1.7362196,1.333822,0.1542625,0.051015526,0.11082977,0.102872096,0.9842389,0.02065399,0.65644956,0.3842006,0.5812648,1.196393,0.22556373,0.03532184,0.013137281
2026-08-01,6.2621827,7.8817015,0.0120771825,0.41624835,0.07499793,0.3998171,0.031625733,0.17191753,0.19674018,3.8343132,0.040268656,0.06532522,1.1550595,0.11276753,0.044941153,0.09580349,0.058288965,0.20281877,0.7125551,0.31802762,1.3547215,0.032562904,0.28537205,1.1477212,0.7231665,0.09266809,0.2636253,3.1491458,0.015123693,0.101262495,0.30949667,0.04177285,0.07143833,1.7447774,1.3411175,0.1549288,0.05131934,0.111366056,0.10311591,0.9916318,0.020723725,0.6593067,0.38567916,0.5833586,1.2029858,0.2267286,0.03549696,0.0131779965
2026-09-01,6.328064,7.9567475,0.012130971,0.4188149,0.07548678,0.40303302,0.031845663,0.17312124,0.19760725,3.8810024,0.040533204,0.0655927,1.1643523,0.11380492,0.045193028,0.09613054,0.058601536,0.20374508,0.7173647,0.32001793,1.3639381,0.032704275,0.2869371,1.1566663,0.72814447,0.09311254,0.26502153,3.1756575,0.01525031,0.10173227,0.3116895,0.04193736,0.07170799,1.7536453,1.3487015,0.15561785,0.05161787,0.11189412,0.1033311,0.9993293,0.02079214,0.6620351,0.38714755,0.58547544,1.2098689,0.2278953,0.03567329,0.013221724
2026-10-01,6.369625,8.001241,0.012166675,0.42046466,0.07578107,0.40511853,0.032003418,0.17392375,0.19799055,3.9139693,0.040705282,0.06573574,1.1701038,0.114540614,0.04534783,0.096282534,0.058782913,0.20422637,0.72003,0.32120997,1.3694184,0.032779373,0.28789422,1.1624308,0.73128325,0.093356825,0.26580244,3.192983,0.015347406,0.10198875,0.31321728,0.042016678,0.07184933,1.758025,1.3529319,0.15594128,0.051812913,0.11222921,0.10338313,1.0043875,0.02082252,0.6632776,0.38795838,0.58646274,1.2143798,0.22859855,0.035797786,0.013244657
