Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-01-01,274.5448,390.77005,1.2250551,35.197617,7.278345,23.751799,2.7330904,17.457556,18.438828,215.40453,2.8061628,6.201959,85.965164,4.0012712,4.0851583,9.279751,4.713549,21.116884,30.674105,33.021656,99.639824,2.9003637,25.16415,76.90748,42.16771,9.482648,31.526077,122.2477,0.22893839,8.6938,34.691437,3.5965986,6.9781075,116.599464,79.65577,10.443188,4.968897,15.187408,15.938294,78.415634,2.0972822,46.52799,31.87513,45.734657,90.09868,27.277199,5.0336056,1.5821918
2026-02-01,271.72736,386.53806,1.2243279,35.06584,7.242584,23.599648,2.724263,17.379307,18.33075,213.30824,2.7950146,6.179068,85.31656,3.991213,4.0688066,9.251279,4.6927824,21.003819,30.44619,32.85053,98.97872,2.8937953,25.087011,76.33253,41.990345,9.455332,31.357855,121.50564,0.23101091,8.651495,34.52836,3.5854104,6.9437547,115.64663,79.155624,10.3879,4.9543858,15.128269,15.877877,77.84498,2.0882044,46.288895,31.789204,45.496273,89.49481,27.152004,5.0255694,1.5813124
2026-03-01,269.18015,382.71805,1.2237544,34.951725,7.210124,23.462212,2.716483,17.309511,18.233213,211.4103,2.7850873,6.158831,84.727844,3.9825027,4.054068,9.226959,4.6740665,20.899136,30.242214,32.69448,98.381386,2.8882782,25.018927,75.80747,41.83874,9.432155,31.203424,120.868996,0.232805,8.613662,34.383446,3.5756073,6.9126034,114.78809,78.71665,10.338485,4.9418993,15.075172,15.82279,77.331,2.0798254,46.077656,31.718208,45.288807,88.95495,27.038713,5.0190067,1.5806996
2026-04-01,266.7994,379.1427,1.2237185,34.85401,7.179521,23.33619,2.7096438,17.24469,18.142376,209.62144,2.7761166,6.140523,84.17099,3.9759285,4.04047,9.205893,4.656942,20.798094,30.05639,32.545486,97.81949,2.8837986,24.96059,75.30766,41.70893,9.412396,31.054934,120.32995,0.2352072,8.578905,34.250565,3.567168,6.8838058,113.99044,78.322716,10.294375,4.9311543,15.026685,15.772406,76.85488,2.072015,45.89866,31.667263,45.108395,88.46123,26.932838,5.0143785,1.5807829
2026-05-01,265.49362,377.11914,1.2253033,34.817986,7.162268,23.272493,2.7074714,17.209347,18.090294,208.5839,2.7725642,6.131867,83.83053,3.9801803,4.0334597,9.198817,4.6487436,20.728783,29.966097,32.45028,97.482315,2.8838198,24.94033,74.99938,41.667305,9.405693,30.95513,120.1549,0.23945422,8.560765,34.176003,3.5649302,6.8677173,113.49221,78.12205,10.273737,4.927469,14.995513,15.738315,76.565025,2.0672402,45.810238,31.669214,45.01191,88.157074,26.86085,5.014249,1.5825322
2026-06-01,265.75916,377.3744,1.2287039,34.86176,7.1648583,23.29848,2.711867,17.216072,18.094,208.65561,2.7768705,6.136762,83.80991,3.999219,4.0360126,9.210245,4.653538,20.708784,30.012724,32.435707,97.472824,2.8897326,24.97043,74.98016,41.741142,9.415757,30.929346,120.4434,0.24568455,8.56615,34.18269,3.5711288,6.8698707,113.41619,78.18147,10.285484,4.9331274,14.98798,15.72737,76.5383,2.0669246,45.835705,31.731003,45.021553,88.11206,26.83776,5.0189986,1.5859985
2026-07-01,266.73352,378.64835,1.2327754,34.938217,7.1764235,23.364662,2.7191684,17.241058,18.121986,209.2249,2.7847588,6.1475344,83.92816,4.025072,4.0428267,9.229445,4.664232,20.709845,30.119682,32.455505,97.604225,2.8981173,25.021948,75.08865,41.863525,9.432518,30.9348,120.91539,0.25263086,8.581593,34.222855,3.580975,6.8798747,113.51329,78.34828,10.310834,4.9425893,14.989756,15.725541,76.61968,2.0685546,45.902344,31.813122,45.068653,88.16836,26.833424,5.0252247,1.5900158
2026-08-01,268.8381,381.56393,1.2378119,35.065544,7.202343,23.494156,2.7309196,17.295567,18.18999,210.59666,2.7981362,6.1676693,84.27537,4.060687,4.056413,9.260915,4.684094,20.745956,30.323355,32.531914,97.965546,2.910336,25.105156,75.40443,42.061405,9.460056,30.992464,121.68899,0.2605342,8.613692,34.318623,3.59643,6.902812,113.91,78.69361,10.3584175,4.9581704,15.007499,15.73872,76.885895,2.073402,46.039703,31.927134,45.18397,88.40162,26.861967,5.0338926,1.5948329
2026-09-01,270.95145,384.4891,1.2430954,35.196014,7.2282314,23.624548,2.7427204,17.350248,18.258509,211.97072,2.81152,6.187892,84.622314,4.097116,4.070019,9.292823,4.704024,20.781557,30.527624,32.60774,98.327194,2.9227667,25.190588,75.71884,42.263355,9.488042,31.04938,122.48023,0.2689125,8.645901,34.415104,3.612053,6.9258733,114.31293,79.04307,10.406298,4.97388,15.025782,15.7520275,77.15562,2.0782964,46.17974,32.04606,45.300697,88.63878,26.890457,5.042904,1.5998915
2026-10-01,272.37946,386.4198,1.2476877,35.29244,7.245529,23.7155,2.7515626,17.386799,18.303608,212.86508,2.821341,6.202124,84.83539,4.1267138,4.079449,9.316542,4.718195,20.797651,30.6724,32.65039,98.55127,2.9326065,25.254587,75.90966,42.41502,9.508906,31.076956,123.080696,0.27653858,8.668236,34.477417,3.623893,6.9413652,114.55295,79.282585,10.440258,4.9855266,15.035217,15.756787,77.32084,2.081395,46.277016,32.14386,45.378353,88.77905,26.901426,5.0502944,1.6043563
