Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-01-01,321.3595,441.03024,35.36772,70.14906,41.547302,58.675552,36.91441,51.91915,52.957253,257.2131,37.005257,40.452877,122.4077,38.343147,38.294056,43.591793,38.949844,55.644333,66.256516,67.778496,136.4885,37.08429,59.852486,113.34282,77.73068,43.786625,66.175674,162.69656,34.377274,43.018074,69.42752,37.799526,41.24292,154.30219,116.502655,44.878155,39.189476,49.529095,50.26547,114.53322,36.257805,81.98268,66.76779,81.03861,126.65665,61.849426,39.22262,35.727318
2026-02-01,318.36676,436.54858,35.366886,70.0103,41.510258,58.51467,36.905174,51.83831,52.84493,255.02234,36.99347,40.428806,121.73437,38.331215,38.27694,43.561714,38.927994,55.527554,66.00758,67.60139,135.80005,37.077183,59.77117,112.74291,77.5409,43.757866,66.00248,161.87955,34.379215,42.97364,69.25969,37.78763,41.20699,153.29936,115.970795,44.81926,39.17428,49.468224,50.20339,113.9411,36.248375,81.72948,66.67575,80.78836,126.02585,61.720795,39.214188,35.72626
2026-03-01,315.65466,432.49475,35.366207,69.88976,41.4766,58.369114,36.897026,51.76599,52.743416,253.03494,36.98297,40.407455,121.12228,38.32088,38.2615,43.53587,38.90824,55.419388,65.78392,67.439896,135.17647,37.07121,59.699295,112.193245,77.37805,43.73341,65.843414,161.17671,34.380875,42.93377,69.11024,37.77716,41.174316,152.39505,115.50243,44.76643,39.161194,49.41351,50.146713,113.4069,36.23968,81.50542,66.59915,80.569534,125.46108,61.604218,39.20726,35.72548
2026-04-01,313.10992,428.68576,35.366055,69.78592,41.44478,58.23509,36.88984,51.698536,52.64852,251.1585,36.973427,40.387978,120.542046,38.312824,38.247192,43.513245,38.890076,55.314865,65.5787,67.28548,134.58795,37.066307,59.637123,111.66901,77.237335,43.712433,65.69022,160.57668,34.383152,42.896996,68.972725,37.768036,41.143932,151.55246,115.07871,44.718872,39.14988,49.363426,50.094673,112.91073,36.231537,81.31392,66.542725,80.37762,124.94259,61.495014,39.202297,35.7254
2026-05-01,311.70404,426.51147,35.367573,69.746216,41.426785,58.16655,36.88748,51.661583,52.59355,250.07101,36.969532,40.378475,120.18686,38.316406,38.23971,43.50505,38.881176,55.243134,65.47515,67.186935,134.23343,37.06608,59.614475,111.34485,77.18952,43.704994,65.58734,160.36823,34.387363,42.877472,68.895294,37.76531,41.12666,151.02338,114.857925,44.695755,39.14586,49.33121,50.059288,112.60841,36.226532,81.21714,66.54108,80.27294,124.62179,61.420937,39.201996,35.72704
2026-06-01,311.9717,426.7494,35.370975,69.78987,41.42934,58.19242,36.89196,51.66843,52.596443,250.15448,36.973846,40.38306,120.166504,38.335934,38.242203,43.516113,38.88581,55.22264,65.518,67.172325,134.22253,37.071957,59.64447,111.32453,77.263916,43.714985,65.561134,160.6615,34.39368,42.882442,68.9021,37.77137,41.128292,150.93782,114.912384,44.70665,39.15159,49.323597,50.047848,112.58098,36.226147,81.240486,66.60215,80.27988,124.57324,61.39778,39.206802,35.73048
2026-07-01,312.99683,428.06845,35.37509,69.868065,41.44124,58.260925,36.89948,51.69441,52.62457,250.76778,36.98193,40.39383,120.29235,38.36286,38.24917,43.535328,38.896633,55.22422,65.62608,67.19367,134.35994,37.080418,59.697067,111.43936,77.39023,43.732025,65.56746,161.15588,34.400776,42.89794,68.944046,37.78126,41.138165,151.03503,115.081314,44.73193,39.161324,49.32573,50.045914,112.667534,36.22778,81.307724,66.6849,80.326675,124.632034,61.39427,39.213196,35.73451
2026-08-01,315.2307,431.1308,35.380226,70.00014,41.468082,58.39654,36.911648,51.75127,52.694344,252.23067,36.995808,40.41445,120.65803,38.400455,38.26324,43.567432,38.917084,55.262226,65.83871,67.27399,134.73955,37.092903,59.78323,111.772705,77.59756,43.76043,65.627914,161.98006,34.40892,42.930912,69.043976,37.79705,41.161575,151.44852,115.44095,44.780823,39.1775,49.34452,50.05957,112.94824,36.232765,81.45068,66.80181,80.4461,124.87822,61.425102,39.22221,35.739407
2026-09-01,317.4732,434.20306,35.385616,70.135635,41.494926,58.533234,36.92388,51.80831,52.764565,253.69623,37.00971,40.4352,121.02319,38.438915,38.27734,43.599983,38.93763,55.299644,66.05241,67.353714,135.11926,37.105614,59.871727,112.10465,77.809265,43.789284,65.68757,162.82327,34.41755,42.96404,69.14476,37.812996,41.185165,151.86882,115.80527,44.830055,39.193794,49.36384,50.073303,113.23305,36.237793,81.59607,66.923615,80.56697,125.12886,61.455875,39.231567,35.74455
2026-10-01,318.98267,436.22098,35.390278,70.23529,41.512802,58.628277,36.933033,51.84643,52.810413,254.65521,37.019867,40.44971,121.247536,38.469955,38.287075,43.624,38.952156,55.31668,66.2024,67.398705,135.35406,37.115597,59.937607,112.30677,77.96708,43.81063,65.716675,163.45769,34.425365,42.986877,69.21007,37.82499,41.20093,152.11742,116.05307,44.864647,39.205826,49.37393,50.07816,113.40819,36.24095,81.695786,67.023,80.64656,125.277985,61.468224,39.2392,35.749058
2026-11-01,320.9607,438.91702,35.395504,70.35663,41.53636,58.749344,36.944016,51.896545,52.872734,255.9407,37.03224,40.46806,121.56635,38.504894,38.299553,43.6532,38.970356,55.348515,66.39444,67.467155,135.6844,37.12727,60.01565,112.59366,78.157364,43.836952,65.76779,164.24812,34.433826,43.016945,69.2988,37.83939,41.22217,152.49916,116.38106,44.909546,39.220676,49.391586,50.0904,113.663895,36.245476,81.83857,67.14408,80.76515,125.51079,61.49608,39.24874,35.754196
2026-12-01,323.03162,441.73126,35.401115,70.48091,41.56097,58.87494,36.955456,51.94851,52.937595,257.2862,37.04514,40.487057,121.89978,38.542007,38.31253,43.683456,38.98932,55.382362,66.59497,67.53874,136.02817,37.139572,60.09567,112.89371,78.354225,43.864174,65.82189,165.07204,34.44305,43.04851,69.389496,37.854416,41.244354,152.89685,116.7196,44.956142,39.23604,49.409103,50.102165,113.92825,36.25019,81.98413,67.271194,80.88696,125.75078,61.52443,39.258644,35.759678
2027-01-01,323.9548,442.87692,35.406105,70.55549,41.571636,58.93757,36.962692,51.971115,52.962822,257.8193,37.052822,40.496857,121.99872,38.570816,38.3189,43.70198,38.999413,55.378845,66.69761,67.5513,136.13397,37.148506,60.145195,112.98042,78.47768,43.880882,65.8208,165.59372,34.452007,43.06366,69.4235,37.864166,41.25374,152.98233,116.87491,44.98037,39.245422,49.409554,50.096733,114.00171,36.251705,82.05388,67.369354,80.93576,125.803375,61.51654,39.26623,35.764637
2027-02-01,325.20264,444.4848,35.411404,70.64397,41.586105,59.01775,36.971073,52.00171,52.99907,258.57797,37.061893,40.50917,122.16301,38.60226,38.32708,43.723663,39.01196,55.38638,66.82738,67.580734,136.30698,37.1584,60.20353,113.12665,78.621155,43.90045,65.83579,166.20181,34.46137,43.08347,69.47308,37.87543,41.266773,153.1579,117.08104,45.01104,39.256413,49.415176,50.096786,114.12993,36.25418,82.148254,67.47862,81.006424,125.91118,61.519352,39.27469,35.7699
2027-03-01,327.22507,447.20905,35.417683,70.770874,41.60981,59.141556,36.982582,52.051826,53.061615,259.87195,37.074734,40.527863,122.47753,38.641403,38.339764,43.754223,39.030685,55.416466,67.025826,67.647095,136.63275,37.171192,60.285362,113.40961,78.82153,43.928158,65.884315,167.05695,34.471977,43.11458,69.56032,37.89081,41.288425,153.5347,117.41436,45.057854,39.271942,49.432106,50.10782,114.38274,36.25877,82.30228,67.62073,81.130936,126.142334,61.544716,39.285797,35.776154
2027-04-01,329.16388,449.8238,35.42397,70.895325,41.63239,59.260788,36.99366,52.099617,53.121284,261.10876,37.087036,40.54577,122.77723,38.679848,38.35186,43.78377,39.048622,55.44512,67.21564,67.71051,136.9443,37.183636,60.365875,113.68009,79.01661,43.955025,65.93036,167.89159,34.48276,43.144276,69.644226,37.90574,41.309093,153.89372,117.73474,45.103073,39.286934,49.449005,50.119217,114.625275,36.263195,82.454414,67.76256,81.2516,126.36417,61.569275,39.296875,35.782448
2027-05-01,330.89948,452.14816,35.429947,71.00722,41.65249,59.368134,37.003746,52.141823,53.17417,262.20697,37.09819,40.561794,123.03899,38.715767,38.36271,43.810432,39.064827,55.468857,67.3869,67.76482,137.2156,37.1951,60.43846,113.916374,79.19289,43.979218,65.96844,168.65297,34.493214,43.171036,69.71738,37.91942,41.327568,154.20377,118.019745,45.144077,39.30046,49.463318,50.128304,114.83687,36.26715,82.59201,67.89444,81.35789,126.55473,61.588478,39.30709,35.788425
2027-06-01,332.87595,454.8156,35.436337,71.130875,41.67534,59.488747,37.01475,52.189804,53.2353,263.47186,37.110447,40.57974,123.34952,38.753815,38.374928,43.83979,39.082912,55.500923,67.58016,67.83176,137.53636,37.207474,60.5175,114.19671,79.38617,44.00611,66.01886,169.50568,34.504227,43.201595,69.80235,37.93437,41.348854,154.58406,118.34657,45.19056,39.315437,49.48213,50.14226,115.09014,36.27184,82.75641,68.04218,81.48697,126.79024,61.6166,39.318623,35.79489
