Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,0.734402,0.108799845,0.025939206,5.304783,0.7519012,2.053368,0.027878195,0.0042178617,0.019515913,0.005777111,0.0011033276,1.2983105,0.026106559,0.022461837,0.68205404,0.047328703,0.0011371745,6.0373654,0.0030568354,0.0012346761,0.05765751,0.5956847,0.0014830709,1.1668622,0.0014859821,0.25175223,0.6023181,2.0080993,3.5694523,0.58632886,0.018689781,0.0015324823,0.3420742,0.0030484688,0.45360568,0.15183403,0.030057183,0.41597995,0.17113046,0.0014613672,0.07698179,0.0053385855,0.0022954564,0.11120746,0.0035088158,5.711891,0.48349854,1.0117333,1.2546905,0.1441623,0.41403693,0.32359445,0.001469156,0.01008447,0.0017777662,0.15798096,0.0028465616,0.5329439,1.556288,0.008501811,14.801337,0.17349984,0.012034197,0.0025440156,0.002238764,0.004974401,0.0026870153,0.0,0.16583475,0.506904,0.007919277,0.0011811357,1.2968104,0.0011485068,0.07560546,0.3709671,0.0034968336,0.010697995,0.7385378,0.07540942,0.3406529,6.050541,0.14319627,0.027553275,0.24264063,0.08120688,0.0,0.0046399534,0.46010736
2026-02-01,0.7282923,0.1079288,0.025779244,5.272242,0.7465573,2.0361576,0.027723853,0.004174336,0.019355703,0.005724703,0.0011030985,1.291206,0.02596051,0.022338228,0.6766747,0.046926938,0.0011351325,5.9864345,0.0030178085,0.0012332378,0.056697696,0.5907328,0.0014621972,1.1583997,0.0014672842,0.24962929,0.5976794,1.9892434,3.5470858,0.5816416,0.018560251,0.0015114066,0.33911717,0.0030244356,0.45002323,0.14937723,0.0297252,0.41234228,0.16966397,0.0014486455,0.07633809,0.005305384,0.0024431278,0.110438146,0.0034646026,5.648055,0.48049647,1.003601,1.2442862,0.14270039,0.41099346,0.31999305,0.001458172,0.01001888,0.0017723264,0.15683213,0.002831119,0.5302797,1.5440192,0.008433119,14.672943,0.17211582,0.01192559,0.002533041,0.002214179,0.004944941,0.0026424085,1.3892839e-05,0.16482566,0.5034735,0.007811278,0.0011807497,1.2833927,0.0011437832,0.075137824,0.36869627,0.0034714493,0.010632001,0.7328386,0.07479498,0.3359632,6.008927,0.14217949,0.027372487,0.24088393,0.08047208,0.0,0.004572854,0.4561132
2026-03-01,0.72255576,0.10707138,0.025640242,5.2404594,0.74179935,2.021167,0.027573587,0.004138321,0.01923761,0.0056795985,0.0010997137,1.285013,0.025816765,0.022218177,0.67175287,0.046571337,0.0011292661,5.9480896,0.0029790537,0.0012304937,0.055777855,0.5863653,0.001444222,1.1507437,0.0014494089,0.24778515,0.59330046,1.9723598,3.5286403,0.5772936,0.018445687,0.001489493,0.33640966,0.0029961546,0.4467022,0.14701857,0.029434603,0.4089396,0.16835284,0.0014338099,0.07570357,0.005273587,0.00248964,0.109738156,0.0034286533,5.5898423,0.47777614,0.99583983,1.2349807,0.14124948,0.4081245,0.31692216,0.0014431797,0.009953198,0.0017641935,0.15580806,0.002806211,0.52778006,1.5331328,0.008372972,14.561115,0.17081848,0.011832641,0.0025149798,0.0021872423,0.0049111457,0.0025971655,0.00013486763,0.16392064,0.500569,0.0077029755,0.0011763581,1.2712225,0.0011344302,0.074684754,0.36657432,0.0034465338,0.010557935,0.7277559,0.07429869,0.33196706,5.969291,0.1412058,0.027209602,0.23908633,0.07978453,0.0,0.004510666,0.4525221
2026-04-01,0.7170009,0.10616874,0.025550922,5.212184,0.73757344,2.0086646,0.027466048,0.00410668,0.019144157,0.0056405663,0.0010926537,1.2799644,0.025662005,0.022088248,0.6669601,0.046231672,0.0011197809,5.9192395,0.0029364184,0.0012264325,0.054861125,0.5823452,0.0014289323,1.1434746,0.0014314428,0.24612907,0.5888952,1.9564265,3.5178468,0.57294786,0.018339667,0.0014683795,0.3336607,0.0029612714,0.44331697,0.14482151,0.02916835,0.40551984,0.16715296,0.001417654,0.07506644,0.0052467915,0.002503583,0.1090837,0.0033967658,5.531661,0.47540262,0.9889652,1.2262105,0.13971816,0.40532145,0.3140846,0.0014243374,0.009887946,0.0017518613,0.1548133,0.0027720402,0.52537733,1.5230101,0.008310735,14.461211,0.16942397,0.011744326,0.0024926881,0.002156137,0.0048812474,0.002549528,0.0003850621,0.16314839,0.4981305,0.0075898822,0.0011689693,1.2594224,0.0011199401,0.07426705,0.36467075,0.003427863,0.01048377,0.72291106,0.07392968,0.3287305,5.9344954,0.14022638,0.027056161,0.23716351,0.079103746,6.626201e-05,0.004452443,0.44913787
2026-05-01,0.7134759,0.105436124,0.025577271,5.203943,0.73569,2.0038831,0.027454445,0.0040927907,0.019114966,0.005616265,0.0010859049,1.2797358,0.025541114,0.021995747,0.66365075,0.04597925,0.001108828,5.9161243,0.0028982281,0.0012237785,0.05412297,0.5799636,0.0014194687,1.1399134,0.0014169491,0.24509683,0.5857889,1.9456947,3.5229397,0.5698182,0.018276097,0.0014508914,0.33159524,0.0029303199,0.44092092,0.1431523,0.029004958,0.40284315,0.16646434,0.0014026253,0.07455631,0.0052467883,0.0024680782,0.108693175,0.0033754623,5.4879465,0.4743666,0.9849406,1.22096,0.13856775,0.4034199,0.31232083,0.0014062505,0.0098405555,0.0017406306,0.1542671,0.0027351254,0.52421373,1.5163865,0.008266642,14.4147625,0.168324,0.011682318,0.0024669124,0.0021278441,0.004865411,0.00250387,0.00077494176,0.16293542,0.49750987,0.007488566,0.0011609595,1.2515547,0.0011023458,0.0740512,0.36379933,0.0034253595,0.010435513,0.71984,0.07385309,0.32739997,5.9196825,0.1395194,0.02695779,0.23568165,0.07861623,0.00031356676,0.004409664,0.44677126
2026-06-01,0.71263754,0.105024874,0.025690243,5.2234554,0.7367774,2.008193,0.027530719,0.004098197,0.01915378,0.0056090397,0.0010805284,1.2843158,0.025488468,0.021961503,0.66274333,0.045845646,0.0010982283,5.9430275,0.0028672956,0.0012228568,0.053686272,0.5796317,0.001414239,1.1408887,0.0014057881,0.24494147,0.5848105,1.9428517,3.543078,0.5686378,0.01826222,0.001437423,0.33063805,0.0029059178,0.44006586,0.14198211,0.028942121,0.40147793,0.16630432,0.0013898979,0.07428163,0.005272981,0.002431586,0.10863989,0.003365137,5.4688582,0.47499338,0.9847027,1.2199838,0.13789485,0.40289837,0.31166598,0.0013918296,0.009820369,0.0017307748,0.15423612,0.002700637,0.52491885,1.5146043,0.008242521,14.439832,0.16776529,0.011655627,0.0024423343,0.0021035266,0.0048650256,0.0024666938,0.0009935086,0.16331086,0.4988558,0.007404523,0.0011537841,1.2486713,0.0010857751,0.07407283,0.3641686,0.0034392888,0.010425829,0.7191765,0.07408517,0.3277584,5.9298196,0.13921236,0.026936738,0.23500122,0.07835725,0.00074371754,0.0043797838,0.4458421
2026-07-01,0.7132029,0.104796,0.025884578,5.2547765,0.73928505,2.0165966,0.027623253,0.0041186144,0.019232845,0.005614485,0.0010783485,1.2911178,0.025474934,0.021966202,0.662912,0.045761906,0.0010864706,5.9828677,0.0028373275,0.0012229432,0.053433623,0.58002687,0.001413736,1.1437775,0.001398436,0.24525023,0.5847721,1.9431438,3.5722153,0.56827706,0.018275084,0.0014246188,0.33010712,0.0028852827,0.43993378,0.14104229,0.028953722,0.40075698,0.16643468,0.0013766609,0.07411614,0.0053229607,0.0023896988,0.10876151,0.003363817,5.461265,0.47631288,0.9863305,1.221228,0.13754146,0.4030429,0.3115107,0.0013794777,0.009818818,0.0017221924,0.15449107,0.00266374,0.5265496,1.5150236,0.008233451,14.493459,0.16745304,0.011646334,0.0024155544,0.0020809423,0.0048727426,0.0024328548,0.0010123304,0.16400588,0.5010064,0.007336872,0.0011465441,1.2485032,0.0010689627,0.07425927,0.36518836,0.0034653947,0.010441227,0.71970177,0.07450641,0.32915896,5.9516907,0.13909148,0.026960839,0.23474443,0.078216374,0.00092481746,0.004360486,0.44559142
2026-08-01,0.7156728,0.104824826,0.02617357,5.3031197,0.7438537,2.0314503,0.027755609,0.004155683,0.019354125,0.0056325607,0.0010812317,1.301507,0.025513513,0.02202475,0.66475964,0.04577738,0.0010770061,6.041429,0.0028158384,0.0012263353,0.053420555,0.58174723,0.0014198005,1.1499362,0.001397006,0.24610095,0.58631706,1.9486876,3.6114666,0.569374,0.018333286,0.0014158513,0.330377,0.0028737616,0.44106767,0.14047451,0.029068498,0.40116388,0.1669666,0.0013656605,0.07412208,0.0053968416,0.002350176,0.10917065,0.003375311,5.4736414,0.4788025,0.9903864,1.2259109,0.137627,0.4040933,0.31212822,0.001371875,0.009840997,0.0017203476,0.15520383,0.0026319092,0.5293633,1.5188409,0.008246797,14.593234,0.16757454,0.011668456,0.00239105,0.0020645505,0.004891482,0.0024054672,0.0009908386,0.16513452,0.5044062,0.007294054,0.0011424368,1.2527496,0.001054031,0.074635014,0.36704272,0.0035038274,0.0104928175,0.7223055,0.07516334,0.3321356,5.9897604,0.13927528,0.02704826,0.2351339,0.07827887,0.0009530193,0.0043585994,0.44644937
2026-09-01,0.7186117,0.10484901,0.026512522,5.35372,0.7488076,2.048284,0.027903967,0.004198454,0.019481234,0.0056528337,0.0010875057,1.3129877,0.025546415,0.022089403,0.6665154,0.045790803,0.0010685403,6.102167,0.0027972818,0.0012322045,0.053543907,0.5834062,0.0014293434,1.1564744,0.0013998966,0.2469491,0.5878675,1.9541929,3.6548855,0.5703893,0.018398305,0.0014098655,0.33059478,0.0028667522,0.44217733,0.14003436,0.029223567,0.40157768,0.16764309,0.0013556721,0.07414589,0.005486973,0.0023130053,0.109634526,0.0033946063,5.4869494,0.48149252,0.9948528,1.2316045,0.13788225,0.40515164,0.31284323,0.0013661255,0.009870202,0.001721242,0.1560688,0.0026022058,0.53216213,1.5228678,0.008265578,14.69831,0.1676967,0.011695987,0.0023681396,0.0020524901,0.004915939,0.002383743,0.00096996984,0.16642304,0.50810635,0.0072636586,0.0011400317,1.2585274,0.0010403629,0.07506109,0.36904988,0.0035537293,0.010567261,0.7249499,0.075901344,0.33612064,6.0316553,0.1394744,0.027142469,0.23556589,0.078384794,0.00094519113,0.0043614125,0.44734755
2026-10-01,0.72073305,0.10472068,0.026805071,5.3952274,0.75270575,2.061407,0.027999891,0.0042331866,0.019582463,0.0056699626,0.0010935745,1.3227673,0.02553781,0.022131843,0.6672149,0.04574386,0.001059541,6.1512914,0.0027778363,0.0012377689,0.053619836,0.58439445,0.0014379076,1.1615783,0.001402619,0.24743383,0.5885138,1.9565389,3.69401,0.57063895,0.018440118,0.0014030716,0.33035263,0.0028588101,0.44268584,0.13937072,0.029345855,0.40145263,0.16801028,0.0013455505,0.07407765,0.0055670002,0.0022762795,0.10996911,0.0034126637,5.491981,0.4836218,0.99826455,1.2354248,0.13798529,0.40571466,0.31314924,0.001359592,0.009890969,0.001719319,0.15672855,0.0025719798,0.5343252,1.5250262,0.008271558,14.777361,0.167579,0.011715077,0.0023473294,0.0020394078,0.004938193,0.0023652886,0.00094955566,0.16747205,0.51126313,0.00723115,0.0011375896,1.2626122,0.0010274192,0.07538318,0.37059835,0.0035958565,0.010638252,0.7263367,0.07652315,0.33977646,6.064868,0.13954018,0.027210185,0.23568891,0.07841784,0.0009374089,0.004358638,0.4475784
