Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,50.757442,12.132298,3.3592377,215.52423,41.819042,113.10879,3.858514,0.6389369,2.4481757,1.0284215,0.13394333,84.41627,4.2704854,3.2211823,52.27062,6.185632,0.054359507,244.36134,0.26639795,0.24228391,14.189851,40.60778,0.1862445,63.729824,0.09192129,22.779095,59.930275,111.01114,234.20137,41.573364,2.4729486,0.16107246,36.028694,1.1336486,43.720753,23.474724,4.694602,37.840992,20.606838,0.09904824,12.02455,0.98347265,0.0042468384,11.320673,0.9214066,451.97375,34.06024,59.330902,89.22774,16.26783,35.020218,34.89418,0.2085873,1.588798,0.4369131,14.272226,0.078937195,37.655952,97.67114,1.9189572,543.1864,21.588356,1.6002531,0.08931719,1.0041575,1.1894275,0.5183238,0.0,18.940424,33.745434,2.9956367,0.033166274,87.932884,0.0076260786,10.261598,30.542126,1.0792221,2.1515076,62.947437,9.119491,48.010544,283.56998,13.335183,3.275718,22.923948,8.695721,0.0,0.98556757,36.24725
2026-02-01,50.712414,12.113893,3.3658934,215.17953,41.78777,112.97123,3.8673685,0.6401885,2.4485958,1.0285501,0.13491625,84.34016,4.26654,3.219049,52.127037,6.175622,0.05535849,243.8655,0.26869962,0.2432115,14.195386,40.54256,0.1871524,63.63639,0.09298925,22.746826,59.7409,110.71673,234.09837,41.496513,2.4717777,0.16199985,35.92722,1.1340404,43.585987,23.468134,4.6969085,37.734665,20.595871,0.100192204,12.004704,0.98545176,0.00623221,11.3114195,0.9225167,449.52493,34.03326,59.27326,89.11091,16.263968,34.971466,34.888416,0.20949683,1.5886148,0.43774664,14.270302,0.08108571,37.598495,97.531494,1.9185364,541.8317,21.53645,1.5995663,0.09150687,1.0048633,1.1908695,0.5196773,1.3962808e-06,18.960499,33.727688,2.9944227,0.03414595,87.84535,0.008615403,10.257193,30.517916,1.0802089,2.1546493,62.784107,9.126556,48.016457,283.09262,13.323107,3.2741768,22.882597,8.692822,0.0,0.98653513,36.164413
2026-03-01,50.689224,12.099462,3.372343,214.96172,41.775497,112.90413,3.8754275,0.64137024,2.449542,1.0288547,0.13573876,84.30716,4.2634115,3.2175992,52.01143,6.1675572,0.056194555,243.52838,0.27065325,0.24400693,14.2019,40.496075,0.18794493,63.581562,0.09391767,22.722187,59.58137,110.487625,234.11563,41.44093,2.4712312,0.16279267,35.841026,1.1344904,43.474327,23.467043,4.7000494,37.64566,20.59048,0.101117335,11.987748,0.98723364,0.007876132,11.305577,0.92349553,447.46487,34.01997,59.24365,89.038376,16.264864,34.935722,34.89538,0.21026099,1.5886618,0.43848193,14.273168,0.08284984,37.558483,97.43646,1.9183879,540.9586,21.49206,1.5992862,0.093275525,1.0054766,1.1922715,0.52089757,3.2214768e-05,18.984482,33.72459,2.99348,0.034926835,87.803894,0.009413922,10.255035,30.504787,1.0810853,2.15781,62.652008,9.135104,48.033382,282.8202,13.31491,3.2734513,22.849886,8.692238,0.0,0.9874644,36.097416
2026-04-01,50.724037,12.091825,3.3822632,215.06746,41.81281,113.00085,3.8873603,0.6430761,2.452267,1.0297439,0.13674362,84.387024,4.2620296,3.2176611,51.93222,6.1619415,0.057184044,243.54431,0.27303353,0.24502654,14.220615,40.48585,0.18895619,63.604305,0.095066406,22.713467,59.45548,110.36368,234.54836,41.422386,2.472032,0.16378307,35.771687,1.135523,43.387066,23.488537,4.7072053,37.576637,20.603449,0.10218813,11.975634,0.98978484,0.009759399,11.307788,0.92504317,445.73215,34.04266,59.28447,89.072136,16.281635,34.92952,34.9452,0.2112213,1.5894874,0.43950957,14.290647,0.084902145,37.553036,97.451,1.9191487,541.0065,21.456633,1.5998278,0.09529571,1.0065428,1.1945173,0.5225649,0.00020529954,19.033516,33.761597,2.9937284,0.03582203,87.87991,0.010325062,10.260562,30.521812,1.082543,2.1628914,62.567745,9.1533165,48.111446,283.00058,13.316179,3.2745876,22.831793,8.698513,9.915903e-06,0.98902655,36.053818
2026-05-01,50.853294,12.09737,3.3982322,215.76118,41.93731,113.37429,3.905886,0.6457448,2.4580836,1.0315677,0.13808082,84.64063,4.2635775,3.2203825,51.92435,6.1613917,0.058468927,244.21152,0.27621603,0.24642663,14.2571535,40.534317,0.1903365,63.75657,0.096582,22.731295,59.39465,110.43813,235.59045,41.468216,2.4750917,0.1651035,35.735485,1.1373936,43.349743,23.542377,4.7202253,37.546787,20.64284,0.10353861,11.9718895,0.993503,0.012108678,11.3226795,0.92745185,444.7375,34.122562,59.43585,89.27005,16.32165,34.971878,35.059086,0.21251494,1.5915107,0.4410012,14.330344,0.08750094,37.60613,97.63488,1.9212489,542.7134,21.438374,1.6016785,0.09781136,1.0082933,1.1980246,0.5249268,0.0008159585,19.119291,33.861942,2.9955192,0.03694301,88.13703,0.011459903,10.277365,30.585854,1.0848712,2.1708055,62.573154,9.185683,48.27635,283.92017,13.332641,3.2786727,22.838919,8.715008,0.00012040976,0.9915148,36.051342
2026-06-01,51.063667,12.1158495,3.4193707,216.99738,42.13881,113.987404,3.9300225,0.6492514,2.4665072,1.0341619,0.13970901,85.040276,4.2678356,3.225499,51.989418,6.166101,0.0600137,245.48927,0.28010863,0.24815226,14.308359,40.635048,0.19203022,64.02261,0.09840367,22.773506,59.403847,110.70667,237.13478,41.573204,2.4801118,0.16670288,35.735962,1.1399401,43.366344,23.622192,4.7379766,37.558575,20.703981,0.105134614,11.976862,0.99818385,0.014861047,11.34849,0.9305676,444.5848,34.251568,59.68061,89.60757,16.380579,35.05774,35.225204,0.2140919,1.5945337,0.44287992,14.388232,0.09057884,37.71191,97.96592,1.9244373,545.93823,21.438852,1.6046237,0.100763775,1.0106058,1.2025687,0.52786374,0.0019688965,19.235163,34.015545,2.9985907,0.038260408,88.546,0.012792636,10.303479,30.689663,1.0879067,2.1810236,62.66828,9.229542,48.51188,285.4794,13.362415,3.2852533,22.870335,8.739883,0.0007526153,0.9947519,36.089302
2026-07-01,51.288063,12.137781,3.4409547,218.35402,42.35536,114.641975,3.9541924,0.6528367,2.4752975,1.0368406,0.1412614,85.45868,4.2726927,3.2311368,52.07406,6.172186,0.061481073,246.90411,0.28386426,0.24980047,14.359601,40.7447,0.19365595,64.30794,0.100129224,22.820957,59.4315,111.02366,238.72887,41.69036,2.4854403,0.16821384,35.746635,1.1424626,43.397545,23.70457,4.7557554,37.58148,20.767065,0.10659827,11.984154,1.0026405,0.017378017,11.375814,0.9335565,444.6689,34.388073,59.938004,89.96541,16.44107,35.152237,35.39584,0.2155739,1.597671,0.4446809,14.448042,0.09342924,37.827667,98.31994,1.9277333,549.48724,21.444685,1.6076937,0.10346048,1.0128452,1.206999,0.53068805,0.0031667114,19.351042,34.17651,3.0016947,0.039455537,88.9735,0.014011028,10.330492,30.799131,1.090809,2.1910484,62.786068,9.273294,48.74936,287.14233,13.394349,3.2921484,22.907116,8.765459,0.0018581935,0.99790645,36.136715
2026-08-01,51.534733,12.16497,3.4636755,219.90633,42.596325,115.37005,3.979303,0.6566121,2.4848142,1.0396955,0.14281525,85.91348,4.278414,3.2375784,52.19101,6.180707,0.06294452,248.54749,0.2876583,0.25145134,14.412707,40.87056,0.19529048,64.62954,0.10184596,22.876389,59.49191,111.41923,240.42653,41.828747,2.4913719,0.16971295,35.774635,1.1450498,43.455143,23.791487,4.774216,37.623802,20.83414,0.10802638,11.994658,1.0071257,0.019822871,11.405876,0.9365825,445.22546,34.53784,60.218483,90.358505,16.504967,35.259857,35.576546,0.21704441,1.6010196,0.44649154,14.511799,0.09622409,37.960518,98.712814,1.9312358,553.5984,21.459158,1.6110682,0.10608063,1.0151199,1.2115084,0.53352654,0.004345902,19.471123,34.351166,3.005041,0.040616293,89.43741,0.015196983,10.359323,30.91811,1.0937368,2.201289,62.941437,9.318666,48.99723,288.99213,13.429993,3.2997036,22.952675,8.792672,0.0030612252,1.0011113,36.199924
2026-09-01,51.797817,12.193901,3.4877596,221.54933,42.85205,116.14275,4.0060167,0.6605944,2.4948268,1.0426764,0.14444017,86.394356,4.284581,3.244433,52.314312,6.1895537,0.06447617,250.28273,0.2916426,0.25317708,14.46939,41.003754,0.19699532,64.968666,0.10362799,22.935753,59.556274,111.837776,242.21603,41.97538,2.497578,0.17127627,35.804623,1.1477741,43.515087,23.884937,4.79354,37.668472,20.905563,0.109524116,12.006106,1.0118325,0.022382824,11.437649,0.9397629,445.80417,34.695946,60.516247,90.77693,16.572456,35.375008,35.76768,0.21858135,1.6045237,0.44838274,14.578788,0.09915147,38.101364,99.13016,1.9349464,557.95593,21.474976,1.6145614,0.108825825,1.0175382,1.2162099,0.5364813,0.005580092,19.59715,34.535244,3.0086932,0.041833095,89.92919,0.016437227,10.389819,31.044748,1.0968262,2.2119715,63.105297,9.366229,49.260983,290.95605,13.467752,3.307613,23.000706,8.821288,0.004339476,1.0044554,36.266747
2026-10-01,52.04203,12.219104,3.5105484,223.05914,43.088696,116.85813,4.031523,0.6643512,2.5041442,1.0454843,0.14601499,86.846794,4.2900934,3.2506692,52.41626,6.1968617,0.06596101,251.86809,0.29548982,0.25485376,14.524128,41.126083,0.19865085,65.28219,0.10537103,22.98946,59.602245,112.20407,243.94188,42.107494,2.5033247,0.17280395,35.824802,1.1503845,43.559025,23.973143,4.812097,37.701984,20.973682,0.11100034,12.015451,1.0165699,0.024912512,11.467281,0.94290733,446.1329,34.84418,60.794422,91.16772,16.636759,35.48051,35.94888,0.2200972,1.6078578,0.45021984,14.642269,0.10203327,38.230053,99.52121,1.9384646,561.92883,21.486061,1.6178377,0.111539975,1.0198796,1.2207719,0.53936344,0.0067968797,19.719027,34.70849,3.0123491,0.04304492,90.39039,0.017665064,10.418959,31.163288,1.0998806,2.2223463,63.244675,9.412192,49.51519,292.78296,13.502747,3.3150115,23.043245,8.848416,0.005599752,1.0077393,36.324017
