Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,78.32086,38.46954,29.534071,252.0456,69.41676,143.25739,30.03715,26.771196,28.61042,27.163738,26.2601,113.084946,30.445646,29.3892,79.73144,32.40239,26.180582,282.31857,26.396381,26.368698,40.426853,67.899315,26.313145,92.14087,26.218826,49.396523,87.23481,141.07101,267.3215,68.84656,28.633574,26.288069,62.82315,27.263617,70.73381,49.89631,30.877506,64.780304,47.066246,26.225906,38.299427,27.11793,26.13274,37.662632,27.052277,489.29306,61.13189,87.4379,117.81093,42.67438,61.955723,61.65242,26.33546,27.732557,26.56439,40.705864,26.20851,64.82452,126.84546,28.059612,598.32104,48.052406,27.747833,26.218296,27.13254,27.323172,26.647583,26.123993,45.389454,60.86296,29.13515,26.159475,116.598625,26.13387,36.53378,57.39321,27.210068,28.296469,90.51897,35.391285,74.802216,321.55304,39.73984,29.453716,49.523518,34.97888,26.123993,27.118654,63.273052
2026-02-01,78.263855,38.449425,29.540413,251.63712,69.375015,143.08609,30.0457,26.772364,28.610525,27.163765,26.261072,112.99491,30.441416,29.386826,79.57732,32.39159,26.181576,281.7229,26.398607,26.369621,40.430508,67.82439,26.314013,92.030846,26.219858,49.360092,87.03635,140.73964,267.17465,68.76053,28.632149,26.288956,62.71588,27.263962,70.592026,49.884907,30.879164,64.66685,47.052406,26.227026,38.27832,27.119844,26.135014,37.65187,27.053299,486.71912,61.099026,87.36431,117.673706,42.667656,61.90101,61.639595,26.336348,27.732244,26.565212,40.701683,26.210627,64.76184,126.68176,28.05906,596.71466,47.997787,27.746933,26.220465,27.133196,27.324554,26.64885,26.124022,45.40755,60.83849,29.133726,26.160452,116.484795,26.13485,36.528458,57.364555,27.211006,28.29948,90.34447,35.39715,74.798935,320.9941,39.72577,29.45182,49.47872,34.97454,26.123993,27.119492,63.18239
2026-03-01,78.22943,38.433315,29.54659,251.35701,69.35342,142.98961,30.053465,26.773476,28.61124,27.163979,26.261887,112.949776,30.438004,29.38514,79.45206,32.38283,26.1824,281.31064,26.400484,26.37041,40.43522,67.76935,26.314768,91.96101,26.22075,49.33184,86.86823,140.47745,267.15576,68.69642,28.631378,26.289705,62.624382,27.264357,70.473854,49.879192,30.881733,64.571175,47.044445,26.22792,38.26012,27.121563,26.136747,37.644657,27.054209,484.54495,61.080406,87.31949,117.58293,42.665707,61.859642,61.64054,26.337082,27.732162,26.565933,40.702545,26.212343,64.71693,126.5654,28.058792,595.6224,47.95086,27.746471,26.222197,27.133757,27.325891,26.64998,26.12429,45.42976,60.829697,29.132572,26.161226,116.41948,26.135632,36.52541,57.347267,27.211834,28.302496,90.2024,35.404724,74.80803,320.64398,39.715668,29.450775,49.44249,34.97261,26.123993,27.120298,63.108353
2026-04-01,78.25335,38.42391,29.556335,251.40733,69.38245,143.06183,30.065186,26.775118,28.613783,27.164791,26.262878,113.019745,30.43632,29.384947,79.36346,32.37655,26.183372,281.27002,26.40278,26.371422,40.452137,67.75124,26.315748,91.96951,26.221865,49.31987,86.7337,140.32227,267.56732,68.66936,28.631971,26.290653,62.549652,27.26532,70.37996,49.896378,30.888369,64.49545,47.05506,26.22896,38.246758,27.124062,26.13866,37.645584,27.055695,482.69818,61.098442,87.34683,117.5995,42.679474,61.847942,61.6848,26.338007,27.73286,26.566936,40.718075,26.214329,64.70677,126.56009,28.059431,595.4744,47.912697,27.746841,26.224173,27.134762,27.328077,26.651554,26.124954,45.47728,60.861923,29.132597,26.162106,116.472374,26.136513,36.530117,57.360558,27.213253,28.307432,90.10864,35.42221,74.87975,320.7562,39.715015,29.45161,49.420624,34.977547,26.124132,27.121746,63.05812
2026-05-01,78.3757,38.428017,29.572355,252.0849,69.50325,143.42589,30.083689,26.77776,28.619543,27.166569,26.264202,113.2729,30.43763,29.387487,79.3491,32.375504,26.184635,281.93112,26.40589,26.37282,40.48723,67.79504,26.317112,92.11479,26.223352,49.33568,86.66679,140.37569,268.61942,68.70905,28.634907,26.29194,62.509407,27.26713,70.33794,49.94695,30.90107,64.46035,47.0931,26.23028,38.242012,27.12778,26.140938,37.659714,27.058062,481.61786,61.176315,87.490326,117.787125,42.717236,61.886574,61.795227,26.339264,27.73479,26.568407,40.756702,26.216856,64.75758,126.73099,28.061445,597.09033,47.89228,27.74857,26.226639,27.136457,27.331554,26.653828,26.126328,45.562637,60.961052,29.13419,26.163212,116.71407,26.137613,36.546497,57.422894,27.215578,28.315252,90.10803,35.45443,75.042046,321.64673,39.73009,29.455503,49.42485,34.993088,26.124727,27.12415,63.051006
2026-06-01,78.58443,38.44569,29.593716,253.35934,69.70689,144.04745,30.107977,26.781277,28.628042,27.16915,26.26582,113.681526,30.441786,29.392536,79.412384,32.37995,26.18616,283.2616,26.409721,26.374542,40.537575,67.89512,26.318794,92.38275,26.225153,49.377586,86.67407,140.63866,270.20322,68.81173,28.639898,26.293512,62.508003,27.269629,70.35287,50.024467,30.918695,64.46947,47.15393,26.231852,38.246445,27.132513,26.14362,37.685417,27.061155,481.42776,61.30655,87.73462,118.12273,42.774845,61.971413,61.96006,26.340813,27.737774,26.570267,40.81453,26.219864,64.864746,127.05853,28.064585,600.3643,47.891663,27.751461,26.229544,27.138721,27.336096,26.656693,26.127909,45.679245,61.117294,29.137096,26.164515,117.117386,26.138914,36.572655,57.527428,27.21864,28.32545,90.20186,35.49874,75.278275,323.22583,39.759262,29.462042,49.45493,35.017456,26.126204,27.127329,63.087143
2026-07-01,78.80994,38.467175,29.61568,254.77737,69.92835,144.7185,30.132328,26.7849,28.636988,27.171837,26.267368,114.113266,30.446617,29.398184,79.49736,32.38587,26.187603,284.75452,26.41342,26.37619,40.588326,68.00555,26.32042,92.67374,26.226864,49.42564,86.701645,140.9562,271.8544,68.92818,28.645252,26.294998,62.51764,27.27211,70.383804,50.105007,30.936497,64.49095,47.21727,26.23329,38.253414,27.137066,26.146055,37.712982,27.064142,481.49698,61.44564,87.99521,118.48301,42.834644,62.066193,62.130394,26.342272,27.74091,26.57205,40.87484,26.222643,64.983696,127.413376,28.067863,604.01843,47.89689,27.754513,26.232187,27.140917,27.340542,26.659449,26.129143,45.796486,61.282475,29.140068,26.165695,117.54456,26.140099,36.600033,57.638893,27.221594,28.335505,90.32068,35.54332,75.5185,324.93164,39.790962,29.468985,49.491207,35.042755,26.127663,27.130445,63.134068
2026-08-01,79.06145,38.49442,29.63897,256.42444,70.17827,145.47568,30.157698,26.78875,28.64674,27.174728,26.268927,114.588425,30.452414,29.40474,79.617935,32.394424,26.189049,286.5127,26.417171,26.377848,40.641403,68.13478,26.322065,93.00741,26.228579,49.48274,86.76508,141.36264,273.629,69.06871,28.651297,26.29648,62.546165,27.274675,70.44363,50.19081,30.955183,64.53407,47.28539,26.234695,38.26393,27.141697,26.148422,37.743843,27.06719,482.0778,61.60029,88.28363,118.885284,42.89871,62.175873,62.31231,26.343727,27.7443,26.573856,40.93999,26.225376,65.12206,127.813736,28.071392,608.32513,47.9116,27.757933,26.23476,27.14316,27.345089,26.662235,26.130281,45.918777,61.463795,29.14333,26.16685,118.01679,26.141256,36.6296,57.761505,27.224598,28.345846,90.48115,35.58998,75.77221,326.85605,39.826965,29.476711,49.53753,35.07009,26.128922,27.133648,63.19896
2026-09-01,79.33029,38.5234,29.663715,258.16663,70.44371,146.28139,30.1847,26.792816,28.657003,27.17775,26.270565,115.091805,30.458645,29.41172,79.744675,32.403297,26.190563,288.36697,26.421118,26.379585,40.69833,68.271225,26.32379,93.359344,26.230366,49.543766,86.83249,141.79199,275.5036,69.21734,28.65763,26.298033,62.576584,27.277386,70.505745,50.283398,30.974812,64.57956,47.35814,26.236174,38.275425,27.14658,26.15091,37.776527,27.070408,482.6826,61.763664,88.59015,119.314865,42.966698,62.2931,62.504845,26.345253,27.747864,26.57575,41.008675,26.228245,65.268394,128.23897,28.07514,612.8886,47.927654,27.761478,26.237461,27.145554,27.349838,26.665148,26.131475,46.047333,61.655125,29.146923,26.168062,118.5199,26.14247,36.66093,57.89208,27.227785,28.356676,90.65019,35.63899,76.04377,328.9021,39.865116,29.484806,49.58641,35.098915,26.130184,27.136997,63.26754
2026-10-01,79.57866,38.548347,29.687078,259.75778,70.68799,147.02248,30.210396,26.79664,28.66652,27.18059,26.272152,115.563416,30.464142,29.418041,79.84799,32.410515,26.192032,290.0486,26.424929,26.381273,40.753216,68.39549,26.325462,93.68288,26.232113,49.598423,86.87972,142.16287,277.30612,69.34994,28.66346,26.299547,62.596287,27.279982,70.55068,50.3703,30.993608,64.61282,47.426975,26.23763,38.284637,27.151474,26.153366,37.806816,27.07359,483.02118,61.916073,88.875015,119.71314,43.031204,62.399704,62.686646,26.346754,27.751238,26.577583,41.07345,26.231068,65.40132,128.63425,28.07867,617.0165,47.938507,27.764791,26.240133,27.147871,27.354445,26.667994,26.132652,46.171265,61.834557,29.150517,26.169268,118.989105,26.143673,36.690704,58.013657,27.23092,28.367191,90.79229,35.686172,76.305145,330.7941,39.900238,29.492336,49.62919,35.12611,26.13143,27.140276,63.325264
