Date,RMD,Linked_PT_Count,Linked_PT_List,RMD_TDB_Index,RMD_TDB_Lower95_Index,RMD_TDB_Upper95_Index,PT_NoM_Response_Index,PT_NoM_Response_Lower95_Index,PT_NoM_Response_Upper95_Index,Gap_TDB_minus_PT
2026-01-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,100.0,100.0,100.0,100.0,100.0,100.0,0.0
2026-02-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,98.97377628363,98.83978848230964,99.06872619490332,99.79358316784912,99.62364301683803,99.85158611152116,-0.8198068842191191
2026-03-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,98.04598209660789,97.79366438585629,98.22478126945575,99.63479295257413,99.33975063457879,99.73557038636946,-1.5888108559662442
2026-04-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,97.1788240566883,96.82026624641864,97.43291459281153,99.56296496958598,99.22926688600228,99.67693126461607,-2.384140912897678
2026-05-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,96.70320545683084,96.29082208339028,96.99543451150717,99.64476304974526,99.41635964892194,99.72270241082735,-2.941557592914421
2026-06-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,96.79992316827703,96.40649079501384,97.078727421838,99.87283648518255,99.88105941217782,99.86986349263077,-3.072913316905513
2026-07-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,97.15482525896248,96.81207167801712,97.39772094035617,100.13223811517402,100.40044041892229,100.04027433552687,-2.9774128562115436
2026-08-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,97.92139732360606,97.67943625657642,98.0928573029393,100.44539319570718,101.01543661373944,100.25016315621819,-2.523995872101125
2026-09-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,98.69115959433917,98.55073395995315,98.79067164987006,100.77704071695148,101.66647110390416,100.47240523342994,-2.0858811226123066
2026-10-01,RMD_Anorexia Nervosa,8,PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Electroconvulsive Therapy|PT_Hypnotherapy|PT_Neuroprotective Agents|PT_Social Skills Training|PT_Stimulant And Wake Promoting Agents|PT_Transcranial Direct Current Stimulation,99.21129657534155,99.14202935839812,99.26038250733026,101.07212872768575,102.25064839715654,100.66839664053578,-1.8608321523442015
