RMD_Anorexia Nervosa_NoM,PT_Neuroprotective Agents_NoM,PT_Electroconvulsive Therapy_NoM,PT_Hypnotherapy_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Digital Phenotyping_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Social Skills Training_NoM
RMD_Antisocial Personality Disorder_NoM,PT_Social Skills Training_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Electroconvulsive Therapy_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Neuroprotective Agents_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Machine Learning Neuroimaging_NoM
RMD_Autosarcophagy_NoM,PT_Personalized Medicine_NoM,PT_Naltrexone_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Electroconvulsive Therapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Animal Assisted Therapy_NoM,PT_Narrative Exposure Therapy_NoM,PT_Art Therapy_NoM
RMD_Avoidant Personality Disorder_NoM,PT_Social Skills Training_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Electroconvulsive Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Cbt For Insomnia_NoM,PT_Naltrexone_NoM,PT_Neuroprotective Agents_NoM
RMD_Boanthropy_NoM,PT_Occupational Therapy_NoM,PT_Digital Therapeutics_NoM,PT_Digital Phenotyping_NoM,PT_Anxiolytic Medications_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Trauma Focused Cbt_NoM,PT_Acceptance And Commitment Therapy_NoM
RMD_Body Integrity Dysphoria_NoM,PT_Neuromodulation Techniques_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Electroencephalography_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM
RMD_Brief Psychotic Disorder_NoM,PT_Metaverse_NoM,PT_Personalized Medicine_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Mood Stabilizers_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Emdr Therapy_NoM,PT_Narrative Exposure Therapy_NoM
RMD_Capgras Syndrome_NoM,PT_Metaverse_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Mood Stabilizers_NoM,PT_Antidepressants_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Personalized Medicine_NoM
RMD_Childhood Disintegrative Disorder_NoM,PT_Personalized Medicine_NoM,PT_Metaverse_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Narrative Exposure Therapy_NoM,PT_Emdr Therapy_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Mood Stabilizers_NoM
RMD_Chronic Traumatic Encephalopathy_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Personalized Medicine_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Motivational Interviewing_NoM,PT_Emdr Therapy_NoM,PT_Neuroprotective Agents_NoM,PT_Chronic Traumatic Encephalopathy_NoM
