RMD,PT,score,lagged_corr
RMD_Anorexia Nervosa_NoM,PT_Acceptance And Commitment Therapy_NoM,0.8832301666275303,0.7787407830452754
RMD_Anorexia Nervosa_NoM,PT_Animal Assisted Therapy_NoM,0.8301158042680183,0.8004032526268037
RMD_Anorexia Nervosa_NoM,PT_Anticonvulsant Therapy_NoM,0.5053896265907681,0.4867026859089158
RMD_Anorexia Nervosa_NoM,PT_Antidepressants_NoM,0.5092774043194848,0.40586878846183905
RMD_Anorexia Nervosa_NoM,PT_Antipsychotic Medications_NoM,0.6945659147660134,0.5950098112873646
RMD_Anorexia Nervosa_NoM,PT_Anxiolytic Medications_NoM,0.1824843439376308,0.14757223798585306
RMD_Anorexia Nervosa_NoM,PT_Art Therapy_NoM,0.7867202791385586,0.7685805863351461
RMD_Anorexia Nervosa_NoM,PT_Augmentative Communication Devices_NoM,0.5236576119950759,0.5138142549412431
RMD_Anorexia Nervosa_NoM,PT_Behavioral Activation Therapy_NoM,0.050710235872771924,0.046816460743553875
RMD_Anorexia Nervosa_NoM,PT_Biofeedback Devices_NoM,0.5947249186820895,0.5748408912128352
RMD_Anorexia Nervosa_NoM,PT_Blockchain For Data Protection_NoM,0.6717517128026378,0.6692633917638354
RMD_Anorexia Nervosa_NoM,PT_Brain Computer Interface_NoM,0.47577973808958074,0.39018015880406404
RMD_Anorexia Nervosa_NoM,PT_Cbt For Insomnia_NoM,0.8919678455825313,0.8762988184897059
RMD_Anorexia Nervosa_NoM,PT_Chronotherapy_NoM,0.5713230567381103,0.5449333192550639
RMD_Anorexia Nervosa_NoM,PT_Closed Loop Neurostimulation_NoM,0.9454934436497162,0.8711449197228369
RMD_Anorexia Nervosa_NoM,PT_Clozapine Protocol_NoM,0.5880189653676711,0.558575882991969
RMD_Anorexia Nervosa_NoM,PT_Cognitive Assistive Technologies_NoM,0.17127054523838114,0.17066967244358247
RMD_Anorexia Nervosa_NoM,PT_Cognitive Behavioral Therapy_NoM,0.7286097649520118,0.5822611127682177
RMD_Anorexia Nervosa_NoM,PT_Cognitive Enhancement Programs_NoM,0.7215153670015859,0.7174768993623036
RMD_Anorexia Nervosa_NoM,PT_Cultural Psychiatry Interventions_NoM,0.544662712763264,0.539950628430397
RMD_Anorexia Nervosa_NoM,PT_Deep Brain Stimulation_NoM,0.7219440524098207,0.6919053956824898
RMD_Anorexia Nervosa_NoM,PT_Dialectical Behavior Therapy_NoM,0.8437901347955555,0.7337745444223189
RMD_Anorexia Nervosa_NoM,PT_Dietary Interventions And Supplements_NoM,0.1744455950958602,0.17088080013609655
RMD_Anorexia Nervosa_NoM,PT_Digital Health Tools_NoM,0.42257700678346416,0.34494739501420246
RMD_Anorexia Nervosa_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Digital Phenotyping_NoM,0.9496748198140356,0.8736911828565969
RMD_Anorexia Nervosa_NoM,PT_Digital Therapeutics_NoM,0.8438733501962945,0.7639228785518801
RMD_Anorexia Nervosa_NoM,PT_Electroconvulsive Therapy_NoM,1.0129285233630523,0.8930003464136177
RMD_Anorexia Nervosa_NoM,PT_Electroencephalography_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Emdr Therapy_NoM,0.740236808916038,0.6440734428261468
RMD_Anorexia Nervosa_NoM,PT_Emotion Regulation Training_NoM,0.5660024101453738,0.5308460714639932
RMD_Anorexia Nervosa_NoM,PT_Expressive Writing And Journaling_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Fecal Microbiota Transplant_NoM,0.8711570642229025,0.8098181723760329
RMD_Anorexia Nervosa_NoM,PT_Focused Ultrasound Therapy_NoM,0.29741218408034764,0.2864249166002986
RMD_Anorexia Nervosa_NoM,PT_Hypnotherapy_NoM,0.9949023182624287,0.9120925043670328
RMD_Anorexia Nervosa_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,0.8104686490424894,0.7829280480316421
RMD_Anorexia Nervosa_NoM,PT_Interpersonal Psychotherapy_NoM,0.05753379284750058,0.051981055031410074
RMD_Anorexia Nervosa_NoM,PT_Ketamine Therapy_NoM,0.8152835750667944,0.7391432742111577
RMD_Anorexia Nervosa_NoM,PT_Light Therapy_NoM,0.8390778907763481,0.7838553047204075
RMD_Anorexia Nervosa_NoM,PT_Lithium Therapy_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Machine Learning Neuroimaging_NoM,0.8810504465890615,0.8593272910966424
RMD_Anorexia Nervosa_NoM,PT_Meditation And Relaxation Techniques_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Memory Retrieval Techniques_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Mentalization Based Treatment_NoM,0.8279997699843484,0.7893463949880293
RMD_Anorexia Nervosa_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,0.6513610695721392,0.6398289712718912
RMD_Anorexia Nervosa_NoM,PT_Metaverse_NoM,0.6119085235249498,0.4855865937510174
RMD_Anorexia Nervosa_NoM,PT_Mindfulness Based Stress Reduction_NoM,0.5535690539434536,0.4730390612855012
RMD_Anorexia Nervosa_NoM,PT_Mood Stabilizers_NoM,0.6561669782746532,0.5557852018958235
RMD_Anorexia Nervosa_NoM,PT_Motivational Interviewing_NoM,0.8618674625086891,0.7489331235834442
RMD_Anorexia Nervosa_NoM,PT_Music Therapy_NoM,0.8027902369073977,0.7464158824869916
RMD_Anorexia Nervosa_NoM,PT_Naltrexone_NoM,0.892984416954662,0.8374097087056808
RMD_Anorexia Nervosa_NoM,PT_Narrative Exposure Therapy_NoM,0.7838144659408621,0.7060632969575505
RMD_Anorexia Nervosa_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Neurocognitive Training_NoM,0.8010979139007531,0.7738731144401795
RMD_Anorexia Nervosa_NoM,PT_Neurofeedback Systems_NoM,0.366551471147951,0.36069592147996393
RMD_Anorexia Nervosa_NoM,PT_Neuromodulation Techniques_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Neuroplasticity Techniques_NoM,0.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Neuroprotective Agents_NoM,1.041419701000878,0.9119448440694373
RMD_Anorexia Nervosa_NoM,PT_Occupational Therapy_NoM,0.8449848982437188,0.7250911843021125
