,RAE,RSE,Corr,Coverage,elapsed_time,status,error
BMTGNN,6.9052,5.9315,0.0,,110.16212630271912,completed,
BR-MTGNN,0.250509,0.428406,0.912998,0.950296,27.65200710296631,completed,
LSTM_M,1.8674,2.6753,0.1805,,11.480913400650024,completed,
LSTM_U,1.2349,2.2522,0.2444,,14.316962480545044,completed,
MTGNN,6.5561,5.6867,0.0,,54.138052463531494,completed,
Transformer_M,2.7456,3.9313,0.0819,,15.569283246994019,completed,
Transformer_U,1.2718,1.8306,0.0198,,40.8489305973053,completed,
DCRNN,0.2548,0.4305,0.0,,6.61210823059082,completed,
AGCRN,0.5173,0.9346,0.1199,,7.057950496673584,completed,
PatchTST,0.355,0.6743,0.1449,,5.9447290897369385,completed,
TFT,0.3563,0.642,0.1901,,110.03082203865051,completed,
TimesFM,0.7154,1.4051,0.102,,29.69369101524353,completed,
Prophet,4.0637,7.7073,0.0,,0.332582950592041,completed,
