date,Global_Disaster_Total,Global_Holidays_Average,Global_Holidays_Total,PT_Animal-Assisted Interventions,PT_Antidepressants,PT_Antipsychotic Medications,PT_Behavioral Activation Therapy,PT_Benzodiazepines,PT_Biofeedback Devices,PT_Brain Stimulation Technologies,PT_Brain-Computer Interface,PT_Cognitive Behavioral Therapy,PT_Cognitive Enhancement Programs,PT_Cognitive Technologies,PT_Creative Arts Therapies,PT_Dietary Interventions & Supplements,PT_Digital Health Tools,PT_Digital Imaging Technologies for Brain Scanning,PT_Electroencephalography,PT_Exposure Therapy,PT_Expressive Writing & Journaling,PT_Eye Movement Desensitization and Reprocessing,PT_Genetic Testing,PT_Interpersonal Psychotherapy,PT_Meditation and Relaxation Techniques,PT_Metaverse,PT_Mindfulness-Based Stress Reduction,PT_Mood Stabilizers,PT_Neurocognitive Training,PT_Neurofeedback Systems,PT_Neuromodulation Techniques,PT_Neuroprotective Agents,PT_Peer Support Programs & Online Communities,PT_Personalized Medicine,PT_Privacy-Preserving AI in Digital Mental Health,PT_Psychoeducation Programs,PT_Psychophysiological Metrics for Treatment Response,PT_Regenerative Medicine Approaches,PT_Resting-state Functional Magnetic Resonance Imaging,PT_Selective Serotonin Reuptake Inhibitors,PT_Social Skills Training,PT_Stem Cell Therapy for Neurological Disorders,PT_Traditional & Alternative Medicine Approaches,PT_Transcranial Magnetic Stimulation,PT_Trauma-Focused CBT,PT_Virtual Reality Exposure Therapy,PT_Voxel-based Lesion-Symptom Mapping,RMD_Anorexia nervosa,RMD_Antisocial Personality Disorder,RMD_Autosarcophagy,RMD_Avoidant Personality,RMD_Boanthropy,RMD_Body Integrity Dysphoria,RMD_Brief Psychotic,RMD_Capgras,RMD_Childhood Disintegrative Disorder,RMD_Circadian Rhythm Sleep-Wake,RMD_Cyclothymic,RMD_Delusional,RMD_Dementia pugilistica,RMD_Diogenes,RMD_Disinhibited Social Engagement,RMD_Dissociative Fugue,RMD_Ekbom,RMD_Erotomanic,RMD_Factitious,RMD_Fregoli Delusion,RMD_Ganser,RMD_Hallucinogen-Induced Psychotic,RMD_Histrionic Personality,RMD_Hypergraphia,RMD_Hyperthymesia,RMD_Impulse Control,RMD_Intermetamorphosis,RMD_Kleine-Levin,RMD_Kleptomania,RMD_Landau-Kleffner,RMD_Narcissistic Personality,RMD_Olfactory Reference,RMD_Othello,RMD_Palilalia,RMD_Paramnesia,RMD_Postpartum Psychosis,RMD_Psychogenic Amnesia,RMD_Pyromania,RMD_Reactive Attachment,RMD_Reduplicative Paramnesia,RMD_Rumination,RMD_Savant,RMD_Schizoaffective,RMD_Schizotypal Personality,RMD_Selective Mutism,RMD_Stendhal,RMD_Walking Corpse,RMD_koro
2004-01,37,1.92,69,1,60,58,0,29,0,0,21,56,0,0,3,0,0,0,99,0,0,14,0,28,0,0,22,32,0,0,1,17,0,23,0,1,0,0,0,93,0,1,0,161,0,7,0,62,49,0,13,0,20,5,15,2,0,92,3,1,23,0,20,10,16,100,0,0,0,14,100,0,47,0,2,51,2,32,2,88,2,0,27,38,39,67,1,1,47,73,13,64,16,1,13
2004-02,21,1.36,49,0,67,8,0,27,0,0,20,20,0,0,0,0,0,0,19,1,0,0,1,12,0,0,3,9,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,46,0,1,0,62,45,0,11,0,0,0,1,36,0,98,3,0,3,0,13,2,22,79,0,0,0,13,53,0,1,2,0,55,2,36,0,91,0,0,23,0,44,74,0,41,45,64,9,53,17,0,0
2004-03,24,0.69,25,0,76,29,0,30,0,0,25,14,0,0,0,0,0,0,30,0,0,5,0,13,0,0,8,28,0,0,0,5,0,5,0,0,0,0,0,23,0,0,0,68,0,0,0,74,51,0,15,0,0,2,6,37,0,72,8,0,3,0,28,3,22,76,0,0,1,20,81,0,8,0,0,56,1,41,0,108,1,0,16,55,39,53,1,0,49,68,20,68,27,0,15
2004-04,22,1.64,59,0,71,13,0,29,0,0,24,14,0,0,0,0,0,0,27,0,0,1,11,48,0,0,15,9,0,0,0,5,0,6,0,0,0,4,0,19,0,0,0,41,4,0,0,73,55,0,14,0,0,0,17,0,0,98,1,0,9,0,19,3,21,85,0,1,0,17,0,0,6,0,2,62,2,35,0,100,0,0,18,0,51,87,0,11,44,77,10,62,30,0,10
2004-05,28,2.22,80,0,69,15,0,31,0,0,19,23,0,0,0,0,0,0,14,0,0,4,2,2,0,1,2,13,0,0,0,2,0,13,0,0,1,0,0,33,0,1,0,60,0,0,0,72,54,0,12,0,19,76,4,42,1,97,11,0,3,0,21,4,22,67,0,0,0,15,42,0,2,0,2,58,0,36,0,99,0,0,19,34,37,71,0,1,37,55,13,52,16,0,0
2004-06,43,0.56,20,0,58,18,0,24,0,0,18,16,0,0,0,0,0,0,18,0,0,5,1,4,0,0,14,22,0,0,1,1,0,4,0,0,0,2,0,28,2,1,0,71,6,1,2,87,49,0,15,0,0,0,1,32,1,83,1,3,3,0,15,6,23,65,20,1,0,12,43,0,2,0,0,62,1,42,0,72,0,0,2,0,38,64,1,24,34,62,9,49,9,0,0
2004-07,54,0.36,13,0,61,18,0,25,0,0,17,24,0,0,1,0,0,0,17,3,0,3,0,5,2,0,4,11,0,0,2,7,0,4,0,0,0,0,0,28,0,0,2,35,0,1,0,63,50,0,12,0,0,87,1,0,0,73,2,0,2,0,16,0,22,66,22,1,0,14,0,0,1,0,1,60,2,30,0,51,0,0,16,0,31,51,0,10,38,68,11,34,19,0,12
2004-08,42,0.58,21,0,63,11,0,28,0,0,14,22,0,0,0,0,2,0,22,2,0,0,0,10,0,0,6,3,0,0,0,3,0,3,0,0,0,1,0,26,0,1,0,60,0,21,0,57,54,0,11,0,54,1,0,1,0,68,13,0,6,0,12,2,18,74,0,1,0,12,0,0,4,0,1,61,4,38,0,52,0,0,11,0,32,73,0,15,28,65,8,43,7,0,0
2004-09,44,0.67,24,0,72,27,0,25,0,0,19,122,0,0,0,0,1,0,23,0,0,3,0,4,1,0,2,23,0,0,1,6,0,7,0,0,0,0,0,48,0,1,1,117,0,1,0,67,49,0,11,0,22,1,0,37,2,86,1,0,12,10.5,12,25,18,60,0,1,0,14,37,0,1,0,0,53,4,66,0,68,0,0,19,3,40,67,0,6,32,72,10,67,30,0,1
2004-10,24,0.81,29,0,68,63,0,28,0,0,27,32,0,0,0,0,1,0,19,0,0,2,2,12,0,0,4,13,0,0,1,4,0,3,0,0,0,0,0,31,1,0,0,39,0,6,0,72,53,0,11,0,0,0,15,50,0,96,24,0,12,0,17,1,24,73,0,3,0,16,46,0,7,0,0,50,1,46,0,81,0,0,19,0,43,78,0,17,38,61,10,73,3,0,1
