rank,rmd_name,pt_name,brgi_score,brgi_norm,cisn_spillover_value,cisn_spillover_norm,final_priority_score,priority_label,interpretation
1,RMD Hallucinogen Persisting Perception Disorder,Memory Retrieval Techniques,0.6770496230635773,1.0,0.122946207338242,0.013532576518160047,1.00676628825908,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
2,RMD Antisocial Personality Disorder,Lithium Therapy,0.6574763334516252,0.9710903175407068,0.4869383049549332,0.07324830891817666,1.0066556793240429,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
3,RMD Antisocial Personality Disorder,Memory Retrieval Techniques,0.6761798347760192,0.9987153256453752,0.122946207338242,0.013532576518160047,1.0054729214274527,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
4,RMD Selective Mutism,Transcranial Magnetic Stimulation,0.5357896341432969,0.7913594748327397,3.298822551790199,0.534559772335335,1.0028739451837396,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
5,RMD Selective Mutism,Transcranial Direct Current Stimulation,0.5841054993934819,0.862721844154446,1.875861089052281,0.30111188574446646,0.9926097448375903,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
6,RMD Postpartum Psychosis,Digital Imaging Technologies For Brain Scanning,0.6626013446671855,0.9786599417469358,0.1763717043205366,0.022297444497498018,0.9895707496134493,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
7,RMD Selective Mutism,Cognitive Behavioral Therapy,0.5398042015107449,0.7972889772365407,2.946872315305659,0.47681960083808,0.9873704831758049,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
8,RMD Factitious Disorder,Blockchain For Data Protection,0.6304394742498491,0.9311569680774325,0.768415998841788,0.11942691212077115,0.9867595687760462,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
9,RMD Chronic Traumatic Encephalopathy,Blockchain For Data Protection,0.6281681822578149,0.9278022774983921,0.768415998841788,0.11942691212077115,0.9832045580285179,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
10,RMD Selective Mutism,Immunotherapy For Neuropsychiatric Disorders,0.5430009089528511,0.8020105033008216,2.6362894314366665,0.4258660650262198,0.9727850318760312,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
