rmd_name,pt_name,brgi_score,brgi_norm,spillover_value,spillover_value_norm,final_priority_score,priority_label,interpretation,evidence_tier,claim_strength,transferability_note
RMD_Hallucinogen Persisting Perception Disorder,PT_Memory Retrieval Techniques,0.6770496230635773,0.9999999970460068,0.0,0.0,0.9999999970460068,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Memory Retrieval Techniques,0.6761798347760192,0.998715322695177,0.0,0.0,0.998715322695177,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Digital Imaging Technologies For Brain Scanning,0.6626013446671855,0.9786599388559811,0.0,0.0,0.9786599388559811,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Lithium Therapy,0.6574763334516252,0.9710903146721127,0.0,0.0,0.9710903146721127,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Factitious Disorder,PT_Cognitive Enhancement Programs,0.6391966933009172,0.9440913481650544,0.0,0.0,0.9440913481650544,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Factitious Disorder,PT_Blockchain For Data Protection,0.6304394742498491,0.9311569653268011,0.0,0.0,0.9311569653268011,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Chronic Traumatic Encephalopathy,PT_Blockchain For Data Protection,0.6281681822578149,0.9278022747576705,0.0,0.0,0.9278022747576705,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Dissociative Fugue,PT_Vocal And Speech Biomarkers,0.6220279461092055,0.9187331667908316,0.0,0.0,0.9187331667908316,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Dietary Interventions And Supplements,0.6063933418478231,0.895640909321648,0.0,0.0,0.895640909321648,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Chronic Traumatic Encephalopathy,PT_Dietary Interventions And Supplements,0.5980926771574349,0.8833808557257113,0.0,0.0,0.8833808557257113,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
