pt_name,spillover_value,spillover_value_norm,pt_canon,pt_class,class_interpretation
Electroconvulsive Therapy,6.135873325076947,0.9999999996718844,Electroconvulsive Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Naltrexone,4.809093970738756,0.7823315355203248,Naltrexone,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Narrative Exposure Therapy,3.9825314317890848,0.6467275273707309,Narrative Exposure Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Stimulant And Wake Promoting Agents,3.964868063529896,0.6438297145368564,Stimulant And Wake Promoting Agents,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Mood Stabilizers,3.872536770533319,0.6286820483676633,Mood Stabilizers,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Animal Assisted Therapy,3.682905338694589,0.5975715382528999,Animal Assisted Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Hypnotherapy,3.640910593831803,0.5906819739957904,Hypnotherapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Metaverse,3.5368101816368105,0.5736034923583284,Metaverse,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Closed Loop Neurostimulation,3.441061398090393,0.557895160305389,Closed Loop Neurostimulation,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Neuroprotective Agents,3.303208599895008,0.5352793374377263,Neuroprotective Agents,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Transcranial Magnetic Stimulation,3.298822551790199,0.5345597721599377,Transcranial Magnetic Stimulation,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Cognitive Behavioral Therapy,2.946872315305659,0.4768196006816281,Cognitive Behavioral Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Immunotherapy For Neuropsychiatric Disorders,2.6362894314366665,0.4258660648864865,Immunotherapy For Neuropsychiatric Disorders,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
