Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness,spillover_value_norm,cisn_adjusted_score
1,RMD_Hallucinogen Persisting Perception Disorder,PT_Memory Retrieval Techniques,0.6770496230635773,0.6770496230635773,0.6806682451873496,36,0.6878894775854928,0.0108398545219154,0.0,0.6770496230635773
2,RMD_Antisocial Personality Disorder,PT_Memory Retrieval Techniques,0.6761798347760192,0.6761798347760192,0.6802591802988108,36,0.6870196892979348,0.0108398545219154,0.0,0.6761798347760192
3,RMD_Postpartum Psychosis,PT_Digital Imaging Technologies For Brain Scanning,0.6626013446671855,0.6626013446671855,0.7154072627730863,36,0.7183669958120321,0.0557656511448467,0.0,0.6626013446671855
4,RMD_Antisocial Personality Disorder,PT_Lithium Therapy,0.6574763334516252,0.6574763334516252,0.6632502815920446,36,0.6870196892979348,0.0295433558463095,0.0,0.6574763334516252
5,RMD_Factitious Disorder,PT_Cognitive Enhancement Programs,0.6391966933009172,0.6391966933009172,0.6454109625435129,36,0.6809903165995808,0.0417936232986635,0.0,0.6391966933009172
6,RMD_Factitious Disorder,PT_Blockchain For Data Protection,0.6304394742498491,0.6304394742498491,0.637059876502374,36,0.6809903165995808,0.0505508423497316,0.0,0.6304394742498491
7,RMD_Chronic Traumatic Encephalopathy,PT_Blockchain For Data Protection,0.6281681822578149,0.6281681822578149,0.6317947058697861,36,0.6787190246075465,0.0505508423497316,0.0,0.6281681822578149
8,RMD_Dissociative Fugue,PT_Vocal And Speech Biomarkers,0.6220279461092055,0.6220279461092055,0.6315964486218952,36,0.6295874056315989,0.0075594595223932,0.0,0.6220279461092055
9,RMD_Antisocial Personality Disorder,PT_Dietary Interventions And Supplements,0.6063933418478231,0.6063933418478231,0.6248443805629974,36,0.6870196892979348,0.0806263474501115,0.0,0.6063933418478231
10,RMD_Chronic Traumatic Encephalopathy,PT_Dietary Interventions And Supplements,0.5980926771574349,0.5980926771574349,0.612932213603237,36,0.6787190246075465,0.0806263474501115,0.0,0.5980926771574349
11,RMD_Selective Mutism,PT_Deep Brain Stimulation,0.5865678472368315,0.5865678472368315,0.6133557210233326,36,0.8604658235848102,0.2738979763479787,0.0,0.5865678472368315
12,RMD_Selective Mutism,PT_Transcranial Direct Current Stimulation,0.5841054993934819,0.5841054993934819,0.5908979381559171,36,0.8604658235848102,0.2763603241913283,0.0,0.5841054993934819
13,RMD_Schizotypal Personality Disorder,PT_Cultural Psychiatry Interventions,0.5837583180504281,0.5837583180504281,0.5930397356907969,36,0.6605032043836859,0.0767448863332578,0.0,0.5837583180504281
14,RMD_Narcissistic Personality Disorder,PT_Dietary Interventions And Supplements,0.5814391296616807,0.5814391296616807,0.5912575298540232,36,0.6620654771117923,0.0806263474501115,0.0,0.5814391296616807
15,RMD_Selective Mutism,PT_Electroencephalography,0.5650023717249031,0.5650023717249031,0.5861118401275058,36,0.8604658235848102,0.2954634518599072,0.0,0.5650023717249031
16,RMD_Hallucinogen Persisting Perception Disorder,PT_Neurofeedback Systems,0.5616302427557448,0.5616302427557448,0.563205813301128,36,0.6878894775854928,0.126259234829748,0.0,0.5616302427557448
17,RMD_Body Integrity Dysphoria,PT_Reality Testing Techniques,0.560256471746094,0.560256471746094,0.5687214091096428,36,0.5670019260395676,0.0067454542934734,0.0,0.560256471746094
18,RMD_Body Integrity Dysphoria,PT_Sleep Pattern Monitoring And Manipulation,0.5513151269527878,0.5513151269527878,0.5660164238785981,36,0.5670019260395676,0.0156867990867797,0.0,0.5513151269527878
19,RMD_Kleptomania,PT_Speech Language Therapy,0.5498438777692886,0.5498438777692886,0.5871592778335513,36,0.7412501146256589,0.1914062368563703,0.0,0.5498438777692886
20,RMD_Selective Mutism,PT_Brain Computer Interface,0.5485575500890758,0.5485575500890758,0.5667440856487203,36,0.8604658235848102,0.3119082734957344,0.0,0.5485575500890758
21,RMD_Selective Mutism,PT_Immunotherapy For Neuropsychiatric Disorders,0.5430009089528511,0.5430009089528511,0.596426939353671,36,0.8604658235848102,0.3174649146319591,0.0,0.5430009089528511
