pt_name,direct_value,spillover_value,spillover_value_norm,spillover_gain,spillover_gain_norm,linked_rmd_count,top_source_rmds,top_reachable_rmds
Electroconvulsive Therapy,7.438108305844183,6.135873325076947,0.9999999996718845,-1.3022349807672358,0.864561606657917,19,Anorexia Nervosa; Antisocial Personality Disorder; Autosarcophagy,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Naltrexone,5.0265067453077235,4.809093970738756,0.7823315355203248,-0.21741277456896757,0.1418244771133486,15,Autosarcophagy; Avoidant Personality Disorder; Disinhibited Social Engagement Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Narrative Exposure Therapy,3.9779959757715657,3.9825314317890848,0.6467275273707309,0.004535456017519035,0.0,9,Autosarcophagy; Brief Psychotic Disorder; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Stimulant And Wake Promoting Agents,5.0011848565599735,3.964868063529896,0.6438297145368564,-1.0363167930300774,0.6873999053203599,15,Anorexia Nervosa; Antisocial Personality Disorder; Cyclothymic Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Mood Stabilizers,2.858961781005145,3.872536770533319,0.6286820483676633,1.0135749895281743,0.6722487167756187,10,Brief Psychotic Disorder; Capgras Syndrome; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Animal Assisted Therapy,3.3621226363985235,3.682905338694589,0.5975715382528999,0.32078270229606565,0.21069224587753085,9,Autosarcophagy; Factitious Disorder; Fregoli Delusion,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Hypnotherapy,4.368612826201702,3.640910593831803,0.5906819739957904,-0.7277022323698992,0.48179275565768975,15,Anorexia Nervosa; Antisocial Personality Disorder; Avoidant Personality Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Metaverse,2.967718250175581,3.5368101816368105,0.5736034923583284,0.5690919314612293,0.37612239516916074,14,Brief Psychotic Disorder; Capgras Syndrome; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Closed Loop Neurostimulation,4.671520098821332,3.4410613980903926,0.557895160305389,-1.230458700730939,0.8167423582074119,9,Anorexia Nervosa; Dissociative Fugue; Factitious Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Neuroprotective Agents,4.808735440479129,3.3032085998950076,0.5352793374377263,-1.5055268405841216,0.9999999986675472,14,Anorexia Nervosa; Antisocial Personality Disorder; Avoidant Personality Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Transcranial Magnetic Stimulation,2.72533130587528,3.298822551790199,0.5345597721599377,0.5734912459149188,0.3790533343424711,12,Brief Psychotic Disorder; Capgras Syndrome; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Cognitive Behavioral Therapy,2.503379858820937,2.946872315305659,0.4768196006816281,0.443492456484722,0.2924447164692143,12,Brief Psychotic Disorder; Capgras Syndrome; Childhood Disintegrative Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Immunotherapy For Neuropsychiatric Disorders,2.9247966217591803,2.6362894314366665,0.42586606488648654,-0.2885071903225138,0.18918944961740075,9,Antisocial Personality Disorder; Autosarcophagy; Avoidant Personality Disorder,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
Emdr Therapy,2.8149269883274948,2.5514555840953275,0.4119484129434715,-0.2634714042321673,0.17250994944544185,8,Brief Psychotic Disorder; Childhood Disintegrative Disorder; Chronic Traumatic Encephalopathy,Reactive Attachment Disorder; Ganser Syndrome; Schizotypal Personality Disorder
