,Closed Loop Neurostimulation,Transcranial Direct Current Stimulation,Electroconvulsive Therapy,Digital Phenotyping,Neuroprotective Agents,Hypnotherapy,Social Skills Training,Stimulant And Wake Promoting Agents,Machine Learning Neuroimaging,Immunotherapy For Neuropsychiatric Disorders,Animal Assisted Therapy,Narrative Exposure Therapy,Naltrexone,Art Therapy,Transference Focused Psychotherapy,Personalized Medicine,Cbt For Insomnia,Acceptance And Commitment Therapy,Digital Therapeutics,Trauma Focused Cbt,Occupational Therapy,Anxiolytic Medications,Virtual Reality Exposure Therapy,Vocal And Speech Biomarkers,Psilocybin Assisted Therapy,Sleep Pattern Monitoring And Manipulation,Stem Cell Therapy For Neurological Disorders,Neuromodulation Techniques,Cognitive Assistive Technologies,Traditional And Alternative Medicine Approaches,Interpersonal Psychotherapy,Electroencephalography,Transcranial Magnetic Stimulation,Mood Stabilizers,Cognitive Behavioral Therapy,Emdr Therapy,Metaverse,Mindfulness Based Stress Reduction,Antidepressants,Selective Serotonin Reuptake Inhibitors,Chronic Traumatic Encephalopathy,Motivational Interviewing,Dialectical Behavior Therapy,Neurobiological Assessments For Mental Disorders,Expressive Writing And Journaling,Speech Language Therapy,Regenerative Medicine Approaches,Lithium Therapy,Neurofeedback Systems,Reality Testing Techniques,Digital Health Tools,Meditation And Relaxation Techniques,Neuroplasticity Techniques,Digital Imaging Technologies For Brain Scanning,Voxel Based Lesion Symptom Mapping,Anticonvulsant Therapy,Antipsychotic Medications,Clozapine Protocol,Music Therapy,Focused Ultrasound Therapy,Resting State Fmri,Fecal Microbiota Transplant,Secure Data Storage For Patient Records,Augmentative Communication Devices,Memory Retrieval Techniques,Mentalization Based Treatment,Deep Brain Stimulation,Brain Computer Interface,Prolonged Exposure Therapy,Blockchain For Data Protection,Ketamine Therapy,Schema Therapy
Anorexia Nervosa,1.0,0.875,0.75,0.625,0.5,0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antisocial Personality Disorder,0.0,1.0,0.875,0.0,0.375,0.5,0.125,0.25,0.75,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autosarcophagy,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.875,0.75,0.625,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avoidant Personality Disorder,0.0,0.0,0.375,0.0,0.25,0.625,0.125,0.0,1.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boanthropy,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.625,0.5,0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Body Integrity Dysphoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.625,0.5,0.375,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brief Psychotic Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.625,0.5,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capgras Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.875,0.625,0.0,1.0,0.375,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Childhood Disintegrative Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.5,0.625,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chronic Traumatic Encephalopathy,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.5,0.0,0.0,0.0,0.0,1.0,0.75,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
