,Anorexia Nervosa,Antisocial Personality Disorder,Autosarcophagy,Avoidant Personality Disorder,Boanthropy,Body Integrity Dysphoria,Brief Psychotic Disorder,Capgras Syndrome,Childhood Disintegrative Disorder,Chronic Traumatic Encephalopathy,Circadian Rhythm Sleep Wake Disorder,Cotard Syndrome,Cyclothymic Disorder,Delusional Disorder,Diogenes Syndrome,Disinhibited Social Engagement Disorder,Dissociative Amnesia,Dissociative Fugue,Ekbom Syndrome,Erotomania,Factitious Disorder,Fregoli Delusion,Ganser Syndrome,Hallucinogen Persisting Perception Disorder,Histrionic Personality Disorder,Hypergraphia,Hyperthymesia,Impulse Control Disorders,Intermetamorphosis Syndrome,Kleine Levin Syndrome,Kleptomania,Koro,Landau Kleffner Syndrome,Narcissistic Personality Disorder,Olfactory Reference Syndrome,Othello Syndrome,Palilalia,Postpartum Psychosis,Pyromania,Reactive Attachment Disorder,Reduplicative Paramnesia,Rumination Disorder,Savant Syndrome,Schizoaffective Disorder,Schizotypal Personality Disorder,Selective Mutism,Stendhal Syndrome,Wendigo Psychosis
Anorexia Nervosa,0.05134453805358476,0.0050946683230557845,0.0234842906395552,0.0312216887602898,0.025139367898228716,0.01887350046159664,0.014707290769291791,0.022565355801063315,0.02105051424198407,0.0182331292863341,0.01612031443247263,0.026229641186172138,0.015324452602967368,0.01259827098606364,0.020173697817222107,0.026413924441444088,0.004281989300196003,0.028425298881530156,0.01706637418085257,0.030037659553972463,0.029431916301190134,0.020900237730240707,0.020556619446931705,0.02194570272411098,0.019098163092184404,0.028857515668080636,0.026158973494578106,0.021007625689486744,0.01308953360014158,0.002897496643992926,0.02664337282460828,0.012320636429181924,0.007554945868165057,0.024785294289933445,0.018805329983084994,0.029872736675632703,0.02498992634569086,0.016683327116564412,0.01695890048486033,0.013100749813947541,0.01857990272288089,0.008997820032799024,0.03293014109330486,0.010287329580566771,0.027981093007614054,0.026893924448136305,0.027006498575696838,0.023278318647171888
Antisocial Personality Disorder,0.0034937466394491315,0.0352103014178526,0.02340767750756277,0.0185426735091833,0.026022956968770838,0.023483515200472153,0.008064064578471692,0.021592032414814468,0.014770789845783316,0.030320189114993117,0.02290158650014295,0.01966178745658928,0.027062667727026413,0.01640392915108155,0.014153698904396696,0.020063365394421957,0.02751973260531274,0.01981959663046619,0.0268185174859743,0.021618425120805262,0.01663686430880211,0.021102377159173662,0.009794819685959051,0.025378929969266342,0.020758368622237917,0.0243069172865405,0.023987278360374113,0.02840300282594784,0.0,0.031561276901074964,0.025329244097836368,0.01803059223218119,0.014975586774248985,0.024499634460309228,0.02772941744865601,0.0,0.023333373361067573,0.02369328278027386,0.018903489325840597,0.028529113447780273,0.01757058328180706,0.03193356986255084,0.0,0.03207538186078171,0.01912199341145261,0.027770904332699495,0.02010136842786117,0.023541375566495503
Autosarcophagy,0.015382733904447509,0.022358306966584696,0.033631817049426235,0.023961427116563152,0.025934488392086508,0.023561412613023334,0.013490300279989613,0.02258836075102579,0.017523050417308707,0.02764883501323762,0.019261242988153637,0.023816420326497105,0.021968818066114455,0.011933761284019554,0.01761756310041122,0.029069716714848263,0.01591345188595444,0.023596815035905046,0.016624748228598243,0.027666398616832035,0.022359746509454364,0.02029623058589556,0.009397449082987612,0.02645809147035049,0.02003946442156752,0.02865661472674591,0.0273040676478167,0.022614914992675976,0.0,0.02313728460370375,0.02605580929484296,0.015957874196728904,0.014096935705937792,0.02612590654200865,0.02926918943401409,0.0,0.027468798682197766,0.022038991881602726,0.01575468780763888,0.017813141963904773,0.02386399437749572,0.01915286238576069,0.006701065587455184,0.024067938301186097,0.02171834644469715,0.027307122276147993,0.02318887416605702,0.02560492812646683
Avoidant Personality Disorder,0.022246711706455244,0.01926665391753014,0.02606549857202508,0.036585052927438716,0.02239912681270952,0.019932415221768876,0.014098197070409742,0.019840594423062453,0.015798104509951803,0.02540998102097382,0.017353796776047644,0.021722549933034664,0.02323098912324613,0.0071090381450561,0.019056002700221418,0.02569764952409307,0.015115896236145236,0.025972316672420753,0.017343309768974906,0.027991154358486217,0.02783481639101607,0.024200638067506882,0.019077142504499222,0.022960277081112427,0.02245342790299384,0.02691510214072809,0.029171729613699203,0.023900791459444643,0.0,0.018566271725043798,0.02931543346686309,0.012562680495547998,0.013156764860395994,0.025970461544428378,0.027181450039232127,0.003399481551743931,0.0242579380738319,0.021864610412703548,0.017594607636199754,0.0204169496481184,0.018828715991975668,0.01803844073482343,0.013162516147293947,0.022665140107555545,0.027238891172855394,0.026805768534787625,0.01898978613618608,0.021235127102776422
Boanthropy,0.01616768007620589,0.024404757959531617,0.025463315861282955,0.02021692057602529,0.03302080101104796,0.0274722256102214,0.006747887360065356,0.02385739837777086,0.014705804087113746,0.02858731757631582,0.02273868784398613,0.025566112874816645,0.020060124617012544,0.018681568479647557,0.01545733897561014,0.02430288830246584,0.02019008893963231,0.020142732985688656,0.023899880561739775,0.027018391320104997,0.017837696665324067,0.01844366754952694,0.008221324906983523,0.026451239160797054,0.015345364782650212,0.02958742044593874,0.022928847101678584,0.023428733477002927,0.0,0.02052586669825362,0.028107809635724058,0.023789760946995704,0.015402725810970843,0.021974302136592946,0.02458860470438924,0.0,0.029774258009506636,0.022228949585555855,0.02394023543662818,0.019739433281159104,0.01872326700392248,0.023170527354110824,0.0,0.024085850274294975,0.01754995984198164,0.02922222933892593,0.024930798424055742,0.03129920399772386
Body Integrity Dysphoria,0.012965843147646436,0.02352534068980027,0.02471118381349205,0.01921758436083792,0.029345992255172808,0.03527301298695203,0.005142636761101079,0.024453006893932955,0.020033974890009864,0.025861915489441348,0.024854942894859296,0.022442806048581437,0.016775876754086705,0.01826547695874136,0.023956130141956418,0.024020266069861605,0.020020467503547464,0.018569596325961016,0.022542264397637454,0.023206169173865185,0.01814451268170667,0.022470098626562227,0.012066058721282896,0.026102149780829646,0.013810984161429759,0.028951340323794945,0.01879814532733749,0.024688586746502178,0.0,0.0196764856632185,0.025167898863410077,0.026097876412896154,0.017656334970674054,0.026102534437579112,0.021248796167463807,0.0,0.030658565745788693,0.025870759217768408,0.02182768934504813,0.01982124665463141,0.023596891812591413,0.02403544056889832,0.0,0.020849460674989044,0.01639896106665727,0.028468707138976732,0.022788081860831845,0.0295179054363735
Brief Psychotic Disorder,0.017311031809814345,0.013841041816885427,0.024241294708175435,0.023288655466146606,0.012349937137147724,0.008811053094900365,0.06043444339603745,0.03705547832346192,0.02951881069230119,0.024473376960787267,0.0,0.037138537512905974,0.03240228829771809,0.0,0.018470499503532727,0.029447075964325175,0.022467709270743305,0.03134201033080418,0.0,0.03012274931904283,0.02706625208949406,0.011283629705655227,0.007847387699462388,0.0264835279646153,0.017810865393530585,0.026778282768284728,0.032169573823828686,0.01928426124282475,0.0,0.020114750283144533,0.01872226932256741,0.010061567137291479,0.01973827837330722,0.030203748360865704,0.03008777215992899,0.0074490924136125835,0.02153683478992767,0.028653250846526604,0.011401847485618557,0.008842655210709316,0.02028020551276641,0.004336929657081053,0.02350894085514121,0.023609121364964365,0.025222973419729518,0.02479768477175104,0.03470008492089142,0.015292218761314673
Capgras Syndrome,0.01470780829648754,0.020522194835103907,0.022476796261283863,0.018148929664549465,0.024178842388737583,0.0232000936401014,0.020519554275322503,0.03346570864742356,0.023443813921220247,0.023934121887663713,0.013357349720183579,0.031368186424315554,0.02502182080204382,0.010399416036631642,0.018946482992642278,0.024896757807531214,0.02108455964881725,0.026861137274480702,0.014707300283129396,0.026971902530615675,0.02186493060720718,0.01716304810007074,0.01183591619145128,0.02800711868217094,0.016264389458431026,0.029633433963290018,0.02502868266108646,0.022301649929985033,0.0,0.019017694468152994,0.021742864569791794,0.021980800614094145,0.02104162584155535,0.026465659618493273,0.02317102794243701,0.0,0.026373027620968305,0.025600096848120472,0.02019250312554479,0.015217138253340453,0.021700897791822233,0.01715784688670394,0.0057726524338609685,0.02254676138188807,0.018816876556979695,0.02813141598214798,0.03049344766672327,0.02426571543193198
Childhood Disintegrative Disorder,0.016963672518143548,0.017357428996631077,0.021558115764508824,0.017867044370169307,0.01842691332020041,0.023500439688172167,0.020209973792157113,0.028985424220372525,0.041376277991310384,0.018185413183847282,0.019570023816600075,0.024970350877239846,0.025186330005460847,0.010721001876422602,0.02350468788980078,0.026552877056915423,0.017348572951404715,0.025809808940516144,0.015223279996580992,0.021705274809774827,0.03025185084633133,0.017727106821014995,0.013379949554348385,0.02952252432742448,0.02662566464209964,0.02581527641963343,0.021421084269127314,0.02741254350855945,0.0,0.016357625660299756,0.018852575132859265,0.02317387207554885,0.027565476589008545,0.03203472135527646,0.01898762116473993,0.0004233206294657182,0.024628889353946658,0.024094365834671897,0.008769950395223037,0.013280618797917589,0.02514275992141472,0.016533272132548002,0.005715690551407461,0.019321364732531137,0.023715154183576042,0.02624733024981815,0.029960953831410928,0.01801552491219149
Chronic Traumatic Encephalopathy,0.011323213338962607,0.027457746566948927,0.02621375489714102,0.02214641237009642,0.02760504957954061,0.023378726979031428,0.012912552560894765,0.022804481483211916,0.014014399101673774,0.031886197319237884,0.019992190792874995,0.024267197638811057,0.024194301627133766,0.01689732984808253,0.014870402411394526,0.022836397500876297,0.02263856685825164,0.019966837702634296,0.02248064380544749,0.02612224252189448,0.0176231685699359,0.020066426281216083,0.007192743256776987,0.024046642180881348,0.01581373418666229,0.027049192290374526,0.02564296507227438,0.02546230975176116,0.0,0.027260267146622157,0.026376952962042316,0.016627948215677178,0.014062438175486632,0.02426082872361433,0.02940822317718808,0.0,0.026472474822704654,0.02445245821975607,0.02141615854586229,0.023227421150547378,0.01873321253853976,0.024871480943794076,0.0,0.028798987521574095,0.021570880503743426,0.02726289654027554,0.021704337907584036,0.026587206379078673
