Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,13.343465,2.5760374,0.01986785,0.35734823,0.045479182,0.87241584,0.05084977,0.32296732,0.59655994,7.0446773,0.06148937,0.08285318,3.2354534,0.06083225,0.09090525,0.06981173,0.11111623,0.3330602,2.0145352,0.52982855,2.83818,0.034039862,0.22576472,1.7622371,0.3057886,0.063003846,0.5156354,2.3289456,0.009955681,0.24942952,0.5810079,0.05403808,0.18786985,6.22251,1.3691804,0.5301859,0.026570078,0.26979706,0.22212715,2.8189704,0.033814877,2.0110579,0.26520166,1.3445787,2.9592257,0.401354,0.032614805,0.017599294
2026-02-01,12.838196,2.568151,0.019799875,0.35293132,0.044987764,0.8473936,0.049949806,0.31668076,0.57935864,6.7914863,0.060247846,0.08142286,3.1314764,0.06069051,0.089052826,0.069186874,0.108686365,0.32546532,1.9520822,0.5198445,2.7698596,0.033717223,0.22313604,1.7121503,0.3020998,0.062096316,0.504504,2.2789986,0.012012124,0.24282032,0.568542,0.05301868,0.18364297,6.003454,1.3330866,0.51352394,0.026247393,0.26465708,0.21713798,2.7323194,0.03332716,1.9497179,0.2613258,1.3076024,2.8750625,0.39368886,0.032070063,0.017399892
2026-03-01,12.527151,2.5791786,0.019852584,0.350963,0.044783752,0.8328324,0.04939451,0.31282568,0.56945366,6.644881,0.059465017,0.08059541,3.0706294,0.060943507,0.08791822,0.068940766,0.1072462,0.32092088,1.916333,0.5139447,2.729182,0.033612352,0.22194809,1.6819125,0.30071545,0.06158541,0.49767306,2.2531116,0.014344919,0.23866189,0.56066495,0.052436847,0.18114585,5.8707285,1.3108974,0.5032019,0.026111085,0.26150212,0.21422264,2.6793125,0.03308466,1.91204,0.25899372,1.284535,2.8225338,0.3890723,0.03174706,0.017341118
2026-04-01,12.443148,2.6142774,0.020045405,0.35163602,0.04490113,0.8302321,0.049237367,0.3116989,0.5672676,6.618365,0.059210718,0.0804328,3.0567055,0.061668877,0.08760014,0.069120355,0.10693627,0.3199605,1.9124026,0.51279175,2.7227423,0.03374372,0.22226165,1.6748452,0.3017085,0.061516736,0.496109,2.254405,0.01760344,0.2371869,0.5580113,0.052302063,0.18073341,5.836532,1.3040044,0.49992394,0.026154172,0.26069432,0.21355538,2.6652699,0.033171616,1.9002571,0.2583125,1.2764882,2.806766,0.3882336,0.031643175,0.017412486
2026-05-01,12.453003,2.6618075,0.020317648,0.35340127,0.04516766,0.8324413,0.04924779,0.31175935,0.5682837,6.638001,0.059177976,0.08055753,3.0618887,0.0626476,0.087616704,0.06949208,0.10708472,0.32065913,1.9210941,0.5136533,2.7300289,0.034000877,0.22323166,1.6782368,0.3037204,0.06166059,0.49696347,2.2683473,0.021012664,0.2368227,0.55759263,0.05237914,0.18120083,5.844285,1.3036755,0.49968696,0.026286673,0.26085088,0.21386942,2.667715,0.033406015,1.8992441,0.25838116,1.2749419,2.8067226,0.38900918,0.031641837,0.017553175
2026-06-01,12.468326,2.7108796,0.020577397,0.35547075,0.04543724,0.8345682,0.049242575,0.3118969,0.5692478,6.654351,0.059167117,0.08067283,3.0660841,0.06358438,0.087609634,0.069842376,0.10718062,0.32135648,1.9290094,0.51456094,2.735945,0.03424532,0.22431643,1.6817852,0.305702,0.061779533,0.49792418,2.2836046,0.024183553,0.23645078,0.55738014,0.052482087,0.18159357,5.8539205,1.3041818,0.49960908,0.026444737,0.26101682,0.21417202,2.6703432,0.033634685,1.8990833,0.2587189,1.2740003,2.8075557,0.38965705,0.03166086,0.017688345
2026-07-01,12.439177,2.7553332,0.02081093,0.35682082,0.045654524,0.83426565,0.049168468,0.31135717,0.5684794,6.647119,0.059033863,0.08063014,3.0611768,0.064397104,0.08740876,0.07008607,0.107043006,0.32116732,1.9309237,0.5142627,2.7351482,0.03443935,0.22494176,1.6801949,0.30736297,0.061879627,0.4976829,2.29553,0.026970157,0.23557411,0.55590254,0.052497327,0.18148936,5.84396,1.3021483,0.49809918,0.026566774,0.26061216,0.2140466,2.6648688,0.03378447,1.8945765,0.2589245,1.2705855,2.8005748,0.38941243,0.031664144,0.017811418
2026-08-01,12.441669,2.808784,0.021083627,0.3588146,0.045941673,0.83533585,0.049131885,0.3112126,0.5684254,6.652282,0.058969274,0.080670275,3.061074,0.06532712,0.08729937,0.070425555,0.10704094,0.3216173,1.9362984,0.5145157,2.7382889,0.034679756,0.22584909,1.682433,0.30953276,0.062075365,0.49840078,2.3125212,0.028912194,0.2349982,0.55514365,0.05259005,0.18163785,5.846588,1.3020514,0.4974947,0.026735092,0.2605038,0.21425243,2.664227,0.034007136,1.8936712,0.25959304,1.2688059,2.797686,0.38963857,0.031715687,0.01796002
2026-09-01,12.390457,2.8562737,0.02131813,0.36039194,0.04618668,0.8334928,0.048988003,0.3103376,0.56654364,6.6294184,0.058745388,0.08053539,3.0507498,0.06611719,0.08696193,0.07064883,0.10673545,0.32095948,1.934774,0.5130834,2.7338128,0.03486319,0.2264094,1.6783558,0.31128636,0.0622279,0.4975211,2.3263545,0.030583272,0.23378073,0.5530028,0.052576963,0.18120368,5.829573,1.2990514,0.49509957,0.026867643,0.25969127,0.21384227,2.654304,0.03412582,1.8875265,0.2600281,1.2639134,2.7863796,0.38866058,0.031742826,0.018080045
2026-10-01,12.326317,2.9027092,0.021541268,0.36199048,0.04642155,0.83099395,0.04883148,0.30930123,0.56410116,6.6003623,0.058504336,0.08038091,3.0372994,0.06686751,0.08657895,0.070862845,0.106376894,0.32007423,1.93098,0.5114284,2.7272694,0.035034414,0.22694255,1.6730939,0.3129515,0.06238094,0.49624085,2.3394697,0.03163456,0.23247668,0.5506731,0.05256065,0.1806278,5.8064265,1.2955331,0.49232167,0.026985656,0.25877526,0.21331805,2.6422765,0.034220938,1.8801414,0.26059395,1.2584239,2.7728655,0.38755086,0.03177848,0.018188708
