Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,389.13483,83.21595,23.216572,42.101704,24.93481,52.142776,24.633493,37.161728,47.903816,307.4258,25.01007,27.357443,140.78122,23.81184,27.006294,27.696857,27.687147,50.036926,67.93596,56.14562,129.97542,24.196249,37.48175,116.30682,41.890747,28.08615,59.963684,102.23964,22.3275,33.366608,54.91606,25.192059,33.33268,250.11581,86.18664,40.960236,24.93611,41.71545,43.71029,143.7211,25.734509,100.41515,41.230145,80.48211,153.8735,57.737587,26.154797,23.558275
2026-02-01,378.36484,83.41954,23.220116,42.066147,24.938353,51.58683,24.61965,37.022724,47.462616,299.37198,24.984922,27.320444,138.17412,23.822805,26.953041,27.692356,27.623175,49.581543,67.02014,55.658943,128.11017,24.195587,37.4519,114.26179,41.83722,28.07268,59.36857,101.46362,22.33306,33.20765,54.543594,25.17329,33.146503,243.95279,85.29281,40.597633,24.932858,41.46145,43.42368,140.81366,25.684,98.87861,41.1596,79.51709,150.89816,57.199005,26.143883,23.558039
2026-03-01,372.13864,83.779755,23.22394,42.060825,24.943565,51.269962,24.614597,36.945076,47.209557,294.5366,24.972662,27.30041,136.62486,23.836485,26.922337,27.69384,27.588373,49.29149,66.56558,55.34919,127.004906,24.19819,37.438538,112.99011,41.80677,28.064606,58.98831,101.10423,22.339634,33.116245,54.31665,25.163937,33.033237,240.12708,84.76124,40.38076,24.93021,41.291756,43.22902,138.92485,25.651915,97.91286,41.0896,78.90775,148.95546,56.838673,26.133455,23.557499
2026-04-01,371.13483,84.44348,23.229647,42.103897,24.953424,51.240562,24.621012,36.939896,47.17872,293.3576,24.976841,27.301193,136.28745,23.856915,26.91892,27.705679,27.589817,49.190826,66.680756,55.235718,126.77985,24.206144,37.453426,112.59944,41.818245,28.065636,58.850227,101.30009,22.349495,33.10582,54.260597,25.16688,33.006516,238.97891,84.65427,40.34045,24.930426,41.218864,43.140285,138.20303,25.642021,97.61454,41.041977,78.702995,148.15175,56.67695,26.1259,23.558226
2026-05-01,372.27255,85.22559,23.235952,42.16439,24.964684,51.32856,24.63216,36.964905,47.238415,293.66327,24.98782,27.310654,136.44269,23.879887,26.926771,27.720999,27.606012,49.168427,67.02643,55.203407,126.914,24.216234,37.478134,112.57187,41.84282,28.06951,58.81197,101.72126,22.36137,33.129086,54.275307,25.174994,33.01577,238.93687,84.722916,40.373817,24.931288,41.185806,43.095207,137.96626,25.641352,97.591805,40.997467,78.66625,147.82198,56.597454,26.118826,23.5592
2026-06-01,373.5232,86.00682,23.242237,42.228806,24.976076,51.422085,24.643152,36.992302,47.300804,294.06317,24.998802,27.32078,136.62294,23.90237,26.935005,27.736614,27.622276,49.155754,67.36552,55.183212,127.069824,24.22621,37.505203,112.58029,41.87256,28.074554,58.786682,102.15927,22.373865,33.153923,54.298573,25.183533,33.027546,239.0169,84.81601,40.41236,24.932867,41.161743,43.061073,137.80696,25.641684,97.61217,40.96495,78.65958,147.58682,56.535973,26.113293,23.56048
2026-07-01,373.99603,86.80506,23.249025,42.298805,24.988493,51.47429,24.652908,37.011406,47.328987,293.90137,25.007553,27.329254,136.61438,23.925264,26.939219,27.75344,27.633068,49.114693,67.61563,55.13887,127.105606,24.236446,37.53663,112.45713,41.913857,28.082031,58.72731,102.604706,22.38734,33.16751,54.30497,25.191431,33.025936,238.7059,84.883934,40.42384,24.935995,41.127663,43.015,137.48735,25.638456,97.57487,40.953835,78.62762,147.23303,56.45177,26.110485,23.562716
2026-08-01,375.13437,87.69294,23.25628,42.38128,25.002052,51.56305,24.664366,37.041183,47.38395,294.17853,25.018635,27.340868,136.75241,23.949648,26.946896,27.772778,27.648401,49.097923,67.93793,55.118477,127.252716,24.247784,37.5749,112.4431,41.965504,28.091679,58.69744,103.14922,22.40076,33.1919,54.33499,25.201365,33.035336,238.74103,85.015015,40.459465,24.939909,41.105278,42.9822,137.31787,25.638145,97.62959,40.949486,78.65374,147.02242,56.391426,26.108572,23.565294
2026-09-01,375.35358,88.604935,23.263895,42.47048,25.016628,51.60346,24.674286,37.062096,47.39971,293.82892,25.02691,27.350307,136.68286,23.97431,26.949785,27.79341,27.65732,49.04821,68.15777,55.07034,127.26878,24.259203,37.618294,112.27852,42.027504,28.103512,58.630257,103.68329,22.414404,33.203014,54.346153,25.210157,33.028423,238.32913,85.1108,40.46206,24.945084,41.07109,42.934372,136.9696,25.633371,97.60572,40.963234,78.639915,146.66342,56.303925,26.108889,23.568598
2026-10-01,375.23004,89.47238,23.271116,42.554153,25.030296,51.62477,24.683167,37.078007,47.400463,293.26163,25.033895,27.358377,136.53572,23.997652,26.950869,27.812782,27.663612,48.98862,68.331406,55.012234,127.230316,24.269855,37.658394,112.06676,42.086365,28.11464,58.55034,104.17561,22.426754,33.2088,54.34745,25.218145,33.01652,237.77191,85.18442,40.45366,24.950092,41.033195,42.883045,136.5659,25.627464,97.55328,40.97815,78.61074,146.25801,56.20854,26.109413,23.571848
2026-11-01,374.3675,90.26485,23.277683,42.628624,25.042532,51.60516,24.690052,37.083008,47.369835,292.20807,25.038301,27.36321,136.22517,24.018911,26.948072,27.829891,27.66462,48.90549,68.41733,54.929806,127.07261,24.27912,37.694267,111.74189,42.137325,28.124035,58.440872,104.569176,22.43758,33.20294,54.324905,25.224041,32.99269,236.86937,85.195816,40.420914,24.954391,40.983498,42.81962,136.02022,25.6186,97.41159,40.98851,78.52634,145.71152,56.09013,26.109478,23.574709
2026-12-01,373.49634,91.08582,23.284107,42.705093,25.054667,51.58407,24.697052,37.089874,47.339268,291.14847,25.04271,27.368256,135.91968,24.040384,26.945078,27.847342,27.665564,48.8216,68.50572,54.85047,126.92844,24.28828,37.73087,111.41754,42.186897,28.13316,58.332912,104.958405,22.447973,33.19655,54.30519,25.229752,32.967674,235.96822,85.21094,40.386314,24.958225,40.934135,42.75692,135.47195,25.609152,97.26442,40.990723,78.4405,145.16298,55.972305,26.10854,23.577118
2027-01-01,372.28363,92.07095,23.29188,42.79383,25.06961,51.546345,24.704964,37.09584,47.295685,289.77255,25.047295,27.373465,135.52061,24.06637,26.940434,27.868277,27.665077,48.717255,68.59101,54.750908,126.722565,24.299225,37.770737,111.00766,42.24549,28.14434,58.198242,105.39919,22.460787,33.185978,54.27233,25.236017,32.93467,234.8047,85.21167,40.33724,24.963182,40.870163,42.676975,134.77924,25.597178,97.052155,40.99855,78.32208,144.4682,55.825512,26.107927,23.580183
2027-02-01,370.65,93.0538,23.299526,42.88449,25.084558,51.485775,24.71203,37.098625,47.23356,288.12164,25.050556,27.377995,135.02574,24.091679,26.93354,27.889507,27.661446,48.60112,68.62334,54.642944,126.45871,24.309788,37.81168,110.538315,42.308273,28.156565,58.05078,105.83026,22.473236,33.16919,54.232998,25.241901,32.894413,233.45798,85.20723,40.27343,24.968733,40.803658,42.594997,134.03036,25.583496,96.82062,41.016838,78.20026,143.74095,55.674,26.108725,23.583506
2027-03-01,370.64276,93.9744,23.306578,42.970947,25.09813,51.51264,24.721436,37.119446,47.239838,287.6606,25.057997,27.387693,134.91849,24.115381,26.935165,27.909645,27.668419,48.54941,68.81383,54.599503,126.46074,24.320274,37.852783,110.363266,42.369324,28.168499,57.984634,106.36629,22.484917,33.177097,54.243893,25.250673,32.883392,233.00667,85.31862,40.268204,24.97383,40.771164,42.55165,133.68875,25.57777,96.806915,41.03465,78.20668,143.40189,55.592854,26.109718,23.58665
2027-04-01,371.66022,94.93185,23.313963,43.060913,25.1124,51.59366,24.732588,37.152267,47.289406,287.92966,25.068237,27.400585,135.05396,24.140327,26.942034,27.930782,27.682125,48.536545,69.111496,54.594448,126.62993,24.331533,37.895744,110.36578,42.43386,28.181328,57.967644,106.98381,22.497501,33.20014,54.283737,25.261286,32.890015,233.0861,85.496216,40.297913,24.979393,40.7576,42.52947,133.57968,25.576767,96.90773,41.05802,78.281075,143.27925,55.552063,26.111296,23.590107
2027-05-01,374.0858,95.9259,23.321407,43.156433,25.126896,51.752197,24.74644,37.20357,47.39868,289.18515,25.082691,27.418793,135.51364,24.165901,26.9563,27.953108,27.705454,48.576607,69.56271,54.643547,127.02895,24.343561,37.942326,110.61135,42.5036,28.195395,58.017693,107.73235,22.510298,33.24521,54.36895,25.274971,32.92087,233.90431,85.78603,40.377182,24.9852,40.772537,42.539124,133.80371,25.58228,97.19853,41.08348,78.46893,143.48158,55.56959,26.113228,23.593624
2027-06-01,375.4615,96.869896,23.328827,43.24738,25.141218,51.85283,24.757935,37.23932,47.46284,289.73352,25.09356,27.432928,135.73439,24.190632,26.965014,27.974236,27.721245,48.580994,69.88829,54.655792,127.25438,24.354847,37.988796,110.68613,42.572662,28.209198,58.022182,108.39757,22.52322,33.27345,54.42169,25.28635,32.93435,234.20697,85.99747,40.42096,24.991314,40.770393,42.530373,133.81192,25.583393,97.36572,41.117107,78.58238,143.47806,55.551506,26.116112,23.59744
2027-07-01,376.46555,97.79193,23.33615,43.334534,25.155298,51.933376,24.768478,37.269493,47.5115,290.02362,25.10327,27.445225,135.86911,24.214901,26.971756,27.994553,27.73455,48.57212,70.17537,54.653954,127.41527,24.365522,38.0335,110.69872,42.639236,28.222416,58.00934,109.00186,22.536201,33.295715,54.46128,25.296509,32.94172,234.31956,86.17003,40.452274,24.997408,40.761154,42.514275,133.73706,25.582962,97.47965,41.15129,78.65946,143.39342,55.519207,26.118975,23.601242
2027-08-01,379.0604,98.79388,23.343706,43.433445,25.17011,52.10123,24.78223,37.320774,47.62784,291.40875,25.117867,27.46329,136.3725,24.240376,26.98678,28.017242,27.758972,48.620937,70.64633,54.709915,127.84187,24.377295,38.086956,110.97633,42.715714,28.23762,58.06942,109.75665,22.54948,33.342384,54.55142,25.30986,32.975403,235.23177,86.46086,40.538353,25.003971,40.779644,42.52941,134.00627,25.589315,97.78441,41.1883,78.84885,143.6282,55.54451,26.122263,23.605156
2027-09-01,380.87146,99.86976,23.351969,43.547115,25.186954,52.226685,24.794731,37.36537,47.710693,292.25787,25.130064,27.479702,136.70483,24.267008,26.997534,28.042831,27.777796,48.643543,71.02854,54.745674,128.16304,24.389524,38.151157,111.127525,42.809494,28.256521,58.100502,110.52782,22.563606,33.37693,54.62671,25.32224,32.994125,235.76279,86.725914,40.594517,25.012508,40.78881,42.53356,134.1265,25.591614,98.01621,41.250656,79.003555,143.73878,55.55002,26.128628,23.61008
2027-10-01,382.1314,100.89316,23.360044,43.65492,25.203402,52.318546,24.805515,37.399933,47.76951,292.7447,25.140064,27.493225,136.91293,24.292477,27.005245,28.067076,27.792242,48.64892,71.334724,54.762238,128.3828,24.400997,38.21259,111.19497,42.900944,28.274918,58.108368,111.222855,22.577623,33.401886,54.679897,25.332954,33.00453,236.0278,86.935394,40.63176,25.021255,40.788864,42.528378,134.13423,25.592014,98.1704,41.320328,79.1122,143.74336,55.538147,26.135818,23.615236
2027-11-01,383.6302,101.904625,23.367945,43.763123,25.219553,52.424244,24.816433,37.43696,47.83808,293.4056,25.150665,27.507284,137.17677,24.317139,27.014196,28.091177,27.808332,48.66443,71.66646,54.789368,128.64441,24.412159,38.275948,111.306015,42.993942,28.293549,58.129337,111.92471,22.591175,33.430428,54.742218,25.343813,33.01898,236.43155,87.15867,40.67826,25.030098,40.795647,42.531403,134.21196,25.593607,98.36301,41.39189,79.23738,143.81393,55.539318,26.143353,23.6204
2027-12-01,383.67093,102.811646,23.375227,43.85987,25.234474,52.449364,24.823961,37.453663,47.84543,293.10156,25.156397,27.515455,137.11954,24.33923,27.01553,28.11255,27.814184,48.630943,71.8238,54.767586,128.67188,24.421696,38.334736,111.18783,43.07862,28.310276,58.08947,112.46058,22.603662,33.43597,54.7601,25.350983,33.009617,236.13231,87.26448,40.67505,25.038378,40.77864,42.50846,133.99344,25.589024,98.37644,41.46081,79.25229,143.60135,55.491707,26.150513,23.625286
2028-01-01,382.24265,103.59405,23.381912,43.93788,25.24781,52.39261,24.82803,37.44788,47.79129,291.78745,25.157475,27.51709,136.72292,24.359106,27.00926,28.130081,27.809895,48.544876,71.81382,54.689827,128.43971,24.429438,38.38191,110.825035,43.14721,28.32367,57.981018,112.793846,22.615578,33.418373,54.7244,25.354246,32.976654,235.08333,87.23242,40.62226,25.045626,40.733215,42.454636,133.44937,25.578495,98.18771,41.520912,79.14167,143.07127,55.387547,26.156523,23.62971
2028-02-01,381.08392,104.338295,23.3883,44.01238,25.260628,52.34909,24.832182,37.444744,47.74794,290.69153,25.159077,27.519419,136.39377,24.377935,27.004326,28.146929,27.807083,48.47297,71.82323,54.625244,128.24677,24.436827,38.42678,110.52228,43.214485,28.336967,57.890068,113.12575,22.627028,33.40475,54.69634,25.357845,32.949306,234.21121,87.22013,40.58034,25.052895,40.69494,42.41,132.9971,25.569744,98.0424,41.5836,79.05791,142.63063,55.300316,26.162912,23.63413
2028-03-01,380.36554,104.96481,23.393673,44.075214,25.271315,52.326187,24.836214,37.44428,47.722385,289.93613,25.161297,27.522247,136.17091,24.39386,27.001556,28.161144,27.806541,48.41978,71.86339,54.57801,128.11903,24.443233,38.465294,110.303894,43.2719,28.348274,57.82219,113.43498,22.636776,33.397366,54.678215,25.36148,32.930717,233.58987,87.22528,40.554153,25.059004,40.665756,42.375546,132.66032,25.563498,97.949326,41.636612,79.004364,142.3033,55.23331,26.16836,23.63791
2028-04-01,381.28778,105.79873,23.400272,44.15945,25.28454,52.397766,24.84463,37.466866,47.76736,290.24826,25.16948,27.531816,136.311,24.41432,27.007507,28.180132,27.81841,48.419792,72.11924,54.583035,128.25655,24.452,38.51649,110.335,43.34558,28.362793,57.81971,113.95822,22.648579,33.41587,54.711105,25.36939,32.938263,233.74756,87.357285,40.585575,25.06631,40.661804,42.36926,132.64426,25.563807,98.05087,41.69512,79.06165,142.26154,55.2156,26.17431,23.642284
