Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-01-01,292.21893,28.508385,0.0,0.0,0.0,4.113411,0.0,0.0,0.9558048,235.20119,0.0,0.0,83.488754,0.0,0.0,0.0,0.0,4.121834,15.429483,9.459194,74.240265,0.0,0.0,64.78935,0.0,0.0,13.332895,48.50067,0.0,0.0,8.0290165,0.0,0.0,181.11407,36.209953,0.0,0.0,0.0,0.0,88.06124,0.0,47.92231,0.0,30.601866,97.66383,11.554785,0.0,0.0
2026-02-01,283.4296,28.74289,0.0,0.0,0.0,3.655552,0.0,0.0,0.58203125,228.13986,0.0,0.0,81.28924,0.0,0.0,0.0,0.0,3.6962204,14.758484,9.011658,72.64283,0.0,0.0,62.940666,0.0,0.0,12.781412,47.920456,0.0,0.0,7.705414,0.0,0.0,175.80975,35.45761,0.0,0.0,0.0,0.0,85.49348,0.0,46.626213,0.0,29.781788,95.01842,11.046249,0.0,0.0
2026-03-01,278.4227,29.059872,0.0,0.0,0.0,3.3957634,0.0,0.0,0.36780167,223.87917,0.0,0.0,79.9785,0.0,0.0,0.0,0.0,3.4239788,14.444057,8.725029,71.697014,0.0,0.0,61.78752,0.0,0.0,12.427938,47.662537,0.0,0.0,7.509346,0.0,0.0,172.50433,35.013023,0.0,0.0,0.0,0.0,83.812454,0.0,45.808167,0.0,29.262878,93.28163,10.704014,0.0,0.0
2026-04-01,277.74817,29.58602,0.0,0.0,0.0,3.3765564,0.0,0.0,0.34553337,222.80412,0.0,0.0,79.69567,0.0,0.0,0.0,0.0,3.3270817,14.574635,8.616077,71.49719,0.0,0.0,61.42455,0.0,0.0,12.295982,47.853325,0.0,0.0,7.4636955,0.0,0.0,171.4902,34.933075,0.0,0.0,0.0,0.0,83.14568,0.0,45.556038,0.0,29.089663,92.539734,10.545572,0.0,0.0
2026-05-01,278.84726,30.181808,0.0,0.0,0.0,3.4558945,0.0,0.0,0.40124512,223.03279,0.0,0.0,79.8306,0.0,0.0,0.0,0.0,3.3019428,14.88624,8.580389,71.6028,0.0,0.0,61.383682,0.0,0.0,12.254375,48.21984,0.0,0.0,7.480047,0.0,0.0,171.41777,35.003014,0.0,0.0,0.0,0.0,82.89932,0.0,45.53727,0.0,29.058983,92.21013,10.463039,0.0,0.0
2026-06-01,280.03784,30.770672,0.0,0.0,0.0,3.5410805,0.0,0.0,0.45985222,223.3686,0.0,0.0,79.994385,0.0,0.0,0.0,0.0,3.286543,15.1943,8.556637,71.73543,0.0,0.0,61.378193,0.0,0.0,12.225325,48.59804,0.0,0.0,7.5041466,0.0,0.0,171.46005,35.094116,0.0,0.0,0.0,0.0,82.72972,0.0,45.55826,0.0,29.056,91.9717,10.399023,0.0,0.0
2026-07-01,280.62494,31.394655,0.0,0.0,0.0,3.594473,0.0,0.0,0.49105072,223.23517,0.0,0.0,80.005066,0.0,0.0,0.0,0.0,3.2462177,15.436909,8.51346,71.77432,0.0,0.0,61.26127,0.0,0.0,12.166899,48.996735,0.0,0.0,7.5163364,0.0,0.0,171.18808,35.170013,0.0,0.0,0.0,0.0,82.43157,0.0,45.538628,0.0,29.037428,91.64529,10.315777,0.0,0.0
2026-08-01,281.7535,32.073006,0.0,0.0,0.0,3.6790333,0.0,0.0,0.5462265,223.49207,0.0,0.0,80.14351,0.0,0.0,0.0,0.0,3.2276897,15.738142,8.492079,71.909134,0.0,0.0,61.238464,0.0,0.0,12.134211,49.474648,0.0,0.0,7.5493317,0.0,0.0,171.21292,35.30147,0.0,0.0,0.0,0.0,82.264595,0.0,45.59691,0.0,29.070524,91.44599,10.254547,0.0,0.0
2026-09-01,282.17346,32.79884,0.0,0.0,0.0,3.7266693,0.0,0.0,0.56936073,223.23212,0.0,0.0,80.11442,0.0,0.0,0.0,0.0,3.1805515,15.963959,8.449554,71.94273,0.0,0.0,61.08987,0.0,0.0,12.070475,49.954483,0.0,0.0,7.5688877,0.0,0.0,170.8677,35.40902,0.0,0.0,0.0,0.0,81.95524,0.0,45.597115,0.0,29.075876,91.13132,10.170877,0.0,0.0
2026-10-01,282.3014,33.48427,0.0,0.0,0.0,3.75778,0.0,0.0,0.579689,222.77872,0.0,0.0,80.02002,0.0,0.0,0.0,0.0,3.1244316,16.15247,8.397938,71.92993,0.0,0.0,60.898727,0.0,0.0,11.995577,50.395397,0.0,0.0,7.5793133,0.0,0.0,170.40121,35.49643,0.0,0.0,0.0,0.0,81.59869,0.0,45.573635,0.0,29.068222,90.77888,10.0798435,0.0,0.0
