Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-01-01,340.67688,55.862167,0.8728828,19.096552,2.5409226,28.128094,2.229081,14.223964,24.429811,271.3135,2.584803,4.8903027,112.13499,1.3878614,4.5233717,5.2552767,5.16461,27.07938,41.68272,32.802406,102.10784,1.824781,14.734503,90.54809,18.986652,5.6579137,36.64829,75.370155,0.003236104,10.572979,31.47254,2.7813947,10.659704,215.61494,61.198296,17.616325,2.5792823,18.881899,20.97017,115.891174,3.3634832,74.16873,18.405602,55.54199,125.76867,34.646187,3.786124,1.219032
2026-02-01,330.89722,56.081215,0.87655944,19.069653,2.5454278,27.621191,2.2169998,14.0972805,24.022324,263.75592,2.5620873,4.8561077,109.73168,1.3991039,4.4737487,5.252002,5.1054006,26.638882,40.889313,32.3353,100.3765,1.8247519,14.7098055,88.60123,18.940353,5.6462226,36.07499,74.69204,0.0047667352,10.426974,31.124504,2.7646255,10.481815,209.88127,60.37521,17.286379,2.5766635,18.637974,20.69334,113.15357,3.3139307,72.75241,18.342653,54.649437,122.95829,34.122627,3.776278,1.2191868
2026-03-01,325.28067,56.41981,0.88027877,19.06819,2.5510406,27.332863,2.213036,14.027188,23.78868,259.2079,2.5513613,4.8376946,108.30168,1.4122859,4.4452686,5.253968,5.073422,26.357733,40.504818,32.03711,99.35096,1.8275628,14.698772,87.38882,18.912617,5.6391516,35.708126,74.383385,0.00676879,10.343719,30.912998,2.7564118,10.373444,206.3157,59.88713,17.089735,2.5742846,18.474463,20.504393,111.36865,3.28232,71.86051,18.277224,54.085316,121.118546,33.771343,3.7664838,1.218761
2026-04-01,324.4415,57.01475,0.8856082,19.10994,2.5606687,27.30856,2.2197578,14.024217,23.762127,258.08087,2.5560393,4.8387957,107.99156,1.4312959,4.4424767,5.265455,5.0754733,26.258953,40.627693,31.925898,99.13852,1.835259,14.713046,87.01199,18.922146,5.6403136,35.573105,74.576706,0.010244202,10.336185,30.862146,2.7596195,10.347531,205.23456,59.79367,17.055851,2.5744152,18.403152,20.41697,110.67436,3.272257,71.58529,18.230938,53.896328,120.34574,33.61126,3.759131,1.2193484
2026-05-01,325.5599,57.7037,0.89138037,19.166973,2.5714076,27.392227,2.230886,14.049108,23.81983,258.34802,2.5670805,4.8480134,108.13664,1.4523485,4.450295,5.2800465,5.0913777,26.235184,40.956333,31.891897,99.2584,1.8448455,14.735849,86.977776,18.942781,5.643906,35.533173,74.97055,0.01543598,10.360164,30.877678,2.7675827,10.355869,205.17732,59.862965,17.089682,2.5750184,18.36979,20.371275,110.43279,3.2711272,71.56454,18.186289,53.862617,120.01605,33.530247,3.7520592,1.2200472
2026-06-01,326.78052,58.388744,0.8971569,19.227333,2.5822697,27.481583,2.2418885,14.076233,23.880327,258.71588,2.5780869,4.8579125,108.30866,1.4729962,4.4585423,5.294975,5.1074533,26.22115,41.279907,31.869925,99.402626,1.8543402,14.760792,86.97924,18.968636,5.6487184,35.506004,75.378654,0.021717142,10.385733,30.90136,2.7759192,10.366874,205.23848,59.955063,17.12838,2.5762856,18.345402,20.33655,110.26834,3.2710114,71.58521,18.153114,53.857788,119.77926,33.4675,3.7464886,1.2210613
2026-07-01,327.3105,59.099857,0.90348727,19.29469,2.594261,27.534382,2.2517898,14.096397,23.910019,258.56827,2.5870993,4.866471,108.30972,1.4942975,4.4631486,5.3113227,5.1185155,26.180454,41.526268,31.826164,99.439964,1.8641969,14.790995,86.8592,19.006674,5.6559978,35.447105,75.80072,0.029728955,10.401039,30.910654,2.7837894,10.36547,204.94699,60.026974,17.142817,2.5791755,18.312115,20.290718,109.959465,3.2674897,71.55675,18.141594,53.832523,119.43916,33.383774,3.7436755,1.2230569
2026-08-01,328.44394,59.882973,0.9102073,19.373251,2.6072571,27.62104,2.2633183,14.12646,23.965088,258.8353,2.5983071,4.878006,108.44796,1.5168595,4.471041,5.3299947,5.133852,26.162807,41.838036,31.805279,99.580925,1.8750638,14.827487,86.84078,19.054071,5.6652617,35.415825,76.311935,0.039344333,10.426554,30.942162,2.7935386,10.374577,204.97697,60.15824,17.179628,2.58276,18.28994,20.257519,109.79123,3.2667422,71.61325,18.135937,53.862133,119.23421,33.322987,3.741661,1.225343
2026-09-01,328.76352,60.701885,0.9173615,19.459366,2.6213524,27.665064,2.2735207,14.149084,23.984535,258.53052,2.6070206,4.8877077,108.398636,1.539973,4.4745927,5.350189,5.1433697,26.11438,42.060863,31.759947,99.60576,1.8861222,14.869782,86.6842,19.112633,5.676795,35.350365,76.818886,0.04971077,10.440056,30.957521,2.8023582,10.368516,204.59842,60.25991,17.186914,2.587675,18.257349,20.210491,109.462425,3.2617352,71.60142,18.148832,53.857895,118.89737,33.2374,3.7419236,1.2284122
2026-10-01,328.76572,61.478325,0.9241466,19.539902,2.6345606,27.691277,2.2827082,14.167028,23.990076,258.02017,2.614479,4.8960814,108.27787,1.5618435,4.4764247,5.369142,5.150366,26.056526,42.24194,31.705086,99.580124,1.8964379,14.908836,86.48274,19.16823,5.687625,35.272957,77.28551,0.060001966,10.4484005,30.96338,2.8103766,10.357741,204.08656,60.340424,17.183962,2.592452,18.221245,20.160192,109.0823,3.2556415,71.56346,18.162634,53.83948,118.51844,33.14419,3.742379,1.2314489
