Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM
2026-01-01,15.4347725,0.0,0.0,89.28575,0.0,46.23402,0.0,0.0,0.0,0.0,0.0,40.965416,0.0,0.0,14.383917,0.0,0.0,111.68561,0.0,0.0,0.0,9.454462,0.0,23.447931,0.0,0.0,0.0,0.0,137.29187,9.062941,0.0,0.0,0.0,0.0,10.2323,0.0,0.0,6.7525463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1481686,20.731308,39.642826,0.0,5.019991,4.466181,0.0,0.0,0.0,0.0,0.0,6.535267,46.05716,0.0,265.83606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.465742,0.0,0.0,36.116447,0.0,0.0,2.9851017,0.0,0.0,22.790934,0.0,14.399036,141.52519,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-01,15.35545,0.0,0.0,89.02053,0.0,46.067604,0.0,0.0,0.0,0.0,0.0,40.793842,0.0,0.0,14.237951,0.0,0.0,111.23017,0.0,0.0,0.0,9.357338,0.0,23.322908,0.0,0.0,0.0,0.0,136.85503,8.968163,0.0,0.0,0.0,0.0,10.080311,0.0,0.0,6.624037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087038,20.629637,39.451923,0.0,4.9426937,4.4340897,0.0,0.0,0.0,0.0,0.0,6.457466,45.803795,0.0,264.43835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4194374,0.0,0.0,35.982086,0.0,0.0,2.9348774,0.0,0.0,22.586811,0.0,14.35667,141.03177,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,15.226007,0.0,0.0,88.511024,0.0,45.758873,0.0,0.0,0.0,0.0,0.0,40.54644,0.0,0.0,14.086483,0.0,0.0,110.56015,0.0,0.0,0.0,9.238352,0.0,23.147524,0.0,0.0,0.0,0.0,136.04868,8.852896,0.0,0.0,0.0,0.0,9.941723,0.0,0.0,6.5024357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.997982,20.457354,39.169518,0.0,4.8400536,4.3476963,0.0,0.0,0.0,0.0,0.0,6.3550835,45.46769,0.0,262.60934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3392506,0.0,0.0,35.732796,0.0,0.0,2.8542175,0.0,0.0,22.382502,0.0,14.228701,140.20306,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,15.131607,0.0,0.0,88.11242,0.0,45.506294,0.0,0.0,0.0,0.0,0.0,40.392555,0.0,0.0,13.959625,0.0,0.0,110.06023,0.0,0.0,0.0,9.141653,0.0,23.027037,0.0,0.0,0.0,0.0,135.47728,8.761782,0.0,0.0,0.0,0.0,9.829954,0.0,0.0,6.3979836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936615,20.310654,38.929516,0.0,4.748974,4.2707424,0.0,0.0,0.0,0.0,0.0,6.270607,45.180473,0.0,261.31604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.292412,0.0,0.0,35.51783,0.0,0.0,2.7862434,0.0,0.0,22.222471,0.0,14.114248,139.55539,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,15.030249,0.0,0.0,87.66977,0.0,45.22648,0.0,0.0,0.0,0.0,0.0,40.234924,0.0,0.0,13.83264,0.0,0.0,109.5263,0.0,0.0,0.0,9.041014,0.0,22.901255,0.0,0.0,0.0,0.0,134.8506,8.667717,0.0,0.0,0.0,0.0,9.723003,0.0,0.0,6.295603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8721886,20.150305,38.67164,0.0,4.6523323,4.183361,0.0,0.0,0.0,0.0,0.0,6.1813393,44.876,0.0,259.9903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2426605,0.0,0.0,35.278522,0.0,0.0,2.712265,0.0,0.0,22.065638,0.0,13.98358,138.85269,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,14.957947,0.0,0.0,87.35095,0.0,45.01975,0.0,0.0,0.0,0.0,0.0,40.132126,0.0,0.0,13.729265,0.0,0.0,109.13924,0.0,0.0,0.0,8.963459,0.0,22.812248,0.0,0.0,0.0,0.0,134.4233,8.595324,0.0,0.0,0.0,0.0,9.633505,0.0,0.0,6.209343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82765,20.030396,38.47458,0.0,4.5747433,4.1192627,0.0,0.0,0.0,0.0,0.0,6.112768,44.635277,0.0,259.04105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.213249,0.0,0.0,35.099777,0.0,0.0,2.6564655,0.0,0.0,21.939108,0.0,13.88876,138.34644,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,14.960854,0.0,0.0,87.33766,0.0,44.98619,0.0,0.0,0.0,0.0,0.0,40.16618,0.0,0.0,13.668587,0.0,0.0,109.08018,0.0,0.0,0.0,8.930054,0.0,22.810223,0.0,0.0,0.0,0.0,134.46951,8.567406,0.0,0.0,0.0,0.0,9.572914,0.0,0.0,6.14892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.827629,19.99695,38.406994,0.0,4.5374756,4.1102734,0.0,0.0,0.0,0.0,0.0,6.086359,44.531292,0.0,258.90756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.230627,0.0,0.0,35.056458,0.0,0.0,2.639717,0.0,0.0,21.869469,0.0,13.875206,138.28374,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,14.974119,0.0,0.0,87.365425,0.0,44.975784,0.0,0.0,0.0,0.0,0.0,40.2257,0.0,0.0,13.618351,0.0,0.0,109.08467,0.0,0.0,0.0,8.906235,0.0,22.825891,0.0,0.0,0.0,0.0,134.5999,8.548553,0.0,0.0,0.0,0.0,9.521317,0.0,0.0,6.0955124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8371468,19.976492,38.3601,0.0,4.5062675,4.107794,0.0,0.0,0.0,0.0,0.0,6.0682697,44.449635,0.0,258.95178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2596226,0.0,0.0,35.03245,0.0,0.0,2.6294708,0.0,0.0,21.815027,0.0,13.87207,138.30331,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,15.044786,0.0,0.0,87.625145,0.0,45.09665,0.0,0.0,0.0,0.0,0.0,40.387157,0.0,0.0,13.603523,0.0,0.0,109.34595,0.0,0.0,0.0,8.917801,0.0,22.906666,0.0,0.0,0.0,0.0,135.08813,8.564432,0.0,0.0,0.0,0.0,9.4938965,0.0,0.0,6.0639267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880823,20.02151,38.414146,0.0,4.5072517,4.147379,0.0,0.0,0.0,0.0,0.0,6.082819,44.474,0.0,259.61383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.324562,0.0,0.0,35.112934,0.0,0.0,2.6499863,0.0,0.0,21.80695,0.0,13.933294,138.67029,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,15.122568,0.0,0.0,87.91304,0.0,45.23391,0.0,0.0,0.0,0.0,0.0,40.562267,0.0,0.0,13.591433,0.0,0.0,109.63283,0.0,0.0,0.0,8.9331,0.0,22.995419,0.0,0.0,0.0,0.0,135.62524,8.584324,0.0,0.0,0.0,0.0,9.468128,0.0,0.0,6.0334015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.928009,20.075945,38.481613,0.0,4.5117264,4.191807,0.0,0.0,0.0,0.0,0.0,6.1010723,44.511063,0.0,260.36115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.393177,0.0,0.0,35.204094,0.0,0.0,2.6736317,0.0,0.0,21.80312,0.0,14.000664,139.07675,0.0,0.0,0.0,0.0,0.0,0.0
