Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM
2026-01-01,0.8181061,0.095946275,0.069851644,3.2839003,0.0008403632,2.2562356,0.096459076,0.014003804,0.04623266,0.013199795,0.0,1.9213572,0.027808376,0.029862214,0.4371183,0.0,0.0069411094,5.5249157,0.01915099,0.0083273165,0.18095396,0.5581634,0.008907646,1.0849261,0.01063894,0.1940992,0.0011613035,0.0,8.420886,0.5083881,0.03011242,0.009041869,0.0,0.010061284,0.36490554,0.44355622,0.08648832,0.23728341,0.2825921,0.01025141,0.077748895,0.034063417,0.0,0.111628816,0.020588072,0.0,0.59341836,1.1411487,1.4476097,0.23903935,0.41365176,0.5525205,0.008571262,0.018999625,0.011663632,0.2993258,0.017670862,0.41593143,1.4758271,0.017046714,11.707942,0.11044828,0.0,0.014187996,0.0,0.020906206,0.01891495,0.0,0.5426847,0.84450424,0.023436585,0.0082165245,1.799204,0.0,0.0,0.46813068,0.01929513,0.065033056,0.73323405,0.22086087,0.888928,6.368866,0.14924465,0.03884362,0.21293035,0.11767306,0.0,0.020005401
2026-02-01,0.81530225,0.09469493,0.06965572,3.2243288,0.0009087995,2.2287064,0.096155815,0.013909067,0.04574249,0.013067816,0.0,1.8978647,0.027361065,0.029483406,0.42767486,0.0,0.007060169,5.442288,0.018967599,0.00823228,0.17822428,0.5484371,0.00883074,1.0689181,0.010543334,0.19013353,0.001278044,0.0,8.319557,0.500703,0.029681785,0.008948902,0.0,0.009943013,0.35941723,0.43692574,0.08551043,0.23454192,0.27835694,0.010139159,0.07657396,0.03371213,0.0,0.109881215,0.020408986,0.0,0.5850485,1.1238185,1.4305934,0.23472065,0.40799847,0.5465205,0.008537815,0.01876574,0.011582092,0.29444554,0.017632332,0.41001466,1.4521549,0.01691282,11.553802,0.10828121,0.0,0.014537203,0.0,0.020866657,0.018741155,0.0,0.5385356,0.83473635,0.023157146,0.008186917,1.7746993,0.0,0.0,0.46141738,0.019179225,0.064296074,0.7239069,0.21815515,0.8811001,6.2520914,0.14768961,0.038379557,0.21055692,0.116373315,0.0,0.019835167
2026-03-01,0.8163575,0.09407443,0.069787815,3.1884828,0.00093852717,2.2142575,0.09621691,0.0139049115,0.045585424,0.013026957,0.0,1.888393,0.027092319,0.029291678,0.42136803,0.0,0.0071187047,5.3861628,0.018877456,0.008198927,0.17662524,0.5423788,0.0088095395,1.0605608,0.010510064,0.18733075,0.0013233753,0.0,8.257479,0.49587628,0.029451132,0.008914407,0.0,0.009892731,0.3565597,0.4325069,0.085069336,0.23341744,0.2754426,0.010093431,0.07585596,0.03353085,0.0,0.10891047,0.02037662,0.0,0.58030295,1.1135542,1.4209193,0.23226397,0.40495765,0.5428587,0.008561826,0.0186468,0.01159143,0.2916594,0.017613657,0.40640035,1.4383544,0.016893389,11.4720335,0.106855504,0.0,0.014643521,0.0,0.020959796,0.018673774,0.0,0.53733575,0.8298275,0.023005584,0.008176496,1.7603921,0.0,0.0,0.4570446,0.019174574,0.06389779,0.7187642,0.21660326,0.8754001,6.1653366,0.14687194,0.038150568,0.20931569,0.11578305,0.0,0.019793782
2026-04-01,0.8235072,0.09411552,0.07041486,3.1799443,0.0010121814,2.2188952,0.09688802,0.013990079,0.045750782,0.01307231,0.0,1.8961316,0.02699769,0.029297043,0.41810843,0.0,0.0072420198,5.3708887,0.018910026,0.008222943,0.17633364,0.54021025,0.0088410545,1.0606972,0.010538519,0.18583474,0.0014206596,0.0,8.26273,0.49438113,0.029420374,0.008935308,0.0,0.009910941,0.35617343,0.4308609,0.085251294,0.2341269,0.27433893,0.010111203,0.07562325,0.03354227,0.0,0.10874275,0.02048928,0.0,0.5800196,1.112708,1.4214324,0.23162985,0.4046467,0.54313487,0.008646491,0.01864411,0.011683595,0.29120332,0.017722426,0.4058309,1.4364078,0.016995553,11.492957,0.10618455,0.0,0.014883889,0.0,0.021197151,0.018718982,0.0,0.540379,0.831249,0.022986604,0.008216051,1.7599604,0.0,0.0,0.4558232,0.019290196,0.06392835,0.7188841,0.21655887,0.8751785,6.1211553,0.14697285,0.038179446,0.20944664,0.11605515,0.0,0.019884704
2026-05-01,0.8339931,0.09445434,0.07129741,3.183799,0.0010968348,2.2315626,0.09786635,0.014126597,0.046089567,0.013168422,0.0,1.9112514,0.02698358,0.029396776,0.41613418,0.0,0.0073691625,5.371607,0.019006643,0.008277328,0.17674124,0.5397198,0.00890433,1.0648581,0.010603347,0.1850446,0.0015261153,0.0,8.296984,0.49439102,0.029490791,0.008988102,0.0,0.009965683,0.3567568,0.4304849,0.0857252,0.23563236,0.27405697,0.010165982,0.07560814,0.03365498,0.0,0.10893711,0.020672765,0.0,0.5815061,1.1160079,1.4266158,0.23174614,0.4056994,0.5448018,0.008767011,0.018697558,0.011822294,0.29175675,0.017891817,0.40661505,1.439759,0.01715203,11.550547,0.105877645,0.0,0.0151480725,0.0,0.021518633,0.018826852,0.0,0.5452649,0.8352051,0.023035977,0.008282462,1.7657161,0.0,0.0,0.45600405,0.019470628,0.06416527,0.7211322,0.21716926,0.8771558,6.091467,0.14748754,0.03833765,0.21017973,0.116702504,0.0,0.020046005
2026-06-01,0.844804,0.094842605,0.07218354,3.1931725,0.0011936674,2.2460992,0.098884776,0.014261309,0.04645186,0.013273192,0.0,1.9280132,0.026990779,0.02949431,0.4145632,0.0,0.007508822,5.3799515,0.019114079,0.0083326455,0.177387,0.539484,0.008969397,1.070075,0.010676971,0.1846035,0.0016431563,0.0,8.3384905,0.4948783,0.029584877,0.009041386,0.0,0.010025579,0.3573223,0.43058378,0.086187065,0.23712294,0.27410278,0.010223131,0.0756208,0.03379451,0.0,0.10925945,0.020859873,0.0,0.58313614,1.1202623,1.4322939,0.23213558,0.40715945,0.5470264,0.008888819,0.018759642,0.011954723,0.29266238,0.018068234,0.40774268,1.4451084,0.01731273,11.611986,0.10572525,0.0,0.0154342875,0.0,0.021807572,0.01893763,0.0,0.550532,0.8394847,0.023096513,0.008351654,1.7731193,0.0,0.0,0.45688272,0.01964672,0.064457335,0.72409254,0.21794404,0.88032514,6.0716033,0.14800568,0.038491316,0.21095216,0.11744333,0.0,0.02020337
2026-07-01,0.85540277,0.0951839,0.07307625,3.2064562,0.0013206118,2.2621613,0.09989113,0.014377149,0.046759803,0.013357935,0.0,1.9453793,0.026974233,0.029572379,0.4131432,0.0,0.007677249,5.393336,0.019218076,0.008379035,0.17810589,0.5395723,0.009027527,1.0755829,0.010738634,0.18430096,0.0018086188,0.0,8.389071,0.49517593,0.02964869,0.0090868585,0.0,0.010078018,0.35754675,0.4308105,0.08663654,0.23842531,0.2742992,0.010273625,0.07556443,0.033904742,0.0,0.109616235,0.02101775,0.0,0.584979,1.1254493,1.4387252,0.23270428,0.40845892,0.54959476,0.008997848,0.018801162,0.012071341,0.29357722,0.018250233,0.4089504,1.4507506,0.01744671,11.687523,0.1055673,0.0,0.01581872,0.0,0.022070264,0.0190345,0.0,0.5558442,0.843946,0.023133658,0.008420641,1.7824513,0.0,0.0,0.45790204,0.019800546,0.06473017,0.7265562,0.21880154,0.88407,6.061794,0.14849435,0.038631912,0.21155143,0.118132174,0.0,0.020346755
2026-08-01,0.8674396,0.09564578,0.07407546,3.2256773,0.0014575762,2.2816255,0.10103601,0.014510314,0.047145877,0.013460329,0.0,1.9662714,0.026987499,0.029677082,0.41220745,0.0,0.007860287,5.4163504,0.019351026,0.008436245,0.17910764,0.5403399,0.009097856,1.0831858,0.010816679,0.1843346,0.001989142,0.0,8.4539,0.49632105,0.02975571,0.009144517,0.0,0.010143244,0.3582162,0.43158618,0.08720177,0.24010015,0.2747122,0.010338351,0.07559124,0.034062404,0.0,0.110159144,0.021206805,0.0,0.5875942,1.1324966,1.4467016,0.2335639,0.41041285,0.5528967,0.009124089,0.018868394,0.012202178,0.29504862,0.018459825,0.41069394,1.4588784,0.01760571,11.779975,0.10558508,0.0,0.016202169,0.0,0.022356058,0.019157711,0.0,0.56220055,0.8497203,0.023199754,0.008502956,1.795017,0.0,0.0,0.4596731,0.01997811,0.065114714,0.73014355,0.2199602,0.88921976,6.0595818,0.1491698,0.038816255,0.21247037,0.11895896,0.0,0.02051375
2026-09-01,0.8787224,0.096028775,0.07500634,3.2475443,0.0016123033,2.302251,0.1020889,0.014623429,0.047458515,0.013541095,0.0,1.9862742,0.026978277,0.029763568,0.4112727,0.0,0.008007603,5.440128,0.019469064,0.008482077,0.18018597,0.54103833,0.009151272,1.0905437,0.010874619,0.18437712,0.0022111442,3.25363e-05,8.520781,0.49742407,0.029827625,0.009188146,0.0,0.010201076,0.35861117,0.4323684,0.08772469,0.24175693,0.27518827,0.010388961,0.07558895,0.03417841,0.0,0.11071517,0.021359289,0.0,0.59015685,1.1401755,1.4547205,0.2343664,0.41217497,0.5563419,0.0092366105,0.018917665,0.012311147,0.29645115,0.018662773,0.41272667,1.4674793,0.01774896,11.877921,0.10558227,0.0,0.016598033,0.0,0.02261262,0.019254895,0.0,0.5683108,0.85518146,0.023250692,0.008567416,1.8084627,0.0,0.0,0.46153292,0.020124344,0.06543206,0.7333853,0.22103193,0.8948611,6.0611906,0.14973687,0.038959455,0.21333396,0.1197023,0.0,0.020648599
2026-10-01,0.8899974,0.09643655,0.07589156,3.2701955,0.0017651246,2.3231068,0.10310982,0.014731346,0.04775354,0.013618468,0.000120791934,2.0054955,0.026981715,0.0298587,0.41063982,0.0,0.008105309,5.466042,0.019590627,0.008527851,0.18132152,0.54192215,0.00920643,1.097998,0.0109273745,0.18459634,0.0024505376,0.0001972178,8.58825,0.49863905,0.029906597,0.009227371,0.0,0.010260597,0.35908723,0.43336117,0.08823403,0.24345005,0.2757364,0.010434627,0.07562075,0.034288805,0.0,0.11134573,0.02150817,0.0,0.59289527,1.1479156,1.462683,0.2353319,0.41406357,0.5600637,0.009343846,0.01896648,0.0124112,0.2978779,0.018865176,0.41481727,1.4762225,0.017894305,11.975764,0.10567478,0.0,0.016925538,0.0,0.022853497,0.019352118,0.0,0.5742626,0.8605374,0.023317017,0.008605918,1.8227466,6.691737e-06,0.0,0.4635865,0.02026392,0.065765984,0.73689234,0.22213306,0.901269,6.0658374,0.15036792,0.039109487,0.214302,0.12049137,0.0,0.020777782
