Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM
2026-01-01,36.438446,8.983565,2.430146,115.12238,8.445974e-05,70.05643,2.853581,0.50254124,1.9741107,0.88720536,0.0,64.13146,3.6480885,2.6944714,34.640854,0.0,0.008189547,141.91463,0.16333973,0.17493713,11.939415,29.948647,0.133729,44.97457,0.054767676,17.417273,0.00016577441,0.0,173.19699,29.459566,2.1648772,0.13179393,0.0,0.9853836,30.3477,19.087946,4.0143094,26.617807,16.255817,0.058326114,10.089807,0.9157673,0.0,8.7189,0.79240495,0.0,26.711452,42.368145,61.880325,12.444427,25.230932,24.949306,0.16108222,1.4441674,0.3744256,11.959095,0.030368378,26.750677,68.34997,1.7023712,308.1838,16.701912,0.0,0.012733324,0.0,0.9789214,0.4353514,0.0,16.09658,27.521154,2.7785544,0.014586969,59.04307,0.0,0.0,23.302822,0.94651294,1.903613,43.628258,7.47801,35.54152,173.40836,10.570724,2.7787595,16.893257,6.940369,0.0,0.904538
2026-02-01,36.353626,8.963649,2.4392729,114.7404,9.133774e-05,69.83605,2.8607025,0.503605,1.9743189,0.8870329,0.0,63.91384,3.6399374,2.6905322,34.47638,0.0,0.009121583,141.29724,0.16548653,0.17593643,11.919596,29.832458,0.13472524,44.818172,0.055999197,17.359472,0.00018257466,0.0,172.56154,29.349726,2.1626103,0.1326751,0.0,0.98497736,30.184954,19.037539,4.0126343,26.483923,16.218433,0.059444427,10.050525,0.91721946,0.0,8.700386,0.7931323,0.0,26.633917,42.232506,61.65607,12.424491,25.142555,24.905455,0.1620221,1.4425796,0.37510976,11.938103,0.032421004,26.66128,68.0502,1.7005006,306.48398,16.62554,0.0,0.014419912,0.0,0.9799957,0.43679956,0.0,16.083977,27.455706,2.7741888,0.015554881,58.860683,0.0,0.0,23.23944,0.94677645,1.9061924,43.405853,7.476996,35.48381,172.68605,10.544496,2.7752192,16.8338,6.929803,0.0,0.9049004
2026-03-01,36.226254,8.941408,2.4413674,114.16064,9.432551e-05,69.499,2.8590848,0.50341177,1.9719211,0.8860484,0.0,63.647873,3.6310043,2.6851804,34.31255,0.0,0.009456506,140.51721,0.16602279,0.1760822,11.882015,29.7016,0.13499238,44.626408,0.056464348,17.294123,0.00018901084,0.0,171.63351,29.224998,2.1593957,0.13290739,0.0,0.98347193,30.040764,18.963072,4.0053725,26.360119,16.160933,0.059772953,10.013455,0.9168887,0.0,8.674095,0.79237765,0.0,26.53556,42.040104,61.354702,12.384634,25.033955,24.811884,0.16219023,1.440287,0.37497234,11.904917,0.033193644,26.551813,67.68705,1.6975173,304.49472,16.556992,0.0,0.015007938,0.0,0.97907275,0.43701842,0.0,16.042265,27.365896,2.7684193,0.015913604,58.58335,0.0,0.0,23.15021,0.9456207,1.9053959,43.191463,7.462831,35.34467,171.68732,10.511674,2.7700117,16.77037,6.9113483,0.0,0.90413874
2026-04-01,36.145866,8.926233,2.4452348,113.74529,0.000101728096,69.255516,2.859196,0.5036053,1.9708651,0.88558227,0.0,63.50916,3.6237137,2.6810565,34.179302,0.0,0.009945528,139.98735,0.166927,0.17633522,11.852192,29.600649,0.13546039,44.506187,0.057215862,17.241402,0.00020272656,0.0,171.07242,29.130953,2.1577451,0.13343374,0.0,0.9822515,29.928238,18.901814,4.0013537,26.257057,16.11194,0.060292266,9.98239,0.91770387,0.0,8.651504,0.7920243,0.0,26.473639,41.891747,61.115707,12.350761,24.942266,24.735472,0.16254751,1.438876,0.37509978,11.886702,0.034478474,26.46622,67.39602,1.695123,303.24243,16.500872,0.0,0.015862605,0.0,0.9785546,0.43764928,0.0,16.027773,27.321844,2.7636602,0.016511004,58.36754,0.0,0.0,23.079842,0.9449243,1.9066087,43.03167,7.4568005,35.229782,170.95303,10.486084,2.7663748,16.717997,6.896609,0.0,0.9041498
2026-05-01,36.06506,8.911457,2.448351,113.310196,0.00011023606,69.00053,2.8582838,0.5036763,1.9696035,0.8850503,0.0,63.38116,3.6164281,2.6767774,34.048447,0.0,0.010394281,139.45483,0.16770186,0.17647482,11.82066,29.499048,0.135867,44.38856,0.057934143,17.188248,0.00021742338,0.0,170.51288,29.036907,2.156115,0.13394673,0.0,0.98087674,29.822432,18.838367,3.9968493,26.157627,16.059801,0.060752284,9.952502,0.9185134,0.0,8.627347,0.7914972,0.0,26.412125,41.737865,60.86799,12.313474,24.847689,24.651358,0.16283472,1.4374527,0.37515685,11.868386,0.0357394,26.378489,67.098114,1.6925822,302.02954,16.44769,0.0,0.016639587,0.0,0.9777628,0.43817645,0.0,16.013073,27.279846,2.7588215,0.017099557,58.13951,0.0,0.0,23.006218,0.9440811,1.9076403,42.879242,7.4497967,35.10299,170.19215,10.459748,2.7625458,16.665295,6.880617,0.0,0.9041238
2026-06-01,36.013947,8.900813,2.4532087,113.00976,0.00011996811,68.82229,2.8598084,0.5040718,1.9693663,0.8848761,0.0,63.311214,3.6106079,2.6735957,33.941994,0.0,0.0109483,139.08412,0.1687942,0.17678846,11.798644,29.421032,0.13642871,44.30978,0.058793064,17.146627,0.00023369105,0.0,170.16692,28.96547,2.1552677,0.13460822,0.0,0.9799562,29.734041,18.79097,3.994789,26.07429,16.020432,0.061349906,9.927745,0.9198876,0.0,8.608923,0.79140806,0.0,26.37078,41.626293,60.68206,12.286236,24.77296,24.59162,0.16329288,1.4365507,0.37543246,11.858315,0.037243444,26.312128,66.867874,1.6907293,301.2007,16.403162,0.0,0.01765282,0.0,0.9775656,0.43899432,0.0,16.012377,27.258823,2.7551181,0.017800074,57.975273,0.0,0.0,22.95214,0.94372535,1.909763,42.758514,7.448309,35.01438,169.64696,10.439812,2.759929,16.623089,6.869086,0.0,0.90451413
2026-07-01,36.03763,8.899737,2.4634585,113.0225,0.00013272642,68.82021,2.8680468,0.5054571,1.971805,0.8856562,0.0,63.379307,3.6075828,2.6727233,33.878532,0.0,0.011938776,139.0513,0.17091316,0.17765206,11.796551,29.3878,0.13750328,44.31855,0.060161438,17.126904,0.0002573566,0.0,170.31229,28.938135,2.1560993,0.13573423,0.0,0.98013467,29.673891,18.775019,3.9987354,26.016418,16.007387,0.06244385,9.909971,0.9228244,0.0,8.602067,0.79251236,0.0,26.374372,41.603016,60.62708,12.281344,24.73824,24.587664,0.16427141,1.4368516,0.37634984,11.867512,0.03960265,26.288086,66.77495,1.6903393,301.2153,16.370842,0.0,0.019462476,0.0,0.97897446,0.4406881,0.0,16.047075,27.284946,2.7534842,0.018888399,57.950245,0.0,0.0,22.93739,0.94462657,1.9148005,42.693703,7.46124,35.008167,169.56503,10.43312,2.759942,16.599977,6.8676577,0.0,0.90601814
2026-08-01,36.074486,8.900707,2.4744203,113.08794,0.00014649188,68.84795,2.8769433,0.50693494,1.9747155,0.88659716,0.0,63.479774,3.605158,2.6723351,33.82646,0.0,0.012947495,139.1009,0.1731382,0.17856944,11.797401,29.365486,0.13864155,44.34912,0.06162453,17.112276,0.00030269346,0.0,170.56973,28.921528,2.1575258,0.13694777,0.0,0.98044145,29.623606,18.764156,4.0038557,25.966293,15.998622,0.06357532,9.894495,0.9261261,0.0,8.597404,0.7937771,0.0,26.389015,41.59637,60.59582,12.279697,24.710861,24.591656,0.16531433,1.4374348,0.37735724,11.881318,0.0420889,26.273415,66.70922,1.6902164,301.44073,16.342876,0.0,0.021382587,0.0,0.9805838,0.44254422,0.0,16.089893,27.325258,2.7522547,0.020038478,57.95087,0.0,0.0,22.930614,0.94568694,1.9206256,42.646294,7.4768333,35.015125,169.58028,10.4292555,2.7605681,16.581778,6.8678546,0.0,0.907765
2026-09-01,36.167267,8.909594,2.4892488,113.39052,0.00016204263,69.00925,2.8906748,0.50908345,1.9794995,0.8882,0.0,63.68044,3.6049824,2.673819,33.809803,0.0,0.014260601,139.40878,0.17606956,0.17987537,11.813799,29.37842,0.14011572,44.444317,0.063410334,17.115475,0.0003713397,3.2700204e-06,171.18906,28.939568,2.160258,0.13847047,0.0,0.9815819,29.596958,18.779224,4.013333,25.937956,16.010809,0.06504371,9.884731,0.9304689,0.0,8.601859,0.79591787,0.0,26.437716,41.656437,60.665585,12.295105,24.7153,24.637993,0.16670808,1.43889,0.3788038,11.909264,0.045123264,26.291948,66.75044,1.6912636,302.29474,16.325674,0.0,0.023898683,0.0,0.98332244,0.44501457,0.0,16.157967,27.400902,2.752836,0.021444108,58.057705,0.0,0.0,22.954775,0.9476642,1.9285983,42.64457,7.502644,35.087406,169.95041,10.435703,2.7632077,16.57948,6.8756404,0.0,0.9102991
2026-10-01,36.267147,8.918841,2.5042512,113.72281,0.00017740179,69.187386,2.9049108,0.51130927,1.9845216,0.8898867,1.2140052e-05,63.893223,3.6050637,2.675515,33.79647,0.0,0.015623012,139.74646,0.17905322,0.1812122,11.832083,29.395452,0.14160904,44.54768,0.06521478,17.120499,0.00043951505,2.182919e-05,171.8584,28.961842,2.1630747,0.14001362,0.0,0.9828312,29.572124,18.797253,4.02337,25.910748,16.025307,0.066530555,9.875469,0.9349205,0.0,8.607177,0.7981524,0.0,26.490269,41.726044,60.748657,12.312635,24.723476,24.689716,0.16813491,1.440455,0.3802971,11.938898,0.048187185,26.314299,66.80464,1.6924317,303.23383,16.30902,0.0,0.026503112,0.0,0.98621595,0.44752562,0.0,16.229385,27.480015,2.753555,0.022862513,58.176865,6.725446e-07,0.0,22.982447,0.949768,1.9366922,42.647614,7.529807,35.167336,170.36598,10.443342,2.7660432,16.578205,6.884428,0.0,0.91290754
