Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM
2026-01-01,57.44212,28.571804,21.96724,140.95901,19.401917,93.87883,22.442825,19.930172,21.464912,20.313261,19.400185,87.29751,23.102777,22.153187,54.89779,19.400185,19.42198,172.14365,19.60106,19.591442,31.69427,50.442833,19.551374,66.50121,19.475805,37.19789,19.402626,19.400185,209.10211,49.856194,21.624083,19.5497,19.400185,20.405289,50.4631,39.3575,23.584011,46.48307,36.209885,19.478603,29.64238,20.382717,19.400185,28.337875,20.23294,19.400185,47.274734,64.00498,84.11783,32.31313,45.44187,45.432434,19.578066,20.881592,19.797472,31.94596,19.465189,46.966087,90.64278,21.135967,350.53156,36.318573,19.400185,19.440727,19.400185,20.420082,19.87261,19.400185,36.560425,48.57657,22.224676,19.430876,81.969696,19.400185,19.400185,43.620544,20.384516,21.431261,64.46558,27.311083,56.684002,205.29152,30.263428,22.255077,36.710785,26.571192,19.400185,20.343933
2026-02-01,57.351803,28.549435,21.975983,140.46027,19.402058,93.6045,22.449352,19.931051,21.464159,20.312832,19.400185,87.033844,23.09375,22.148504,54.714806,19.400185,19.423143,171.36432,19.602848,19.592257,31.6691,50.30758,19.55222,66.31344,19.476849,37.132317,19.402872,19.400185,208.26805,49.73129,21.620972,19.5504,19.400185,20.40465,50.289597,39.294098,23.58042,46.34381,36.1642,19.479502,29.600796,20.38348,19.400185,28.315937,20.233318,19.400185,47.180794,63.835373,83.860214,32.28473,45.342415,45.37682,19.57894,20.879545,19.797997,31.915401,19.467165,46.865093,90.29661,21.133835,348.5296,36.237953,19.400185,19.443096,19.400185,20.42108,19.873716,19.400185,36.539692,48.491974,22.21976,19.431786,81.73928,19.400185,19.400185,43.544006,20.384554,21.432398,64.2249,27.304764,56.61095,204.34033,30.234154,22.250628,36.646675,26.558079,19.400185,20.343962
2026-03-01,57.2265,28.525978,21.978336,139.81024,19.402117,93.23913,22.447855,19.930851,21.461454,20.311768,19.400185,86.749306,23.08429,22.142776,54.538616,19.400185,19.423594,170.47427,19.603209,19.592337,31.628386,50.16485,19.552444,66.10529,19.47725,37.061478,19.402967,19.400185,207.21835,49.5971,21.617304,19.550564,19.400185,20.403048,50.139805,39.210968,23.572294,46.217804,36.100983,19.47974,29.562317,20.382793,19.400185,28.287745,20.2325,19.400185,47.07314,63.622856,83.53989,32.24006,45.227856,45.27607,19.579155,20.87702,19.797874,31.876755,19.467901,46.748543,89.90641,21.130814,346.3801,36.16661,19.400185,19.443893,19.400185,20.420338,19.873804,19.400185,36.49563,48.39254,22.213696,19.432123,81.43391,19.400185,19.400185,43.4462,20.383389,21.43082,64.00043,27.287558,56.46064,203.17157,30.199726,22.244972,36.580814,26.538467,19.400185,20.343119
2026-04-01,57.160126,28.510885,21.983433,139.37817,19.40227,93.00474,22.449282,19.93121,21.460722,20.311388,19.400185,86.62576,23.076815,22.138664,54.39898,19.400185,19.424324,169.91447,19.604176,19.592636,31.59799,50.059647,19.552973,65.98534,19.478056,37.00582,19.403172,19.400185,206.66756,49.500122,21.615595,19.551132,19.400185,20.401863,50.02652,39.146484,23.568632,46.11613,36.049828,19.480295,29.530796,20.38363,19.400185,28.264824,20.232368,19.400185,47.010662,63.47284,83.301895,32.20494,45.13556,45.200203,19.57968,20.875603,19.798183,31.857645,19.4694,46.661835,89.611565,21.12862,345.16882,36.109177,19.400185,19.44522,19.400185,20.420284,19.874523,19.400185,36.4871,48.351276,22.208899,19.4328,81.21725,19.400185,19.400185,43.37344,20.382917,21.432093,63.840866,27.28144,56.345314,202.35068,30.174335,22.24139,36.528694,26.524261,19.400185,20.34331
2026-05-01,57.09987,28.496773,21.98828,138.95062,19.402445,92.774574,22.450287,19.93155,21.460125,20.311045,19.400185,86.5274,23.0695,22.134579,54.26425,19.400185,19.425024,169.38336,19.605139,19.592884,31.567257,49.957085,19.553503,65.87587,19.4789,36.95112,19.403393,19.400185,206.17516,49.406097,21.614101,19.551748,19.400185,20.400595,49.92186,39.082302,23.565056,46.019653,35.99714,19.480864,29.500877,20.384663,19.400185,28.241047,20.232199,19.400185,46.95206,63.325424,83.06434,32.16788,45.043045,45.119354,19.580202,20.874285,19.798513,31.840416,19.470993,46.575638,89.32023,21.126387,344.0688,36.055393,19.400185,19.446514,19.400185,20.420124,19.875263,19.400185,36.48198,48.31703,22.204157,19.433517,81.0005,19.400185,19.400185,43.30017,20.382427,21.43359,63.69285,27.275633,56.222397,201.53162,30.14901,22.237873,36.477432,26.509539,19.400185,20.343597
2026-06-01,57.069946,28.486889,21.994873,138.66856,19.402645,92.62483,22.453806,19.932209,21.460596,20.311077,19.400185,86.4903,23.063694,22.131588,54.154724,19.400185,19.42585,169.029,19.606443,19.593306,31.546509,49.878605,19.554193,65.80731,19.479904,36.908634,19.40364,19.400185,205.91054,49.335617,21.61344,19.552513,19.400185,20.39979,49.83458,39.0351,23.5639,45.939236,35.957855,19.481571,29.476147,20.386309,19.400185,28.223257,20.23248,19.400185,46.91391,63.22219,82.88954,32.141407,44.971176,45.063976,19.580898,20.873503,19.79905,31.832119,19.472841,46.51149,89.10047,21.124847,343.36038,36.010567,19.400185,19.448088,19.400185,20.420494,19.876295,19.400185,36.491604,48.304398,22.200571,19.434353,80.85077,19.400185,19.400185,43.247818,20.382418,21.436285,63.57792,27.275663,56.140003,200.94748,30.130087,22.235558,36.436737,26.499458,19.400185,20.344297
2026-07-01,57.114403,28.48648,22.006872,138.70734,19.402906,92.654236,22.46402,19.93382,21.46364,20.312023,19.400185,86.59244,23.060637,22.13087,54.088478,19.400185,19.42717,169.02243,19.608767,19.59426,31.545822,49.845547,19.555382,65.82687,19.481394,36.888317,19.403988,19.400185,206.15506,49.308865,21.614395,19.55373,19.400185,20.400072,49.774868,39.019592,23.568727,45.88392,35.945198,19.482765,29.458261,20.389463,19.400185,28.217098,20.233892,19.400185,46.921116,63.209084,82.84717,32.13763,44.939003,45.065056,19.582092,20.873886,19.800196,31.843107,19.475557,46.489815,89.0186,21.12472,343.52304,35.977936,19.400185,19.450651,19.400185,20.422419,19.87818,19.400185,36.536713,48.339264,22.19901,19.435577,80.84403,19.400185,19.400185,43.23506,20.38362,21.441856,63.517937,27.290276,56.14113,200.84633,30.124352,22.235844,36.414803,26.499382,19.400185,20.34608
2026-08-01,57.17485,28.488358,22.019793,138.81046,19.403189,92.72012,22.475159,19.93556,21.467306,20.313164,19.400185,86.73385,23.058237,22.130686,54.034573,19.400185,19.428537,169.11714,19.61125,19.59529,31.548637,49.824738,19.556658,65.87235,19.48301,36.873756,19.404387,19.400185,206.53957,49.294502,21.616032,19.555056,19.400185,20.400507,49.725895,39.01025,23.574955,45.837074,35.937244,19.484024,29.442839,20.393074,19.400185,28.213501,20.235527,19.400185,46.940884,63.216248,82.83154,32.137665,44.915455,45.075516,19.583382,20.874601,19.801458,31.859798,19.478455,46.47856,88.96881,21.124908,343.9297,35.95001,19.400185,19.453323,19.400185,20.424585,19.88028,19.400185,36.59199,48.390892,22.19791,19.43689,80.86929,19.400185,19.400185,43.23176,20.385029,21.448435,63.477562,27.30814,56.15818,200.85724,30.121815,22.236834,36.398407,26.5012,19.400185,20.348156
2026-09-01,57.28975,28.497995,22.036446,139.15588,19.403507,92.921844,22.490953,19.93793,21.472704,20.314926,19.400185,86.973724,23.058044,22.13234,54.016083,19.400185,19.430141,169.47162,19.614412,19.596684,31.567148,49.83904,19.558237,65.981964,19.48491,36.877037,19.40489,19.400251,207.28998,49.314705,21.618904,19.556664,19.400185,20.401762,49.70002,39.02685,23.585457,45.811985,35.950363,19.485592,29.433071,20.397644,19.400185,28.219044,20.237967,19.400185,46.994606,63.291367,82.91702,32.154648,44.923347,45.12861,19.584997,20.876154,19.803118,31.890493,19.481888,46.501076,89.026886,21.126236,344.97565,35.9328,19.400185,19.456615,19.400185,20.427828,19.882938,19.400185,36.672043,48.47724,22.198593,19.438421,81.00247,19.400185,19.400185,43.259563,20.387293,21.45703,63.48219,27.33605,56.241516,201.23053,30.129372,22.239754,36.397797,26.510443,19.400185,20.350956
2026-10-01,57.411728,28.508041,22.053185,139.53258,19.403822,93.14086,22.50719,19.940367,21.478304,20.316763,19.400433,87.22418,23.058134,22.134222,54.00151,19.400185,19.431694,169.86009,19.617634,19.59811,31.587658,49.857803,19.55984,66.099945,19.486816,36.882492,19.405426,19.400593,208.09155,49.33936,21.621876,19.558283,19.400185,20.403128,49.67612,39.046825,23.596493,45.788094,35.965935,19.487167,29.42387,20.402311,19.400185,28.225597,20.240494,19.400185,47.05253,63.376144,83.0157,32.174072,44.935226,45.187626,19.586634,20.877813,19.804808,31.922924,19.485348,46.527527,89.09822,21.12769,346.1065,35.91633,19.400185,19.459862,19.400185,20.431192,19.88564,19.400185,36.755127,48.566853,22.199442,19.439915,81.149635,19.400198,19.400185,43.29126,20.38967,21.465778,63.492107,27.365372,56.334007,201.65521,30.138248,22.242882,36.398422,26.520775,19.400185,20.353815
