Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,203.81085,828.6067,0.0,0.0,0.0,119.489944,0.0,0.0,147.42223,546.64954,0.0,0.0,347.7423,0.0,0.0,0.0,0.0,0.0,0.0,36.828598,205.61224,0.0,0.0,114.19756,0.0,0.0,144.69955,156.80133,0.0,0.0,0.0,0.0,0.0,520.3457,75.25448,25.625963,0.0,43.220276,85.789734,555.83057,0.0,130.03781,13.572138,47.078808,260.71335,37.4083,0.0,0.0
2026-02-01,198.48851,820.33057,0.0,0.0,0.760952,115.67664,0.0,0.0,127.31573,557.1744,0.0,0.0,321.35388,0.0,0.0,0.0,0.0,0.0,0.0,32.052734,180.89653,0.0,0.0,104.880936,0.0,0.0,118.4531,151.73764,0.0,0.0,0.0,0.0,0.0,500.70923,68.49873,21.59887,0.0,38.630276,70.2262,545.3084,0.0,122.78007,12.203785,43.504356,237.86443,37.4122,0.0,0.0
2026-03-01,199.82437,820.03595,0.0,0.0,1.6873837,114.94768,0.0,0.0,119.182144,561.3107,0.0,0.0,308.4737,0.0,0.0,0.0,0.0,0.0,0.0,30.070976,171.2635,0.0,0.0,101.509735,0.0,0.0,108.481186,150.1855,0.0,0.0,0.0,0.0,0.0,492.30276,65.995705,19.943012,0.0,36.678566,62.330254,543.09094,0.0,120.98339,11.122898,43.236282,229.3111,37.359314,0.0,0.0
2026-04-01,202.73795,821.7284,0.0,0.0,2.868719,115.04321,0.0,0.0,111.95447,565.4042,0.0,0.0,294.15143,0.0,0.0,0.0,0.0,0.0,1.9331493,27.955711,161.62753,0.0,0.0,98.828964,0.0,0.0,98.96292,148.44891,0.0,1.7886906,0.0,0.0,0.0,484.3761,63.275467,18.417664,0.0,35.104652,54.263077,541.6373,0.0,120.08675,9.91127,43.288292,221.36761,37.459164,0.0,0.0
2026-05-01,207.20694,828.2803,0.0,0.0,4.4001923,116.31622,0.0,0.0,105.13591,572.6266,0.0,0.0,278.5442,2.5796928,0.0,0.0,0.22496986,0.0,6.086952,25.605503,151.62749,0.0,0.0,96.4909,0.0,0.0,89.04858,146.63248,0.0,4.8595715,0.0,0.0,0.0,478.28888,60.2285,16.917887,0.0,33.94619,46.197643,541.9961,0.0,120.342285,8.58264,43.428844,213.5712,37.827053,0.0,0.0
2026-06-01,212.18454,837.57654,0.0,0.0,5.9914856,118.4179,0.0,0.0,99.79696,582.2358,0.0,0.0,265.15414,7.7148247,0.0,0.0,2.5786514,0.0,10.411921,23.577267,143.25354,0.0,0.0,94.75203,0.0,0.0,80.33923,145.18326,0.0,8.118513,0.0,0.0,2.0701885,474.70276,57.563187,15.630466,0.0,33.371807,39.81263,544.7526,0.0,121.153366,7.337677,43.47647,206.95518,38.377625,0.0,0.0
2026-07-01,216.40942,843.932,0.0,0.0,7.662199,121.561356,0.0,0.0,95.48476,591.03546,0.0,0.0,251.75894,13.731319,0.0,0.0,5.175974,0.0,14.811138,21.625282,135.16377,0.0,0.0,92.87244,0.0,0.0,72.206825,143.81618,0.0,11.743425,0.0,0.0,5.844078,470.69205,54.97559,14.412806,0.0,33.43387,34.440384,546.47314,0.0,122.051414,6.1117077,43.240913,200.1951,38.95547,0.0,0.0
2026-08-01,220.06537,847.1376,0.0,0.0,9.369598,125.33399,0.0,0.0,92.10907,598.2156,0.0,0.0,238.76303,20.587513,0.0,0.0,7.9436035,0.0,19.09418,19.775908,127.56763,0.0,0.0,90.927536,0.0,0.0,64.85864,142.5665,0.0,15.640865,0.0,0.0,9.708088,465.83447,52.591053,13.291431,0.0,33.972485,30.078287,546.93884,0.0,122.862816,4.909313,42.823746,193.53311,39.467644,0.0,0.0
2026-09-01,223.57529,848.4428,0.0,0.0,11.020954,128.79317,0.0,0.0,89.233826,603.0117,0.0,0.0,226.0484,28.462906,0.0,0.0,10.89806,0.0,23.343046,17.921638,120.27137,0.0,0.0,88.649,0.0,0.0,58.02986,141.50026,0.0,19.945358,0.55974007,0.0,13.668278,459.96765,50.204285,12.2491455,0.0,34.54625,26.22556,546.6328,0.0,123.314545,3.771347,42.23127,186.76338,39.647114,0.0,0.0
2026-10-01,226.56012,845.2788,0.0,0.0,12.694359,131.47177,0.0,0.0,86.1765,605.2719,0.0,0.0,213.2153,37.42937,1.412178,0.0,14.066639,0.0,27.985855,16.023987,112.85089,0.0,0.0,86.20862,0.0,0.0,51.603832,139.92213,0.0,24.56361,1.560524,0.0,17.88397,452.07172,47.728638,11.178516,0.0,34.809555,22.272177,544.0469,0.0,123.05003,2.6704865,41.508583,179.45111,39.528576,0.0,0.0
