Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,7.947263,32.70493,0.020614836,0.15819445,0.7213587,3.5920432,0.014517554,0.29609516,5.8032565,28.281527,0.05980315,0.02730741,17.362024,0.67794496,0.35426468,0.024243452,0.43222377,0.815194,0.56108326,1.6781684,12.277565,0.01244433,0.14993243,3.911623,0.57493746,0.031484913,4.69787,4.2905097,0.010974058,0.37132436,0.72699213,0.018995637,0.41324884,24.768509,5.1897335,2.0902374,0.094433144,2.4732065,2.7065554,39.831852,0.047702707,4.676152,0.87821084,3.271426,17.794216,1.6099855,0.13953917,0.022059556
2026-02-01,7.947882,30.556849,0.020195277,0.18343478,0.7947228,3.366488,0.018286148,0.30790257,6.9662085,28.063395,0.067835525,0.031967353,16.225098,0.8121101,0.40752098,0.045908548,0.43860665,0.71735495,0.74310625,1.5336472,12.05318,0.012990211,0.12378005,3.5365784,0.49839061,0.037996102,4.429886,4.0208354,0.01065495,0.38863903,0.7290366,0.025044313,0.4544936,22.676851,4.9353285,1.9844404,0.110126756,2.3303518,2.2875068,37.19236,0.051407322,5.046067,0.8852587,2.976372,18.26885,1.6900644,0.14844154,0.021596007
2026-03-01,8.264022,30.376987,0.021536853,0.21295942,0.83254117,3.1690328,0.020299098,0.2885193,7.341431,29.066435,0.07658891,0.036427803,15.562097,0.9339281,0.46466917,0.05784968,0.46059448,0.6823567,0.88324064,1.5519938,11.829358,0.016013512,0.12997784,3.562124,0.50516814,0.042149335,4.38747,4.37789,0.01106533,0.43693343,0.7382868,0.03161004,0.495572,21.991533,4.9895625,1.9234812,0.12491849,2.1805143,1.9961237,35.919273,0.052120302,5.250038,0.8895324,2.8425388,18.40421,1.7826109,0.16056821,0.024503414
2026-04-01,8.860456,30.697094,0.023158656,0.25585458,0.88894945,2.9817512,0.022797834,0.2628266,7.7509356,30.882982,0.09344373,0.04219964,15.0224285,1.115684,0.5526194,0.073142104,0.5112956,0.6390042,1.0903227,1.5830407,11.502925,0.020168949,0.14121038,3.719505,0.53197145,0.047718536,4.4603076,5.0334306,0.011980342,0.5191522,0.7606847,0.042013116,0.5566277,21.725973,5.175962,1.8643789,0.14706443,2.0281844,1.7231587,34.810764,0.053032942,5.4837255,0.88839865,2.7163198,18.510204,1.9221444,0.17440161,0.029446693
2026-05-01,9.892366,32.679146,0.025156448,0.31456396,0.9799059,2.834468,0.026350087,0.25689593,8.285037,33.86004,0.122825556,0.04945368,14.896195,1.4079037,0.68169206,0.09254933,0.6090229,0.58671325,1.4127843,1.6367327,11.259651,0.025355328,0.15792157,4.090252,0.5848869,0.055514064,4.6614537,6.0149407,0.013425826,0.659286,0.8090367,0.05913949,0.65255064,21.924057,5.496997,1.8516704,0.1778701,1.8864223,1.5048084,34.473186,0.054783087,5.780316,0.88382715,2.6429617,18.820263,2.134097,0.19042782,0.036426026
2026-06-01,11.137702,35.861916,0.02728544,0.37906808,1.086038,2.71865,0.030439438,0.28829604,8.863738,37.272167,0.16149348,0.056459658,15.07726,1.7953558,0.83155715,0.11181961,0.7443381,0.54264224,1.8035257,1.7039281,11.112878,0.03060826,0.17746116,4.588292,0.6558621,0.06455462,4.8963075,7.0635934,0.015019813,0.8461652,0.8751996,0.08226884,0.7749947,22.609997,5.8818054,1.8807311,0.21184935,1.7844183,1.3791282,34.58098,0.057284933,6.0671945,0.8961637,2.666472,19.1828,2.3752007,0.20755397,0.043766942
2026-07-01,12.416988,39.911476,0.029824918,0.44665104,1.2105305,2.6569042,0.034913536,0.35006884,9.435169,40.92479,0.20976788,0.0630665,15.184901,2.2997835,1.0061579,0.12987594,0.90457934,0.50439984,2.2565215,1.7898952,10.988963,0.035907745,0.19978432,5.0852127,0.7429667,0.0730902,5.082611,8.117604,0.016837489,1.0852374,0.9577391,0.11137739,0.9388803,23.573929,6.293834,1.9556831,0.24871014,1.7102203,1.3228625,35.112503,0.06103648,6.3120327,0.9171944,2.7698057,19.58306,2.6227245,0.22542664,0.0516528
2026-08-01,13.671611,44.33967,0.032648947,0.5170941,1.3481474,2.641727,0.03945787,0.42741954,9.991696,44.514122,0.26651117,0.069129094,15.153475,2.9257908,1.2007399,0.14652556,1.0829812,0.47490442,2.746038,1.8837416,10.890968,0.041233364,0.2240612,5.5462747,0.8461526,0.080905296,5.200794,9.164445,0.018764662,1.3616909,1.0536306,0.14576766,1.1431713,24.804083,6.6923847,2.0606334,0.2872872,1.6662908,1.3075666,35.90896,0.06581744,6.4846053,0.94995624,2.9292574,19.934582,2.8637912,0.24433963,0.05998501
2026-09-01,14.833514,48.96259,0.03587411,0.5935385,1.4949718,2.6720312,0.044527836,0.52095944,10.449342,47.48281,0.33543974,0.07484896,15.175514,3.723147,1.4137412,0.162597,1.2814348,0.4526371,3.2864034,1.9850105,10.853142,0.046852347,0.25297755,5.995645,0.9707861,0.08854697,5.247792,10.102602,0.02080057,1.6937137,1.1617314,0.18779916,1.4044532,25.95045,7.0837245,2.170401,0.32859266,1.6199626,1.2986013,36.56944,0.071089536,6.61933,0.9868076,3.115579,20.172956,3.0801303,0.265437,0.06912092
2026-10-01,15.876947,53.736427,0.038979333,0.6726743,1.650055,2.7505748,0.05040247,0.62459826,10.884995,50.130283,0.41805446,0.08059901,15.123143,4.7228947,1.6529572,0.17870168,1.5225376,0.4315733,3.9147377,2.0829763,10.764967,0.05239252,0.28236008,6.4383965,1.1174885,0.09626177,5.243263,11.030693,0.022912571,2.0986533,1.2821558,0.23868726,1.7297173,27.178764,7.4578404,2.2683222,0.374685,1.5821257,1.289624,37.305843,0.07608599,6.7555146,1.0187696,3.3273323,20.299583,3.3017883,0.28816414,0.07874141
