Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-01-01,283.69852,1005.54443,26.611938,32.19268,50.833138,182.30516,24.534386,37.784912,218.90541,706.24756,28.017168,25.822605,464.5359,42.64648,38.091774,26.438374,43.9312,46.34027,44.980644,92.14143,302.47473,26.41068,34.317154,178.26553,41.93839,27.67002,211.84961,222.35452,24.438774,45.39768,45.193718,24.781813,40.291145,666.1727,144.33264,82.55411,26.83504,101.64966,145.13385,760.7058,27.619686,197.10275,65.74914,108.63721,379.20108,92.45386,32.546253,25.488937
2026-02-01,278.37863,988.8478,26.603907,32.5438,52.61068,177.6077,24.585508,38.020645,203.35767,715.9173,28.417818,25.824455,433.69067,45.098133,39.11267,26.431824,45.541313,44.302208,48.288918,86.79905,276.8794,26.427275,34.393066,167.47874,42.39025,27.69869,184.55267,216.23373,24.450459,48.04979,45.781544,24.953363,42.082344,638.3369,136.57964,78.11229,27.011915,96.499664,127.92763,739.83685,27.543629,191.29507,64.40842,103.90615,358.21274,92.77167,32.66438,25.574856
2026-03-01,280.95377,987.8482,26.594324,32.808617,53.685356,176.10469,24.642452,38.413925,196.69496,723.98553,28.733364,25.845701,418.21155,47.557987,40.17035,26.45372,46.870285,43.29159,51.071815,84.889206,266.36902,26.4416,34.48978,164.20767,42.92409,27.713495,174.41447,216.08125,24.458221,49.95945,46.41101,25.105345,43.79036,627.244,134.28922,76.21747,27.230988,93.960594,118.88947,732.6289,27.486992,190.29794,63.34428,103.11345,350.19,93.08156,32.718452,25.64007
2026-04-01,286.20535,990.7954,26.579697,33.180466,55.087814,175.4661,24.72776,38.99178,191.07254,735.1998,29.176453,25.87423,401.77374,51.2986,41.719395,26.505339,48.744503,42.213066,54.941628,82.895645,255.45343,26.464733,34.64069,162.14384,43.6998,27.734385,165.18173,216.91437,24.469362,52.55818,47.28651,25.32509,46.269234,618.27637,132.29965,74.46044,27.568869,91.78955,109.75227,726.82996,27.429066,190.31737,62.128204,102.67068,342.66205,93.72838,32.75509,25.726269
2026-05-01,294.71942,1005.11694,26.557726,33.69275,56.975838,176.16174,24.843195,39.82208,186.34767,754.0924,29.817926,25.912552,385.6717,56.833088,43.865677,26.582703,51.346756,41.02597,60.35948,80.755905,244.49974,26.494839,34.851326,161.2591,44.76281,27.769653,156.05588,218.94547,24.48426,56.178383,48.423256,25.639027,49.829346,612.96564,130.51114,72.91085,28.025038,90.07538,100.8309,725.86536,27.3828,191.73553,60.781654,102.52367,336.08102,94.927124,32.791634,25.83774
2026-06-01,304.57877,1026.8896,26.535578,34.240776,58.98317,177.80942,24.9665,40.729942,183.27722,777.0771,30.562355,25.948114,372.99142,63.487034,46.160446,26.667488,54.23087,39.995354,66.216156,78.99107,235.55042,26.527775,35.093834,161.47255,45.92839,27.810532,148.26717,221.60696,24.50036,60.16989,49.658154,26.000458,53.842583,612.06836,129.35428,71.73735,28.496489,89.101135,93.953224,729.0445,27.359047,193.67119,59.585052,102.66345,330.88617,96.42282,32.834106,25.95314
2026-07-01,313.81842,1049.1194,26.518837,34.80006,61.14189,180.71083,25.092731,41.618866,181.20503,800.195,31.427616,25.97575,360.01816,71.48088,48.593094,26.748322,57.456337,39.043365,72.39111,77.37608,226.97493,26.562159,35.352455,161.5409,47.17044,27.848711,140.86508,224.3716,24.517756,64.73197,50.980087,26.408392,58.258904,611.8363,128.38184,70.8135,28.966402,88.872345,88.36042,732.8485,27.362762,195.52899,58.44152,102.83297,325.6951,97.97096,32.883514,26.074389
2026-08-01,322.39252,1069.6835,26.509092,35.371136,63.38875,184.42398,25.218904,42.42886,180.01093,821.4453,32.379826,25.994024,346.89908,80.79103,51.09527,26.822166,60.9233,38.196625,78.59306,75.894585,218.99463,26.598715,35.6324,161.40335,48.490475,27.881783,133.98018,227.22556,24.536077,69.713104,52.38447,26.850227,62.923733,611.8009,127.559616,70.10353,29.42368,89.238754,83.93836,736.4364,27.387735,197.01688,57.367554,103.04085,320.4111,99.42812,32.941673,26.20016
2026-09-01,330.45706,1089.1106,26.506285,35.998848,65.61566,188.00194,25.351305,43.16233,178.92966,837.8788,33.481453,26.007572,334.2708,91.79205,53.739532,26.887985,64.6557,37.429447,84.96016,74.437294,211.55011,26.63713,35.93909,160.88635,49.96353,27.913107,127.33562,229.83687,24.555128,75.31913,53.848137,27.353,67.90814,610.42786,126.706894,69.49153,29.868889,89.63091,80.05049,738.7195,27.419186,197.99673,56.374046,103.17875,314.57578,100.45564,33.021313,26.339025
2026-10-01,337.53217,1104.66,26.503601,36.623825,67.89699,190.98843,25.501406,43.91912,177.5801,850.517,34.690506,26.02296,321.23245,104.677536,56.626183,26.963598,68.769394,36.67828,92.06604,72.92367,203.78397,26.67452,36.19409,160.18155,51.466927,27.944393,120.89183,231.89687,24.574583,81.52475,55.320988,27.926779,73.39887,607.34686,125.697784,68.80475,30.355392,89.7459,76.06191,739.02026,27.434996,198.26607,55.398476,103.28614,307.7599,101.20599,33.10427,26.482584
2026-11-01,343.23755,1115.1765,26.493822,37.18284,70.07389,192.54524,25.67052,44.715538,175.81552,859.5698,35.87229,26.043688,309.24612,118.74861,59.63648,27.062265,72.962906,35.989517,100.05107,71.434265,196.27428,26.709402,36.329914,159.56532,52.83983,27.971727,115.246796,233.38826,24.593113,87.812096,56.700226,28.54724,79.17035,603.5383,124.42359,67.99733,30.91441,89.28292,72.0376,738.5127,27.415638,197.75519,54.464203,103.397675,300.9134,101.79657,33.163177,26.619047
2026-12-01,347.5584,1120.9835,26.47006,37.72261,72.04309,192.38869,25.877125,45.627403,173.00516,865.1865,37.02221,26.076805,297.6156,134.28528,62.89055,27.19939,77.28911,35.33418,109.4724,69.79791,188.61137,26.74169,36.36557,158.74942,54.110153,28.004763,110.04551,233.91423,24.61119,94.21347,58.025124,29.252678,85.57912,597.5843,122.72943,66.95235,31.613064,88.12583,67.872314,736.2391,27.358665,196.39952,53.5206,103.4877,293.54257,102.30083,33.191532,26.75496
2027-01-01,352.8653,1125.6367,26.421389,38.332527,73.98316,190.1198,26.169054,47.000595,168.0837,871.9469,38.23278,26.140612,284.4663,153.68037,66.967804,27.411613,82.47409,34.669785,123.17913,67.953445,180.2398,26.768438,36.30495,158.10236,55.431786,28.056759,104.77829,234.37193,24.6301,101.61129,59.55741,30.188883,94.08794,588.5758,121.02319,65.50527,32.626186,86.07046,63.210007,732.71387,27.267818,194.15839,52.323036,104.07084,285.229,102.742256,33.19031,26.909777
2027-02-01,359.19562,1130.9324,26.369131,38.951614,75.98663,187.85184,26.500122,48.56894,163.28104,880.4855,39.490215,26.211103,271.918,176.07047,71.42235,27.646914,88.06352,34.05455,139.29517,66.25392,172.59549,26.793468,36.2434,157.83339,56.771484,28.110775,100.103294,235.4686,24.648739,109.504875,61.214607,31.274765,103.8589,580.3249,119.55833,64.10959,33.809036,84.07246,59.014153,730.166,27.176449,192.24608,51.159267,104.957375,277.7757,103.24696,33.177544,27.068766
2027-03-01,366.3014,1139.4827,26.318747,39.570183,77.798744,185.80106,26.845982,50.182686,159.26697,890.27,40.66575,26.283247,261.89038,199.22217,75.80187,27.894157,93.442345,33.528027,156.12651,64.8593,166.52661,26.819775,36.191994,158.10257,58.070816,28.167599,96.40315,236.9321,24.66587,116.96482,62.853706,32.421005,113.79826,574.3558,118.395096,62.972275,35.05446,82.382805,55.70375,729.8223,27.095703,190.81915,50.074745,106.097176,272.0625,103.740204,33.16812,27.224882
2027-04-01,374.14694,1150.1152,26.273186,40.222977,79.61467,184.56874,27.202488,51.83773,156.06003,900.79,41.828087,26.352139,252.90186,224.18764,80.26218,28.14119,98.84027,33.04673,173.733,63.58094,161.24467,26.849323,36.194397,158.4913,59.438828,28.22488,93.16154,238.81949,24.682274,124.38974,64.576996,33.638992,124.27748,570.05133,117.454315,62.001705,36.371483,81.11468,52.934395,730.878,27.027683,190.06006,49.067467,107.4029,267.24554,104.30632,33.16584,27.380669
2027-05-01,384.4259,1168.3373,26.230328,40.9667,81.636215,184.45662,27.577183,53.613205,153.62524,915.7291,43.08867,26.420387,245.02693,252.60529,84.957214,28.386131,104.51694,32.597294,192.68788,62.457504,156.8401,26.882889,36.273838,159.32916,60.984867,28.286158,90.297485,241.57819,24.698732,132.19348,66.47012,35.001587,135.8742,568.69653,116.78854,61.23208,37.784473,80.31363,50.64834,735.1814,26.97831,190.30981,48.126793,108.9147,263.87173,105.123375,33.172688,27.547043
2027-06-01,395.17004,1191.005,26.194262,41.70575,83.69824,185.35606,27.939903,55.32201,151.9882,933.63916,44.3487,26.4819,238.25519,282.1435,89.465324,28.617466,110.14765,32.197487,211.256,61.5179,153.14648,26.91867,36.390305,160.40813,62.520546,28.343582,87.839615,244.59889,24.71452,139.8284,68.33834,36.391712,147.6443,569.72064,116.333595,60.616024,39.165314,79.952065,48.758465,742.0117,26.941433,191.31348,47.277924,110.40575,261.53763,106.1129,33.1861,27.707474
2027-07-01,405.58508,1211.9113,26.167849,42.44937,85.72206,187.22917,28.272213,56.892746,151.12422,949.9817,45.600853,26.53581,231.9106,312.28198,93.680984,28.822556,115.52852,31.851784,228.66353,60.724285,150.08041,26.95472,36.535698,161.37308,64.106,28.394854,85.73954,248.05023,24.729258,147.23994,70.25091,37.756737,158.88487,571.25494,116.25568,60.19471,40.43902,80.03869,47.216064,749.07935,26.922724,192.62782,46.51486,111.999695,259.59674,106.90542,33.21999,27.862936
2027-08-01,416.39963,1233.6378,26.151398,43.232044,87.80739,189.96799,28.590229,58.378708,150.84782,965.86426,46.859535,26.584354,225.75607,343.7007,97.78021,29.007631,120.91358,31.541252,245.21053,60.020546,147.40213,26.994446,36.731453,162.26216,65.80675,28.444304,83.86543,251.91785,24.744217,154.68944,72.264336,39.12941,169.9693,573.3181,116.40881,59.893696,41.674725,80.49901,45.902405,756.787,26.916431,194.26785,45.84263,113.71728,258.05228,107.62149,33.27694,28.024164
2027-09-01,426.2106,1254.2434,26.143805,44.035454,89.57808,192.96907,28.869234,59.556892,151.07866,976.35046,48.046238,26.624605,220.5787,372.0585,101.29071,29.16407,125.64441,31.283327,258.66623,59.412292,145.31332,27.035805,36.950325,162.8288,67.52275,28.492554,82.282936,255.5779,24.75787,161.54776,74.09795,40.375053,179.39684,575.168,116.6557,59.78252,42.673294,81.17923,44.887276,763.51587,26.921518,196.00458,45.253334,115.363594,256.71002,107.94281,33.365635,28.183556
2027-10-01,434.11957,1269.2435,26.142681,44.793015,91.14898,195.93523,29.122988,60.5616,151.53357,981.2596,49.108154,26.659002,215.52036,397.31436,104.368164,29.30312,129.8832,31.04877,270.25146,58.825806,143.3181,27.07726,37.158295,163.02982,69.136154,28.535227,80.886765,258.73907,24.77067,167.73953,75.74913,41.499943,187.4539,575.63464,116.84558,59.734924,43.538128,81.887566,43.98126,767.49835,26.927532,197.55275,44.713074,116.90456,255.02672,107.92796,33.469585,28.333149
2027-11-01,440.1563,1277.2842,26.14348,45.461422,92.55798,198.34485,29.367327,61.498314,151.96399,981.4535,50.04501,26.690735,210.98654,420.4635,107.25238,29.441265,133.67468,30.840279,281.66998,58.282814,141.42729,27.116713,37.312683,162.99162,70.57819,28.56942,79.714355,261.68732,24.782244,173.47531,77.20187,42.547115,194.58461,574.96875,116.938126,59.702194,44.37712,82.356476,43.119644,769.43604,26.92586,198.87941,44.222786,118.3385,253.1805,107.70859,33.56981,28.46868
2027-12-01,443.46646,1277.3726,26.139772,46.037193,93.600365,199.54276,29.615852,62.35751,151.9993,976.1381,50.76183,26.72226,206.71452,440.01996,109.88159,29.598038,136.76295,30.641466,292.6654,57.700096,139.34982,27.154446,37.384544,162.57054,71.76657,28.598059,78.69725,263.64377,24.793118,178.21275,78.37842,43.494583,200.76498,572.0813,116.65911,59.608,45.23127,82.46235,42.279255,768.1447,26.91093,199.6076,43.73813,119.483734,250.89146,107.269005,33.64804,28.587748
2028-01-01,448.12646,1276.1472,26.123543,46.663246,94.67382,199.08107,29.978813,63.794983,150.75597,971.64435,51.451218,26.777117,201.58366,463.8387,113.61129,29.827202,140.67018,30.415827,311.7226,57.006844,136.73332,27.191181,37.38151,162.44199,72.96089,28.636349,77.626175,265.89584,24.805489,183.83823,79.707985,44.786423,209.95882,567.1316,116.2968,59.289665,46.558083,81.839005,41.15782,766.31024,26.872402,200.15393,43.14914,121.04261,248.24564,106.70945,33.70259,28.723814
2028-02-01,453.41522,1274.6711,26.104485,47.278896,95.731064,197.72667,30.393753,65.502495,149.01297,968.5858,52.086006,26.840706,196.64764,489.323,117.84993,30.079872,144.81177,30.193935,335.36957,56.3302,134.16757,27.225374,37.34712,162.69638,74.094154,28.676016,76.67903,268.3357,24.818144,189.59067,81.075516,46.245846,220.61667,561.93365,115.93023,58.886623,48.14351,80.81983,39.971737,764.8056,26.819008,200.62729,42.577972,122.73363,245.84096,106.159515,33.739914,28.861639
2028-03-01,459.16733,1275.2792,26.086857,47.88511,96.68946,196.2398,30.816666,67.23938,147.33383,967.6647,52.600838,26.90525,192.46947,513.3439,121.98418,30.337162,148.73299,29.994747,359.9253,55.775215,132.00772,27.25971,37.315575,163.26494,75.1712,28.717152,75.914154,270.87408,24.830402,194.82599,82.40028,47.71207,231.09142,557.80396,115.69211,58.513084,49.786903,79.80025,38.906105,764.5205,26.765932,201.12395,42.04857,124.4812,244.06425,105.686005,33.776638,28.99858
2028-04-01,464.91638,1278.1738,26.07206,48.512295,97.67619,195.44629,31.21025,68.83533,146.06001,968.5969,53.127403,26.961952,188.73112,537.0507,125.889534,30.575191,152.45964,29.809479,382.95673,55.279324,130.04831,27.294947,37.324677,163.75693,76.282074,28.759165,75.22454,273.18912,24.842728,199.86337,83.71503,49.12558,241.20572,554.96533,115.47563,58.2159,51.34994,79.13014,38.032566,765.2429,26.726463,201.94875,41.570763,126.01126,242.85114,105.37552,33.813026,29.132404
