Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-01-01,243.75468,917.07556,2.204327,7.515415,25.052069,150.89755,0.13872519,12.837359,183.16382,626.44855,3.5327468,1.4018774,406.1391,16.950502,13.030207,2.0236483,18.716831,20.375286,19.513714,64.485016,254.04349,2.0190828,9.65608,146.23155,16.444305,3.241103,178.27458,189.57793,0.050058085,20.302675,19.40161,0.37737423,15.113971,593.2592,109.793564,54.090034,2.282744,72.43497,115.46179,658.2682,3.1589813,163.57028,39.660637,77.85801,319.9572,64.931076,7.905551,1.0784954
2026-02-01,238.43356,904.5892,2.1971173,7.817061,26.685816,146.64217,0.18246137,13.049948,165.3367,636.54584,3.9176536,1.3945924,377.52228,19.13919,13.946722,1.9746355,20.31444,18.528986,22.465223,59.42589,228.88797,2.0346062,9.783249,136.17984,17.0462,3.2570121,151.50288,183.98569,0.062368937,22.920849,19.985426,0.53706867,16.82433,569.5231,102.539185,49.85558,2.42886,67.56497,99.07691,642.57263,3.075665,157.03757,38.3061,73.70525,298.03857,65.091934,8.0062275,1.1653221
2026-03-01,240.38907,903.9421,2.1849067,8.024011,27.68637,145.52618,0.2354609,13.481222,157.93855,642.64813,4.2160444,1.4070967,363.34262,21.360281,14.892389,1.9731276,21.600311,17.586966,24.97346,57.48009,218.81625,2.0430062,9.867816,132.8587,17.566755,3.263675,141.44783,183.13338,0.069326386,24.735853,20.59676,0.6761816,18.451832,559.7734,100.142456,48.080242,2.6189406,65.31958,90.60986,637.8599,3.01763,155.64067,37.23359,73.174866,289.75055,65.220436,8.036532,1.2248371
2026-04-01,244.47165,906.2619,2.1670995,8.311787,28.978266,145.25465,0.31587106,14.109431,151.5135,650.302,4.6260977,1.4243114,347.9626,24.74465,16.269054,1.9947736,23.375156,16.59341,28.437387,55.42568,208.54048,2.0579944,9.996712,130.4864,18.289928,3.2736487,132.07233,182.68164,0.078673884,27.173435,21.428362,0.8755376,20.811039,551.32623,97.78756,46.439053,2.9134154,63.4471,82.007675,634.23364,2.957915,155.20206,36.019737,72.979485,282.01483,65.59377,8.046055,1.301345
2026-05-01,250.96318,916.6986,2.141212,8.708998,30.688015,146.23898,0.4243435,14.951358,145.74179,663.3595,5.209982,1.4484165,332.10794,29.70639,18.162352,2.0340989,25.785862,15.508804,33.223217,53.180706,198.06361,2.0779357,10.174592,128.875,19.249226,3.2936394,122.55223,182.78897,0.09073934,30.518978,22.470339,1.155907,24.18314,545.62726,95.36982,44.914368,3.3092053,62.010784,73.514275,633.9307,2.9082181,156.03891,34.682148,72.97626,274.8261,66.37709,8.05119,1.3991368
2026-06-01,258.38165,932.2331,2.1148903,9.130595,32.487328,148.11366,0.5396312,15.797678,141.5371,679.65643,5.878623,1.4702475,319.07278,35.60093,20.163387,2.081116,28.40476,14.564569,38.314037,51.284172,189.40198,2.1005769,10.378801,128.11229,20.275696,3.3167965,114.3032,183.39511,0.10371641,34.144203,23.575556,1.4720048,27.956385,543.38556,93.45873,43.683907,3.7140586,61.236473,66.88293,636.89856,2.8795621,157.41228,33.461365,73.06996,268.9207,67.40022,8.060093,1.5001512
2026-07-01,265.11392,946.5257,2.0931742,9.557417,34.402046,151.1361,0.6570956,16.565525,138.3449,695.61523,6.6492662,1.4849346,305.88855,42.606102,22.253817,2.1265574,31.316156,13.687535,43.601128,49.500683,181.06935,2.1245723,10.593673,127.206665,21.347021,3.3382473,106.53595,184.09389,0.117548086,38.237698,24.735714,1.8228861,32.05149,541.26416,91.67871,42.61315,4.1117234,61.153107,61.400402,639.6608,2.8759246,158.7902,32.276615,73.03694,262.9451,68.46322,8.074471,1.6059418
2026-08-01,271.22894,958.4105,2.077895,9.990425,36.379173,154.87898,0.77436095,17.223911,136.06,709.83044,7.490258,1.4913261,292.83105,50.68927,24.374613,2.167771,34.433453,12.898607,48.84362,47.835247,173.28113,2.1506906,10.826033,126.16544,22.46481,3.3560004,99.41941,184.89603,0.13209066,42.676987,25.952148,2.1973155,36.31591,538.8177,90.07533,41.69748,4.49339,61.60562,57.008324,641.6876,2.891527,159.93985,31.138433,72.9323,256.9721,69.44788,8.095564,1.7153813
2026-09-01,277.01617,968.7767,2.0687656,10.468305,38.318306,158.39755,0.89682436,17.774046,134.08174,720.44525,8.456785,1.4936612,280.1596,60.12748,26.601395,2.2020898,37.77688,12.175071,54.151604,46.179466,165.91074,2.1780937,11.076048,124.76768,23.693584,3.3723488,92.68274,185.66856,0.147152,47.632244,27.20394,2.6177084,40.78821,535.19775,88.45559,40.87034,4.8576417,62.08858,53.138023,642.67615,2.9126425,160.65564,30.072697,72.70501,250.66959,70.05138,8.133851,1.8363415
2026-10-01,282.04614,974.9694,2.0599954,10.938177,40.295673,161.2301,1.0354102,18.327702,131.8783,727.8945,9.503913,1.4977801,267.22388,71.05345,29.01918,2.246135,41.41802,11.465189,60.025948,44.473827,158.31743,2.204625,11.273459,123.19508,24.909445,3.388514,86.24783,185.9095,0.16246817,53.044178,28.440756,3.0917456,45.641422,529.7093,86.71321,39.991634,5.253803,62.27773,49.167046,641.53357,2.9186616,160.65805,29.034481,72.39736,243.6055,70.36729,8.172264,1.9610443
