Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,30.337597,7.259077,0.0,56.54763,10.76244,33.431774,0.0,0.0,0.0,0.0,0.0,30.923908,0.0,0.0,21.658175,0.0,0.0,51.14659,0.0,0.0,0.0,3.524931,0.0,0.0,0.0,9.980034,9.117884,55.604004,0.0,9.601931,0.0,0.0,10.017963,0.0,0.0,0.0,0.0,5.596243,6.073267,0.0,0.28749084,0.0,0.0,0.0,0.0,0.0,0.0,40.012474,54.447254,0.0,8.436987,30.563343,0.0,0.0,0.0,0.0,0.0,14.871162,35.589684,0.0,0.0,0.8191681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.160099,0.0,0.0,1.7869492,0.0,0.0,8.015432,0.0,35.436913,113.985916,0.0,0.0,2.7955246,0.0,0.0,0.0,12.155912
2026-02-01,30.274132,6.7937336,0.0,62.783546,12.014248,36.993706,0.0,0.0,0.0,0.0,0.0,33.801758,0.0,0.0,19.798456,0.0,0.0,55.34298,0.0,0.0,0.0,4.137535,0.0,0.0,0.0,9.668535,7.9776287,52.039536,0.0,9.571863,0.0,0.0,9.190874,0.0,0.0,0.0,0.0,6.104681,6.4416676,0.0,0.19704437,0.0,0.0,0.0,0.0,0.0,0.0,42.517723,52.832436,0.0,6.746214,29.725807,0.0,0.0,0.0,0.0,0.0,15.580992,35.448856,0.0,0.0,1.8754578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.984163,0.0,0.0,2.1418953,0.0,0.0,8.398844,0.0,35.267372,120.19688,0.0,0.0,2.7469635,0.0,0.0,0.0,12.0881405
2026-03-01,30.00461,6.416765,0.0,66.39309,12.746037,39.12217,0.0,0.0,0.0,0.0,0.0,35.188446,0.0,0.0,18.583763,0.0,0.0,58.947483,0.0,0.0,0.0,4.4660873,0.0,0.0,0.0,9.437038,7.2220726,49.662704,0.0,9.545654,0.0,0.0,8.556957,0.0,0.0,0.0,0.0,6.3972588,6.621374,0.0,0.063856125,0.0,0.0,0.0,0.0,0.0,0.0,43.640327,51.766388,0.0,5.8671913,29.355833,0.0,0.0,0.0,0.0,0.0,15.893187,35.32539,0.0,0.0,2.4106693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.407225,0.0,0.0,2.3250961,0.0,0.0,8.476015,0.0,34.93958,122.99526,0.0,0.0,2.588787,0.0,0.0,0.0,12.057291
2026-04-01,29.575933,5.9367886,0.0,70.78976,13.643597,41.708103,0.0,0.0,0.0,0.0,0.0,36.76285,0.0,0.0,17.357399,0.0,0.0,63.915836,0.0,0.0,0.0,4.897909,0.0,0.0,0.0,9.130375,6.452402,47.26774,0.0,9.501913,0.0,0.0,7.917164,0.0,0.0,0.0,0.0,6.706249,6.7743397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83589,50.413666,0.0,4.979719,28.8349,0.0,0.0,0.0,0.0,0.0,16.178589,35.104904,0.0,0.0,2.949831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.086277,0.0,0.0,2.54817,0.0,0.0,8.466841,0.0,34.436325,126.0421,0.0,0.0,2.3536434,0.0,0.0,0.0,11.938463
2026-05-01,29.158796,5.3903675,0.0,76.48923,14.78997,44.946785,0.0,0.0,0.0,0.0,0.0,38.785316,0.0,0.0,16.125187,0.0,0.0,70.589096,0.0,0.0,0.0,5.4611874,0.0,0.0,0.0,8.829229,5.6458416,44.879013,0.0,9.53488,0.0,0.0,7.256056,0.0,0.0,0.0,0.0,7.105747,6.9591236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066186905,46.414036,49.0572,0.0,4.0765457,28.290066,0.0,0.0,0.0,0.0,0.0,16.557728,34.97232,0.0,0.0,3.5563698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.285736,0.0,0.0,2.8519955,0.0,0.0,8.469582,0.0,33.912598,129.91013,0.0,0.0,2.1037502,0.0,0.0,0.0,11.801525
2026-06-01,28.732536,4.821802,0.0,82.54945,15.961626,48.303307,0.0,0.0,0.0,0.0,0.0,40.92025,0.0,0.0,14.916426,0.0,0.0,77.82068,0.0,0.0,0.0,6.061037,0.0,0.0,0.0,8.540361,4.86825,42.5125,0.0,9.568113,0.0,0.0,6.6307507,0.0,0.0,0.0,0.0,7.5569725,7.168495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325737,48.107903,47.76387,0.0,3.196663,27.78637,0.0,0.0,0.0,0.0,0.0,16.94171,34.943527,0.0,0.0,4.173031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.589844,0.0,0.0,3.1826916,0.0,0.0,8.473606,0.0,33.414215,133.99905,0.0,0.0,1.8553734,0.0,0.0,0.0,11.691504
2026-07-01,28.332338,4.2470245,0.0,88.91465,17.147171,51.824566,0.0,0.0,0.0,0.0,0.0,43.096523,0.0,0.0,13.730757,0.0,0.0,85.397224,0.0,0.0,0.0,6.654562,0.0,0.0,0.0,8.269604,4.087618,40.19818,0.0,9.614874,0.0,0.0,6.007803,0.0,0.0,0.0,0.0,7.9868145,7.43157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.594532,49.78807,46.548588,0.0,2.326273,27.352312,0.0,0.0,0.0,0.0,0.0,17.30274,34.9412,0.0,0.0,4.8179436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.882263,0.0,0.0,3.5101166,0.0,0.0,8.471199,0.0,33.02468,137.93217,0.0,0.0,1.6130238,0.0,0.0,0.0,11.610371
2026-08-01,27.926296,3.6606026,0.0,95.52437,18.338993,55.489147,0.0,0.0,0.0,0.0,0.0,45.281013,0.0,0.0,12.559404,0.0,0.0,93.222916,0.0,0.0,0.0,7.226244,0.0,0.0,0.0,7.9952145,3.310501,37.85517,0.0,9.646833,0.0,0.0,5.393051,0.0,0.0,0.0,0.0,8.388512,7.751461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8375092,51.409645,45.270576,0.0,1.454256,26.969437,0.0,0.0,0.0,0.0,0.0,17.631058,34.88356,0.0,0.0,5.4912586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.095146,0.0,0.0,3.8218555,0.0,0.0,8.433041,0.0,32.723278,141.60684,0.0,0.0,1.3582497,0.0,0.0,0.0,11.5491295
2026-09-01,27.622131,3.0741653,0.0,102.954636,19.645508,59.428055,0.0,0.0,0.0,0.0,0.0,47.7261,0.0,0.0,11.420431,0.0,0.0,101.57612,0.0,0.0,0.0,7.8162327,0.0,0.0,0.0,7.726095,2.5601158,35.534515,0.0,9.720253,0.0,0.0,4.793268,0.0,0.0,0.0,0.0,8.815449,8.107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1680965,53.188927,43.954575,0.0,0.5951805,26.623676,0.0,0.0,0.0,0.0,0.0,18.03221,34.87528,0.0,0.0,6.2191525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47079,0.0,0.0,4.164671,0.0,0.0,8.409342,0.0,32.54728,145.69125,0.0,0.0,1.1146832,0.0,0.0,0.0,11.518959
2026-10-01,27.34501,2.4699497,0.0,111.16579,21.029064,63.65972,0.0,0.0,0.0,0.0,0.0,50.329807,0.0,0.0,10.333813,0.0,0.0,110.71058,0.0,0.0,0.0,8.484268,0.0,0.0,0.0,7.43017,1.8563957,33.31754,1.5866051,9.823841,0.0,0.0,4.2065334,0.0,0.0,0.0,0.0,9.257921,8.377083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6466026,54.985,42.72827,0.0,0.0,26.294264,0.0,0.0,0.0,0.0,0.0,18.456478,34.891357,0.0,0.0,6.9127617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.032913,0.0,0.0,4.5237675,0.0,0.0,8.365561,0.0,32.32501,150.1435,0.0,0.0,0.90455246,0.0,0.0,0.0,11.502327
