Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,0.55644715,0.14299905,0.039266758,3.2085779,0.59952253,1.501831,0.025372317,0.0025072373,0.008595201,0.008185189,0.0019885667,0.8262124,0.114240885,0.3001444,0.53620106,0.051710542,0.0039218683,1.9561938,0.0014653166,0.002816861,0.05612335,0.48567033,0.0053384616,0.026306411,0.013483511,0.1534829,0.21271692,2.0008116,0.16204928,0.26246476,0.008160882,0.010172785,0.64070404,0.0,0.24738172,0.1335967,0.018128539,0.40860552,0.37997937,0.01884387,0.3423334,0.018077485,0.0043035704,0.069670536,0.010149184,0.008785095,0.27791232,1.280804,0.37775198,0.05423891,0.14305529,0.7891108,0.0054458994,0.0065120603,0.0048596757,0.024471452,0.008574518,0.29090208,1.2488842,0.008678571,0.115743436,0.2560971,0.0066021625,0.014009962,0.016041962,0.014189889,0.013644822,0.0024133977,0.023891017,0.016830038,0.078136496,0.0026659563,0.9529618,0.0033492555,0.27114362,0.20234643,0.0035706665,0.017408196,0.33040005,0.013872551,0.5951386,2.135476,0.16901441,0.026892751,0.15235043,0.108051874,0.007860004,0.011623036,0.19317488
2026-02-01,0.9426758,0.2019481,0.055985037,4.5590057,1.0498105,2.5172458,0.041266404,0.004159797,0.015863286,0.011170648,0.0032344349,1.3400189,0.11641277,0.27685887,0.5998797,0.040686358,0.0049358774,3.1832004,0.0019444148,0.0038357356,0.039721552,0.56232804,0.00807706,0.037869733,0.016755817,0.31488675,0.2780895,1.887786,0.2469503,0.4805888,0.011935042,0.0140282,0.6728588,0.0072542345,0.28807724,0.14665274,0.025278915,0.5471956,0.44167924,0.019360239,0.33763993,0.019393597,0.004872482,0.11848947,0.013064374,0.012010731,0.3624413,1.6224416,0.7122497,0.116016775,0.1971339,1.0263343,0.010285299,0.010561382,0.008072448,0.041826703,0.010697659,0.40033564,1.7127622,0.009636673,0.1960007,0.27916792,0.008097684,0.011852103,0.016203897,0.021183992,0.02481621,0.003672241,0.037294015,0.0293263,0.070518814,0.0040754247,1.2994852,0.004080565,0.28123853,0.3126608,0.008945602,0.018583937,0.2866038,0.028096793,0.859202,2.9400156,0.16148429,0.045390185,0.124312036,0.15786266,0.008291135,0.015402931,0.28746417
2026-03-01,1.1192777,0.19778004,0.06494731,5.439516,1.2541053,3.021825,0.05282493,0.004922249,0.02040514,0.013054517,0.0043411395,1.7144912,0.120898366,0.29089648,0.6471437,0.03977867,0.0056394394,4.0157475,0.0022199077,0.0040708464,0.039555594,0.664188,0.009515912,0.04586723,0.019035198,0.3723935,0.2930681,1.9299029,0.34322113,0.57781917,0.013340365,0.017602317,0.6766927,0.009052782,0.31309786,0.14771172,0.030660832,0.6434715,0.48102254,0.020174323,0.33897057,0.022171674,0.0053481255,0.12668219,0.014803017,0.0099699795,0.45086876,1.8789086,0.82310873,0.13962217,0.20664263,1.1810994,0.013469937,0.012690805,0.009678066,0.052014567,0.013884038,0.43906048,1.9478835,0.01073296,0.2517241,0.3169904,0.009017448,0.011199682,0.015829317,0.026037907,0.033313952,0.0042861635,0.049013395,0.03777882,0.067862004,0.0052577304,1.5391046,0.0044006114,0.32441798,0.37379774,0.01186518,0.022346055,0.2857192,0.040053945,0.992129,3.4562,0.16988716,0.053737953,0.16029073,0.19414555,0.008438268,0.018064862,0.32840168
2026-04-01,1.2894715,0.18844663,0.07550643,6.591531,1.469104,3.6158965,0.06828424,0.006052979,0.026862973,0.015371334,0.0058746613,2.201942,0.123682156,0.3257745,0.7016609,0.040856343,0.0065077073,5.1256957,0.0028361282,0.004477425,0.051011596,0.7954668,0.011125643,0.05746103,0.022057667,0.42413425,0.2992545,1.9043996,0.510835,0.67445564,0.015079735,0.022347322,0.66101706,0.0111386785,0.33515778,0.15259877,0.039530464,0.75246686,0.52775586,0.021564538,0.33585036,0.026719403,0.0061120074,0.13020287,0.017210176,0.011462834,0.5875337,2.173575,0.93260586,0.1658662,0.21310322,1.4046688,0.017471502,0.015558731,0.011607334,0.06537134,0.017987322,0.48802975,2.1874845,0.012207628,0.33575985,0.36965418,0.01009763,0.010691928,0.015636697,0.032001093,0.045085955,0.005105685,0.07165724,0.04941222,0.065216795,0.0067408737,1.8281238,0.0047645182,0.3889948,0.44543123,0.01569298,0.028881785,0.28391445,0.05657186,1.1130501,4.083325,0.18204887,0.061990563,0.20851147,0.24144755,0.009026619,0.021582477,0.37942624
2026-05-01,1.4729528,0.17659192,0.08799721,8.125172,1.7343017,4.4160085,0.08858045,0.007876948,0.035689455,0.018381363,0.0077664135,2.8441362,0.12581024,0.38043904,0.75153804,0.0454445,0.007576901,6.7006564,0.0037717475,0.005243743,0.07292769,0.97179914,0.0131041,0.07440369,0.026051804,0.4790344,0.30845532,1.850555,0.7928708,0.7750515,0.017389271,0.028480532,0.63509595,0.013735791,0.36070976,0.15771975,0.054621793,0.88355243,0.59023255,0.023384718,0.3307139,0.034266844,0.0072539044,0.13194594,0.020559989,0.017010309,0.7790032,2.5292218,1.0589014,0.1957839,0.22078574,1.7012691,0.022716708,0.019751428,0.013945224,0.08424481,0.023635866,0.55368775,2.4521983,0.014838193,0.46939534,0.45226434,0.011531087,0.010203444,0.015880555,0.03962886,0.062401645,0.0062057506,0.11560745,0.065745965,0.061977442,0.008474984,2.2042596,0.005221115,0.4721701,0.5424407,0.021397253,0.039889015,0.2895279,0.08071595,1.2382414,4.952199,0.19680704,0.07229962,0.27275595,0.3024561,0.0101106,0.026540853,0.4553994
2026-06-01,1.6755276,0.17326407,0.101053156,9.801947,2.018505,5.287543,0.11059508,0.0099957995,0.04566227,0.021661915,0.009547565,3.5428228,0.13058896,0.44578916,0.8150612,0.05174031,0.008809051,8.585273,0.004764494,0.006207807,0.10204119,1.1676253,0.015102019,0.094790556,0.03053096,0.5422001,0.32761613,1.8418566,1.1724106,0.88153315,0.019803246,0.03547016,0.617942,0.016447628,0.39080715,0.16387865,0.07586593,1.0287529,0.6626238,0.025502985,0.33149922,0.044582337,0.008594294,0.13537222,0.024612108,0.022629142,0.99716914,2.893115,1.2000315,0.22467387,0.23373207,2.0244737,0.028718721,0.024831,0.016282862,0.106276885,0.030519096,0.6398927,2.744813,0.018560229,0.63862365,0.5607336,0.013024392,0.009862814,0.016665678,0.047907226,0.08391964,0.0074093193,0.18357964,0.08427227,0.06031456,0.010225013,2.6063209,0.0056791413,0.561826,0.64747536,0.028455434,0.0547021,0.31035444,0.11141456,1.3629981,5.9145465,0.21411617,0.08403355,0.34869772,0.36768475,0.011527653,0.032659158,0.54832053
2026-07-01,1.8861681,0.17995909,0.1148918,11.6018305,2.3176003,6.2001595,0.13320577,0.012215237,0.056431197,0.025184855,0.011323577,4.256252,0.13675427,0.51897573,0.8707332,0.058594152,0.010133874,10.78363,0.0058111735,0.0073928908,0.13769543,1.3682246,0.017018115,0.11760756,0.035813577,0.60921353,0.35631788,1.8643305,1.65042,0.9812717,0.022098826,0.043885257,0.6037429,0.019255498,0.42190775,0.17076549,0.10460694,1.1868585,0.741041,0.028193638,0.33777645,0.05763958,0.010070072,0.14051133,0.029294772,0.025550665,1.2338322,3.2942045,1.3515433,0.25203848,0.25035882,2.3441982,0.035457134,0.030346481,0.018716643,0.13103686,0.038652875,0.7363834,3.069105,0.023157889,0.8365015,0.68976146,0.014739322,0.009773434,0.01814989,0.057312705,0.11031814,0.008712092,0.28044277,0.10398489,0.060105164,0.012009515,3.0155482,0.0061506187,0.65047395,0.75201267,0.036970988,0.07469915,0.34482557,0.14995849,1.4851252,6.9335074,0.23137134,0.097620435,0.42877594,0.4375308,0.013135439,0.040167056,0.6462017
2026-08-01,2.1034846,0.19677751,0.12939593,13.512572,2.623184,7.1170187,0.15626267,0.014444109,0.06784668,0.028810043,0.013144569,4.970567,0.1442,0.59882915,0.9228099,0.0657089,0.011494428,13.239654,0.006859361,0.008771738,0.17851077,1.5645617,0.018761074,0.14220114,0.04192057,0.6802472,0.3903031,1.9181923,2.2264996,1.0789921,0.024151474,0.05391067,0.5946482,0.022189435,0.45398265,0.17911328,0.14174227,1.3532342,0.8237197,0.03136902,0.34899896,0.073277175,0.011629283,0.14739303,0.034539286,0.025012234,1.4850025,3.7312772,1.5157796,0.27844003,0.268495,2.655977,0.042810276,0.0361499,0.021240346,0.15781425,0.04767208,0.84019464,3.433988,0.028476594,1.059222,0.8350289,0.016536014,0.009969905,0.02051255,0.06765219,0.14146145,0.010099035,0.41055572,0.124113984,0.06172175,0.013850556,3.4179597,0.0066290977,0.73830044,0.85407215,0.046589877,0.10007078,0.39273864,0.19742405,1.6088954,7.9936943,0.24958655,0.112372525,0.5075834,0.5119343,0.01490497,0.0490269,0.7434398
2026-09-01,2.33658,0.21663715,0.14574422,15.614905,2.9814308,8.209222,0.18186922,0.016787915,0.0804965,0.03281583,0.01502965,5.7564054,0.15179834,0.6898579,0.9776644,0.07327035,0.012896848,16.207626,0.007911965,0.010360094,0.22303225,1.7793478,0.020481542,0.16903982,0.04917813,0.76322424,0.42189336,2.002645,2.9296398,1.1864679,0.026020523,0.065933175,0.5949786,0.025279155,0.4973726,0.19155973,0.19156754,1.5302573,0.9174071,0.034779225,0.3630197,0.09250592,0.013230798,0.15642539,0.040358737,0.021913923,1.7602689,4.26117,1.7104334,0.3069319,0.28556424,2.9970696,0.050820872,0.042552393,0.023832468,0.18652403,0.05811862,0.95806056,3.8268366,0.034649383,1.319217,1.0042293,0.018564181,0.010379998,0.023442889,0.07954854,0.1797449,0.011596358,0.5899956,0.14496183,0.06454656,0.015804641,3.8677096,0.0071504414,0.8354564,0.96537256,0.058148526,0.13295957,0.4529596,0.25699538,1.7469845,9.184049,0.2711576,0.12933944,0.58389884,0.59439635,0.016848255,0.05985456,0.85072213
2026-10-01,2.562384,0.23625666,0.16240938,17.95679,3.3679516,9.454233,0.20687045,0.019338263,0.09516197,0.037395667,0.016956681,6.623217,0.15835203,0.7907753,1.025981,0.081368156,0.014372626,19.648834,0.008948135,0.011947738,0.2692125,2.0051446,0.022254063,0.20200314,0.057539407,0.8439847,0.44688198,2.08982,3.8477547,1.2923521,0.028125236,0.080766946,0.59665114,0.028482819,0.539302,0.2038608,0.25811285,1.7189375,1.012696,0.038248025,0.37454873,0.11727361,0.014854592,0.1645561,0.046969485,0.021730516,2.0750682,4.8117995,1.9077723,0.33458605,0.30165747,3.3489468,0.05969779,0.049856324,0.026533995,0.22121184,0.07026234,1.0739089,4.2281556,0.041028664,1.6474267,1.186621,0.020684868,0.010823392,0.026592009,0.0932205,0.22823676,0.013184531,0.8515144,0.16930225,0.067175694,0.017897554,4.3489633,0.007709498,0.9334459,1.0794562,0.07161729,0.17569157,0.52069515,0.33513585,1.8818833,10.5578375,0.29227453,0.14862195,0.65698224,0.6861697,0.018965537,0.07328761,0.95530397
