Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,48.982277,25.093397,3.0105467,80.39049,29.491547,53.929405,3.989139,0.028856996,0.08239384,0.052097756,0.0012504015,50.09733,11.550981,8.893925,40.263172,6.382457,0.004648368,72.534775,0.010306153,0.005570136,6.8789215,22.030888,0.011795918,0.16011217,0.048503827,27.834904,27.088852,77.079636,4.922536,27.670404,0.039495043,0.05711209,28.827785,0.0,17.497608,17.166416,0.18324478,23.951153,24.372068,1.103152,18.512506,0.12359055,0.01023672,8.101542,0.020479664,0.07572495,14.514723,60.076893,72.74169,14.096031,26.271418,49.664043,0.008522465,0.021294264,0.018202309,0.14862679,0.05525928,32.995373,55.59154,1.9924612,3.793363,18.875162,0.036103465,1.0665666,1.999645,0.071639895,0.09878935,0.0028695934,0.2826622,0.1350111,7.534223,0.008368532,45.581947,0.0051022302,16.977598,19.73759,0.026608443,0.15918747,26.21706,0.16816123,54.15743,135.7255,11.546079,1.2109622,20.648174,4.447948,0.014405673,0.08888291,30.088577
2026-02-01,49.67582,24.743595,3.0198946,89.27324,31.62592,59.48155,3.9819522,0.05562023,0.1792281,0.11468311,0.0018066503,53.98224,11.398598,9.245657,38.528263,6.397499,0.014512351,79.13609,0.014137941,0.005528877,6.9605436,22.793741,0.041024886,0.24895823,0.123123385,27.839756,26.076727,73.29364,6.103444,28.06786,0.04129582,0.1581045,28.06372,0.01146497,17.047073,17.11174,0.39452392,24.731228,24.861403,1.0894103,18.41286,0.25692254,0.02005071,7.650847,0.051917516,0.016960856,15.614164,63.25175,71.782486,13.400134,24.68664,49.291466,0.055677257,0.07634017,0.02525856,0.27215248,0.13085613,33.919693,56.359913,2.0479546,4.4263296,19.97667,0.06888612,1.0716723,2.0207033,0.12890685,0.27969968,0.007266463,0.63942844,0.21100669,7.6058264,0.011756376,49.085197,0.012365701,16.86964,20.308754,0.109903835,0.38646623,26.51463,0.3751115,54.50545,143.51335,11.39199,1.3732578,20.544659,4.8373213,0.025061116,0.20824032,30.205612
2026-03-01,49.752438,24.358458,3.0358357,94.60858,32.758125,62.598988,3.9996662,0.07854049,0.24414437,0.15454622,0.0031879116,56.102894,11.236595,9.562906,37.406208,6.417735,0.019990891,84.37239,0.016739015,0.0063503026,7.0227547,23.32194,0.056511752,0.32545537,0.16586195,27.720972,25.350529,70.99936,7.03419,28.232224,0.05208834,0.22972736,27.437317,0.024973746,16.849554,16.956463,0.5766649,25.212505,25.118221,1.0846668,18.282282,0.36447817,0.025732702,7.441059,0.07418989,0.007532893,16.454601,64.87703,70.93372,13.040392,23.826254,49.22483,0.088527374,0.11571723,0.032660954,0.3658327,0.18546191,34.30779,56.697285,2.074519,4.963803,20.586014,0.08793566,1.0697147,2.032677,0.17341746,0.41349778,0.009390114,0.9512504,0.27448407,7.568689,0.015381008,50.977913,0.01615877,16.814579,20.611782,0.17090142,0.5619005,26.590067,0.540155,54.438194,147.32346,11.298563,1.4768838,20.456999,5.098355,0.032462884,0.30301833,30.255001
2026-04-01,49.65734,23.860188,3.065602,101.2632,34.077084,66.349304,4.0421166,0.110098764,0.32937637,0.20276299,0.0060465396,58.6327,11.039228,10.009326,36.286697,6.4348664,0.026796678,91.51624,0.02077029,0.008047887,7.12124,24.011066,0.075401746,0.44066867,0.21858677,27.51572,24.592983,68.554405,8.426779,28.37789,0.07179006,0.3181017,26.7668,0.04458537,16.62758,16.71732,0.83885413,25.735126,25.362783,1.0818818,18.10178,0.51145273,0.03305685,7.2329664,0.103979036,0.0069989217,17.599228,66.65014,69.795616,12.665137,22.951445,49.142094,0.12862615,0.17052479,0.045160245,0.49837765,0.2559343,34.68917,56.94642,2.1014326,5.772103,21.228395,0.11177955,1.0651691,2.0416737,0.23435104,0.5859958,0.0119402455,1.4195048,0.36781484,7.495846,0.021213582,53.223442,0.021011867,16.728323,20.975258,0.24994306,0.799047,26.577356,0.76881516,54.171947,151.59946,11.18749,1.613806,20.316368,5.4468646,0.043317333,0.4340361,30.236181
2026-05-01,49.599827,23.290531,3.1113813,109.968605,35.743244,71.156204,4.109172,0.15131047,0.43889388,0.26284844,0.009716198,61.913868,10.806054,10.571956,35.152245,6.4586678,0.035300884,101.27643,0.026444282,0.010756893,7.2720375,24.919956,0.09830075,0.59858316,0.28489208,27.32218,23.804457,66.06014,10.476205,28.608023,0.09792692,0.431489,26.054886,0.07138864,16.405125,16.42772,1.2122493,26.391552,25.670023,1.0790966,17.888168,0.71072257,0.04222869,7.0261636,0.14274937,0.010640342,19.147076,68.925354,68.68669,12.303294,22.063328,49.178596,0.17902896,0.24181049,0.061128415,0.6778255,0.3470851,35.197,57.332672,2.1318948,6.9301443,21.996851,0.14103933,1.0579576,2.0495582,0.31408912,0.81875914,0.0149912555,2.1341457,0.49315816,7.383914,0.02865004,56.160126,0.027084917,16.653131,21.469221,0.35380614,1.1274357,26.591099,1.0867677,53.893593,157.17049,11.08683,1.7916784,20.192394,5.9007535,0.057041068,0.6086842,30.24815
2026-06-01,49.570614,22.715443,3.1664805,119.31531,37.47194,76.22093,4.187538,0.19540727,0.55714554,0.32629743,0.014091487,65.41823,10.583145,11.179965,34.06799,6.490822,0.04466314,112.20186,0.03255307,0.013808276,7.4475837,25.903625,0.12225455,0.7695107,0.35660782,27.157116,23.06442,63.676582,12.92451,28.84996,0.1250638,0.56145126,25.39596,0.1001248,16.227625,16.127766,1.6602011,27.12737,26.02128,1.0772693,17.700495,0.9373969,0.0520468,6.8342032,0.18367228,0.014412952,20.834232,71.33245,67.669975,11.967955,21.20882,49.30838,0.23611622,0.31825304,0.077810675,0.87647694,0.45105973,35.749943,57.877403,2.1642573,8.255725,22.82611,0.16999945,1.0502973,2.0574985,0.39964658,1.0977952,0.018356597,3.0632544,0.6265124,7.270831,0.036903188,59.252277,0.033755857,16.606474,22.005787,0.46947998,1.5186633,26.635944,1.465977,53.639732,163.14561,11.001173,1.9787979,20.092863,6.372869,0.07126488,0.8033268,30.320255
2026-07-01,49.58327,22.153788,3.2275481,129.20828,39.24371,81.53092,4.2739573,0.23952945,0.6817514,0.39343143,0.019419793,68.99282,10.369863,11.851217,32.991436,6.527575,0.05485592,124.08718,0.038826145,0.017330978,7.6306777,26.890326,0.14735293,0.9430398,0.4341905,27.017706,22.340044,61.40631,15.709564,29.092209,0.14962044,0.70717746,24.745182,0.13017888,16.074612,15.846594,2.1846015,27.8671,26.438053,1.0775274,17.541796,1.188917,0.06269169,6.6453905,0.22703747,0.015038227,22.566887,73.79875,66.751656,11.648811,20.37102,49.500984,0.29912335,0.39636132,0.09416152,1.0836861,0.56473315,36.300095,58.51069,2.200768,9.671961,23.723919,0.19938,1.0436337,2.0679955,0.48952207,1.4255704,0.022432117,4.227935,0.7567585,7.1626015,0.04611252,62.346783,0.040965762,16.583555,22.538105,0.5950774,1.9796028,26.7011,1.9039762,53.48957,169.0759,10.91793,2.1707566,20.007467,6.8539557,0.08701076,1.0171008,30.43097
2026-08-01,49.60317,21.600328,3.2930636,139.56305,41.034477,86.992546,4.368511,0.28266707,0.81150424,0.4628314,0.0256371,72.57737,10.172823,12.594774,31.922155,6.569393,0.06558014,136.72668,0.04482595,0.02123935,7.8223677,27.846828,0.17344388,1.1152563,0.5168281,26.882542,21.629538,59.168873,18.799208,29.3157,0.17187728,0.86628973,24.112604,0.16103159,15.930664,15.593147,2.7836163,28.594894,26.919994,1.0808785,17.418499,1.4615668,0.074061394,6.448681,0.27213722,0.012452391,24.302156,76.27699,65.79555,11.319529,19.53455,49.729195,0.36681384,0.47630778,0.11027422,1.2946999,0.68616116,36.831882,59.16822,2.2421658,11.138096,24.681957,0.22877832,1.0394917,2.0830455,0.5816895,1.7995758,0.027256941,5.64708,0.88157237,7.069761,0.05617832,65.34839,0.048603125,16.574493,23.04988,0.72811514,2.5109217,26.756851,2.3981667,53.430756,174.82852,10.824971,2.365162,19.907156,7.336051,0.10411282,1.2485597,30.560314
2026-09-01,49.75587,21.052816,3.3674915,151.11389,43.043156,93.072174,4.4739866,0.3262988,0.94809914,0.53739965,0.032091115,76.5627,9.990099,13.4247,30.890696,6.6185126,0.07684327,150.89711,0.05096813,0.025606269,8.027709,28.857798,0.20055775,1.2840838,0.60612214,26.776058,20.94107,57.013744,22.307604,29.599773,0.18968563,1.045167,23.51347,0.19351342,15.802159,15.400665,3.4776719,29.368795,27.46016,1.0868229,17.306019,1.7656357,0.086045496,6.240466,0.32077342,0.008483976,26.172266,79.094864,64.86107,10.984282,18.70893,50.051975,0.44149613,0.5572781,0.12476699,1.5113789,0.8182462,37.46405,59.92992,2.287861,12.692348,25.741486,0.25909287,1.0387475,2.1007798,0.6797119,2.239673,0.032637455,7.4142866,0.99881774,6.989184,0.066911176,68.605545,0.056566752,16.596966,23.610844,0.87585676,3.1436641,26.851185,2.9690301,53.525414,181.24603,10.735034,2.5693443,19.813168,7.84572,0.12221344,1.5013497,30.740417
2026-10-01,49.921326,20.487055,3.443538,163.91515,45.18429,99.744064,4.571542,0.37442157,1.1050124,0.6196257,0.03913366,80.86536,9.808798,14.282133,29.898779,6.6600432,0.08835003,166.77634,0.058064025,0.030886915,8.203185,29.968395,0.22826943,1.4905912,0.70163935,26.638422,20.286327,54.96763,26.682247,29.910894,0.21368392,1.2471901,22.930012,0.22779842,15.674089,15.173846,4.3380995,30.181082,27.91601,1.0907043,17.159618,2.117248,0.09816805,6.050329,0.3735765,0.0076745367,28.26778,81.97017,64.021545,10.671949,17.914806,50.412243,0.522747,0.644891,0.1410459,1.7729982,0.9651343,38.115383,60.732586,2.3313384,14.608454,26.792582,0.29049578,1.0370842,2.1138434,0.7906433,2.7651296,0.037999533,9.794208,1.1457968,6.9048667,0.07895017,72.11092,0.06462896,16.624538,24.193544,1.0392267,3.913299,26.940166,3.679874,53.567543,188.3909,10.655762,2.798555,19.74628,8.4149885,0.14037822,1.7926228,30.928766
