Date,PT_Acceptance And Commitment Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Antidepressants_NoM,PT_Antipsychotic Medications_NoM,PT_Anxiolytic Medications_NoM,PT_Art Therapy_NoM,PT_Augmentative Communication Devices_NoM,PT_Behavioral Activation Therapy_NoM,PT_Biofeedback Devices_NoM,PT_Blockchain For Data Protection_NoM,PT_Brain Computer Interface_NoM,PT_Cbt For Insomnia_NoM,PT_Chronotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Clozapine Protocol_NoM,PT_Cognitive Assistive Technologies_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Cognitive Enhancement Programs_NoM,PT_Cultural Psychiatry Interventions_NoM,PT_Deep Brain Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Dietary Interventions And Supplements_NoM,PT_Digital Health Tools_NoM,PT_Digital Imaging Technologies For Brain Scanning_NoM,PT_Digital Phenotyping_NoM,PT_Digital Therapeutics_NoM,PT_Electroconvulsive Therapy_NoM,PT_Electroencephalography_NoM,PT_Emdr Therapy_NoM,PT_Emotion Regulation Training_NoM,PT_Expressive Writing And Journaling_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Ketamine Therapy_NoM,PT_Light Therapy_NoM,PT_Lithium Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Meditation And Relaxation Techniques_NoM,PT_Memory Retrieval Techniques_NoM,PT_Mentalization Based Treatment_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,PT_Metaverse_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Motivational Interviewing_NoM,PT_Music Therapy_NoM,PT_Naltrexone_NoM,PT_Narrative Exposure Therapy_NoM,PT_Neurobiological Assessments For Mental Disorders_NoM,PT_Neurocognitive Training_NoM,PT_Neurofeedback Systems_NoM,PT_Neuromodulation Techniques_NoM,PT_Neuroplasticity Techniques_NoM,PT_Neuroprotective Agents_NoM,PT_Occupational Therapy_NoM,PT_Oxytocin Therapy_NoM,PT_Personalized Medicine_NoM,PT_Pharmacogenomic Testing_NoM,PT_Privacy Preserving Ai In Digital Mental Health_NoM,PT_Prolonged Exposure Therapy_NoM,PT_Psilocybin Assisted Therapy_NoM,PT_Psychoeducation Programs_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,PT_Reality Testing Techniques_NoM,PT_Regenerative Medicine Approaches_NoM,PT_Resting State Fmri_NoM,PT_Schema Therapy_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,PT_Smart Wearable Mental Health Trackers_NoM,PT_Social Skills Training_NoM,PT_Speech Language Therapy_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Trauma Focused Cbt_NoM,PT_Vagus Nerve Stimulation_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Voxel Based Lesion Symptom Mapping_NoM,PT_Chronic Traumatic Encephalopathy_NoM
2026-01-01,67.62695,42.92772,20.641552,104.233345,48.220654,74.42703,21.592913,17.587812,17.653282,17.622183,17.55919,69.27075,29.328934,27.036251,58.86817,24.037853,17.566378,93.92296,17.56722,17.565134,24.542967,40.536842,17.576302,17.765717,17.628975,45.689774,45.059822,98.55527,22.794197,45.738876,17.609533,17.631094,47.637608,17.554043,35.536522,34.982307,17.77282,42.30606,42.670868,18.694128,36.737522,17.713066,17.572714,25.792141,17.594414,17.646988,32.613472,80.14131,91.03613,31.756382,44.10585,68.76474,17.573238,17.5881,17.58177,17.750633,17.626108,51.119583,75.5934,19.563515,21.574263,36.931156,17.603086,18.64807,19.58513,17.653496,17.679575,17.561642,17.883532,17.722042,25.241413,17.567638,65.0038,17.56571,35.06308,37.688232,17.587648,17.74735,44.418686,17.749393,72.877945,157.46507,29.431389,18.817715,38.500824,22.213774,17.583855,17.665707,48.02124
2026-02-01,69.07751,42.69346,20.683666,115.76293,51.23759,81.96939,21.616879,17.617817,17.764362,17.69062,17.56219,74.16272,29.180809,27.342342,57.25807,24.031286,17.57823,102.92921,17.571991,17.567091,24.592442,41.449947,17.610899,17.877226,17.710007,46.01098,44.175827,94.547745,24.14151,46.563858,17.618732,17.739641,46.93657,17.579725,35.16575,34.953224,17.998114,43.357773,43.281136,18.6814,36.628677,17.848976,17.583643,25.437128,17.631567,17.594543,33.878593,83.98578,90.73254,31.181568,42.627068,68.857124,17.629879,17.651083,17.595123,17.908175,17.705866,52.258392,77.270966,19.620886,22.364532,38.07788,17.6388,18.648945,19.606506,17.72447,17.882381,17.568508,18.266567,17.822529,25.298084,17.573788,69.18623,17.574406,34.97491,38.475613,17.68148,17.976934,44.630417,17.984222,73.74353,166.82982,29.262543,19.016266,38.342354,22.700775,17.595354,17.792473,48.323082
2026-03-01,69.50027,42.300148,20.717175,122.82407,52.770214,86.075806,21.657246,17.642231,17.83818,17.734177,17.565739,77.01734,29.0276,27.687107,56.228653,24.049744,17.585087,109.7973,17.575132,17.56837,24.654327,42.17779,17.629206,17.969397,17.757214,46.004906,43.478985,92.33601,25.260948,46.918793,17.632278,17.81827,46.317677,17.59676,35.01727,34.80002,18.190804,44.027752,43.615067,18.678251,36.50071,17.961979,17.590258,25.243399,17.657248,17.581116,34.89235,86.11373,90.10106,30.868093,41.785316,69.09383,17.668972,17.694633,17.605673,18.021824,17.766716,52.72239,78.06918,19.649597,23.011225,38.76136,17.659653,18.64571,19.617744,17.778496,18.032837,17.571833,18.601358,17.902575,25.255741,17.57973,71.5486,17.578827,35.00448,38.898468,17.748201,18.159742,44.704117,18.172705,73.93681,171.65164,29.185585,19.136251,38.32521,23.032923,17.603045,17.89247,48.452713
2026-04-01,69.73875,41.783585,20.767637,131.73663,54.51057,90.99051,21.729996,17.676004,17.936071,17.786934,17.571604,80.50255,28.835688,28.201885,55.215996,24.068987,17.593594,119.11665,17.580372,17.570866,24.775267,43.12422,17.65125,18.107334,17.815863,45.901066,42.733566,89.84107,26.982058,47.25387,17.65539,17.915945,45.616436,17.62046,34.83853,34.570457,18.470377,44.764004,43.951225,18.678192,36.314087,18.117867,17.59908,25.042206,17.691753,17.583508,36.304836,88.464386,89.17757,30.544277,40.923172,69.44929,17.716913,17.755062,17.621954,18.180548,17.845232,53.199753,78.78793,19.679403,23.984234,39.506958,17.685614,18.640167,19.626364,17.851114,18.228409,17.57599,19.113995,18.018705,25.177713,17.588469,74.36061,17.584393,35.044796,39.402344,17.834743,18.409698,44.687874,18.433739,73.90757,177.15681,29.098349,19.28935,38.27909,23.474146,17.615053,18.03038,48.533897
2026-05-01,70.040855,41.190697,20.837898,143.44798,56.696518,97.36562,21.836834,17.72079,18.06289,17.852919,17.578981,85.04242,28.606686,28.871658,54.179302,24.101782,17.604195,131.96376,17.58788,17.575077,24.969019,44.378723,17.678028,18.298458,17.889996,45.815132,41.963074,87.24127,29.584274,47.681168,17.686052,18.041355,44.853714,17.652353,34.66616,34.290894,18.873352,45.677357,44.38092,18.678972,36.09041,18.331928,17.610489,24.83882,17.737091,17.598024,38.227966,91.436676,88.31618,30.241074,40.05011,70.06712,17.777597,17.834566,17.642504,18.396988,17.947454,53.83627,79.69302,19.715021,25.404202,40.437332,17.717682,18.632,19.634727,17.945805,18.49511,17.581198,19.91478,18.176064,25.059433,17.599304,78.034515,17.59136,35.13263,40.08645,17.949787,18.75966,44.712616,18.799013,73.87459,184.43085,29.026615,19.487427,38.281036,24.04761,17.630901,18.214748,48.694775
2026-06-01,70.40869,40.609085,20.918589,156.08116,58.982254,104.13856,21.958347,17.769043,18.200687,17.922798,17.586847,89.91621,28.393143,29.607754,53.21955,24.146276,17.61597,146.58304,17.595934,17.580019,25.201628,45.746216,17.705898,18.509342,17.970491,45.773872,41.26059,84.84067,32.776478,48.131805,17.71792,18.185015,44.16117,17.686405,34.54765,34.00301,19.362942,46.69777,44.874065,18.681297,35.904274,18.578821,17.622936,24.653576,17.785955,17.61281,40.342728,94.557,87.57608,29.962358,39.220978,70.83039,17.846447,17.920963,17.663767,18.638823,18.06492,54.558174,80.81128,19.754679,27.06147,41.47919,17.74957,18.62367,19.644207,18.047588,18.81632,17.586922,20.977112,18.34573,24.943092,17.610987,81.91471,17.59893,35.261696,40.82888,18.079296,19.179922,44.798283,19.238392,73.86525,192.29218,28.974884,19.697546,38.330353,24.647573,17.647902,18.421383,48.949005
2026-07-01,70.834206,40.06055,21.006779,169.50192,61.34025,111.237274,22.089085,17.817513,18.3464,17.996836,17.595657,94.889114,28.191944,30.422453,52.252113,24.196463,17.628761,162.77713,17.60426,17.585863,25.454603,47.12609,17.73475,18.727592,18.058428,45.76581,40.59247,82.61444,36.49843,48.569542,17.746977,18.347237,43.48256,17.721962,34.455593,33.735336,19.943674,47.747383,45.444534,18.68683,35.75788,18.855934,17.63647,24.474834,17.838497,17.61916,42.53924,97.80943,86.95473,29.69685,38.415764,71.64966,17.922663,18.009882,17.684889,18.894562,18.194536,55.297447,82.08018,19.8002,28.865547,42.629894,17.782312,18.616833,19.657612,18.1559,19.195835,17.593552,22.331646,18.51461,24.83445,17.623693,85.8113,17.607063,35.41253,41.566093,18.221584,19.680056,44.931,19.751938,73.95446,200.21962,28.92546,19.916136,38.40191,25.26556,17.6668,18.649872,49.251568
2026-08-01,71.280045,39.540054,21.100723,183.60173,63.72996,118.49594,22.228828,17.86502,18.498528,18.073341,17.605442,99.873726,28.009499,31.322523,51.284904,24.252226,17.642153,180.23045,17.612314,17.592476,25.726292,48.467415,17.76426,18.948013,18.153036,45.769867,39.948574,80.482574,40.71719,48.984566,17.773256,18.525997,42.832157,17.758566,34.37451,33.498253,20.615475,48.801277,46.088528,18.696405,35.656578,19.159233,17.650898,24.291615,17.893877,17.61552,44.766804,101.14434,86.32052,29.419313,37.614845,72.48895,18.004765,18.101204,17.705948,19.15806,18.333641,56.032707,83.45288,19.852024,30.768213,43.872658,17.815231,18.613075,19.677294,18.268332,19.630882,17.601093,24.005812,18.678879,24.74478,17.63737,89.60163,17.615639,35.575607,42.2779,18.373474,20.261103,45.08066,20.33916,74.13823,208.0502,28.868202,20.139456,38.456062,25.893486,17.687368,18.898695,49.5715
2026-09-01,71.88961,39.031467,21.207191,199.27315,66.4408,126.71629,22.384495,17.913246,18.659916,18.155762,17.615593,105.39929,27.841667,32.330864,50.360962,24.316166,17.656164,200.21811,17.620518,17.599955,26.018894,49.89936,17.794744,19.169445,18.256556,45.82602,39.322025,78.49297,45.60374,49.479294,17.79473,18.72844,42.233673,17.797104,34.33105,33.330166,21.407188,49.922142,46.81232,18.709032,35.57158,19.500992,17.666021,24.1011,17.95392,17.605478,47.176437,105.0008,85.76756,29.139912,36.822678,73.48027,18.095148,18.194723,17.725521,19.43101,18.486202,56.89589,84.98456,19.909817,32.832054,45.263817,17.849522,18.613136,19.700771,18.38967,20.146017,17.609407,26.124722,18.836985,24.669737,17.651932,93.740295,17.624624,35.788506,43.057014,18.54387,20.958307,45.29303,21.026785,74.50355,216.80081,28.820545,20.376892,38.51165,26.56478,17.709278,19.172709,49.961876
2026-10-01,72.49764,38.504158,21.315905,216.6645,69.33952,135.8284,22.531052,17.966368,18.845573,18.246964,17.626411,111.40091,27.67321,33.386093,49.463745,24.373568,17.670563,222.8421,17.629644,17.608349,26.284885,51.452522,17.82593,19.44056,18.36846,45.846672,38.71626,76.61772,51.77789,49.997948,17.822853,18.959536,41.65349,17.837667,34.285164,33.127457,22.398045,51.10424,47.454937,18.719713,35.447777,19.901148,17.681326,23.926903,18.01968,17.60431,49.888958,108.95534,85.31482,28.88178,36.060097,74.53022,18.193798,18.296654,17.747095,19.760616,18.65689,57.77429,86.573814,19.965797,35.391453,46.6724,17.88508,18.61234,19.720007,18.5274,20.766516,17.617884,29.01722,19.031673,24.590574,17.668074,98.188934,17.633781,36.008133,43.86332,18.733639,21.811697,45.51477,21.890783,74.810074,226.6383,28.782663,20.643898,38.58801,27.313923,17.731594,19.49031,50.355206
