Date,Entity,Display_Name,Entity_Type,Channel,Forecast_Scaled,Forecast_Raw
2026-01-01,RMD_Anorexia Nervosa,Anorexia Nervosa,RMD,TDB,1.9543659687042236,417.6746520996094
2026-01-01,RMD_Antisocial Personality Disorder,Antisocial Personality Disorder,RMD,TDB,1.2368413209915161,49.415061950683594
2026-01-01,RMD_Autosarcophagy,Autosarcophagy,RMD,TDB,0.63205885887146,0.8814802765846252
2026-01-01,RMD_Avoidant Personality Disorder,Avoidant Personality Disorder,RMD,TDB,1.6243007183074951,18.425077438354492
2026-01-01,RMD_Boanthropy,Boanthropy,RMD,TDB,0.8529189825057983,2.5348167419433594
2026-01-01,RMD_Body Integrity Dysphoria,Body Integrity Dysphoria,RMD,TDB,1.7533546686172485,34.862205505371094
2026-01-01,RMD_Brief Psychotic Disorder,Brief Psychotic Disorder,RMD,TDB,1.1937799453735352,2.412355899810791
2026-01-01,RMD_Capgras Syndrome,Capgras Syndrome,RMD,TDB,1.5959863662719727,25.65923500061035
2026-01-01,RMD_Childhood Disintegrative Disorder,Childhood Disintegrative Disorder,RMD,TDB,1.7207587957382202,34.86585998535156
2026-01-01,RMD_Chronic Traumatic Encephalopathy,Chronic Traumatic Encephalopathy,RMD,TDB,2.1093671321868896,503.892578125
2026-01-01,RMD_Circadian Rhythm Sleep Wake Disorder,Circadian Rhythm Sleep Wake Disorder,RMD,TDB,1.2282862663269043,2.760556936264038
2026-01-01,RMD_Cotard Syndrome,Cotard Syndrome,RMD,TDB,1.5581079721450806,5.485296726226807
2026-01-01,RMD_Cyclothymic Disorder,Cyclothymic Disorder,RMD,TDB,2.0297281742095947,273.77313232421875
2026-01-01,RMD_Delusional Disorder,Delusional Disorder,RMD,TDB,0.5048270225524902,1.450110912322998
2026-01-01,RMD_Diogenes Syndrome,Diogenes Syndrome,RMD,TDB,1.7386040687561035,4.751772880554199
2026-01-01,RMD_Disinhibited Social Engagement Disorder,Disinhibited Social Engagement Disorder,RMD,TDB,1.116902232170105,4.90942907333374
2026-01-01,RMD_Dissociative Amnesia,Dissociative Amnesia,RMD,TDB,1.6232690811157227,6.198713779449463
2026-01-01,RMD_Dissociative Fugue,Dissociative Fugue,RMD,TDB,1.98968505859375,45.68120193481445
2026-01-01,RMD_Ekbom Syndrome,Ekbom Syndrome,RMD,TDB,1.545977234840393,50.737518310546875
2026-01-01,RMD_Erotomania,Erotomania,RMD,TDB,2.0120017528533936,95.98143768310547
2026-01-01,RMD_Factitious Disorder,Factitious Disorder,RMD,TDB,2.1311490535736084,320.997802734375
2026-01-01,RMD_Fregoli Delusion,Fregoli Delusion,RMD,TDB,0.9565712213516235,1.6027568578720093
2026-01-01,RMD_Ganser Syndrome,Ganser Syndrome,RMD,TDB,2.383486270904541,14.892240524291992
2026-01-01,RMD_Hallucinogen Persisting Perception Disorder,Hallucinogen Persisting Perception Disorder,RMD,TDB,2.1358230113983154,179.24522399902344
2026-01-01,RMD_Histrionic Personality Disorder,Histrionic Personality Disorder,RMD,TDB,1.3301477432250977,18.451828002929688
2026-01-01,RMD_Hypergraphia,Hypergraphia,RMD,TDB,1.0855817794799805,5.503940105438232
2026-01-01,RMD_Hyperthymesia,Hyperthymesia,RMD,TDB,2.021104097366333,87.30243682861328
2026-01-01,RMD_Impulse Control Disorders,Impulse Control Disorders,RMD,TDB,1.3466720581054688,71.32421112060547
2026-01-01,RMD_Intermetamorphosis Syndrome,Intermetamorphosis Syndrome,RMD,TDB,-0.005913320928812027,0.0
2026-01-01,RMD_Kleine Levin Syndrome,Kleine Levin Syndrome,RMD,TDB,1.4237618446350098,17.27906608581543
2026-01-01,RMD_Kleptomania,Kleptomania,RMD,TDB,2.3565008640289307,41.50545120239258
2026-01-01,RMD_Koro,Koro,RMD,TDB,1.0401607751846313,3.3498404026031494
2026-01-01,RMD_Landau Kleffner Syndrome,Landau Kleffner Syndrome,RMD,TDB,1.6981637477874756,11.217491149902344
2026-01-01,RMD_Narcissistic Personality Disorder,Narcissistic Personality Disorder,RMD,TDB,2.0658435821533203,420.9577331542969
2026-01-01,RMD_Olfactory Reference Syndrome,Olfactory Reference Syndrome,RMD,TDB,1.5907880067825317,96.29209899902344
