Solution,2026,2027,2028
Personalized Medicine,-45.813996632893875,-46.07883707682292,-50.70149993896486
Mood Stabilizers,-21.050691604614258,-20.154230753580734,-5.094815572102874
Antipsychotic Medications,31.011207580566406,32.48474820454915,34.21455637613931
Cognitive Behavioral Therapy,40.04411061604817,39.419969876607254,38.1858476003011
Selective Serotonin Reuptake Inhibitors,60.236898422241204,57.32985464731852,44.143765131632485
Mindfulness-Based Stress Reduction,63.951047261555985,62.2303196589152,63.60233465830485
Brain-Computer Interface,75.75932931900024,75.1292339960734,77.64590072631836
Eye Movement Desensitization And Reprocessing,93.27043120066324,93.66798003514607,94.42115958531697
Voxel-based Lesion-Symptom Mapping,101.8788116077582,101.71025660137335,103.04017947614193
Brain Stimulation Technologies,102.2451014071703,102.09733572105566,103.41790757328272
Dietary Interventions & Supplements,102.37967044860125,102.24446173260608,103.57856375972429
Social Skills Training,102.49289593473077,102.3419423562785,103.67650316903988
