Solution,2026,2027,2028
Metaverse,-102.38352902730307,-100.81694602966309,-78.90610074996948
Mood Stabilizers,-88.66596476236978,-87.70731862386069,-73.88059441248576
Transcranial Magnetic Stimulation,-56.789551417032875,-58.7389144897461,-63.3841986656189
Antipsychotic Medications,-36.604065577189125,-35.0683396657308,-34.571222464243576
Benzodiazepines,-31.132743517557778,-28.084903717041016,-29.112922509511307
Cognitive Behavioral Therapy,-27.57116254170736,-28.13311799367269,-30.599931240081787
Traditional & Alternative Medicine Approaches,-13.249424457550049,-5.7707200050354,-7.646742820739746
Brain-Computer Interface,8.144056161244709,7.5761461257934535,8.860121885935467
Exposure Therapy,18.59314759572347,20.501086632410683,20.008613348007202
Brain Stimulation Technologies,34.62982824941476,34.54424785077572,34.63212873289982
Social Skills Training,34.87762277697523,34.78885448599855,34.890724328656994
