Solution,2026,2027,2028
Metaverse,-114.54586060841878,-112.9277935028076,-91.25523900985718
Mood Stabilizers,-100.8282963434855,-99.8181660970052,-86.22973267237346
Antipsychotic Medications,-48.76639715830484,-47.17918713887532,-46.92036072413127
Benzodiazepines,-43.29507509867349,-40.19575119018555,-41.462060769399
Digital Health Tools,-29.953237056732174,-21.568997542063396,-23.624928315480552
Behavioral Activation Therapy,-27.936911900838215,-23.953866640726726,-18.7875657081604
Traditional & Alternative Medicine Approaches,-25.411756038665768,-17.881567478179928,-19.99588108062744
Resting-state Functional Magnetic Resonance Imaging,-4.2583417892456055,-6.991819381713867,-6.651081879933674
Brain-Computer Interface,-4.01827541987101,-4.534701347351074,-3.4890163739522286
Cognitive Technologies,-1.2775208155314104,1.157426993052166,-1.998510678609211
Animal-Assisted Interventions,3.4555605252583845,4.356782118479412,5.372764348983765
Creative Arts Therapies,5.248149871826172,5.574876228968304,6.15828235944112
Exposure Therapy,6.43081601460775,8.390239159266155,7.659475088119507
Neuromodulation Techniques,12.714487950007122,12.716033776601156,13.16884215672811
Genetic Testing,13.406399806340536,13.395673910776775,13.373738845189413
Stem Cell Therapy For Neurological Disorders,16.06015145778656,16.372868180274963,16.194400548934937
Privacy-Preserving AI in Digital Mental Health,16.606887420018516,16.02138157685598,16.84128177165985
Psychoeducation Programs,20.602397610743843,20.459890226523083,20.46596771478653
Neurofeedback Systems,22.333140095074974,22.322220544020336,22.21342392762502
Digital Imaging Technologies For Brain Scanning,22.385288593669735,22.36582132180532,22.25729471941789
Social Skills Training,22.715291195859514,22.67800701285402,22.541586068769295
