Solution,2026,2027,2028
Antidepressants,-45.54830423990886,-41.69231859842937,-38.49948565165202
Benzodiazepines,20.600775718688965,21.380295435587563,25.508188565572112
Digital Health Tools,33.94261376063029,40.00704908370971,43.34532101949056
Traditional & Alternative Medicine Approaches,38.484094778696694,43.69447914759318,46.97436825434367
Mindfulness-Based Stress Reduction,48.069293340047196,44.14243094126383,49.43766689300538
Resting-state Functional Magnetic Resonance Imaging,59.63750902811685,54.584227244059235,60.319167455037444
Cognitive Technologies,62.618330001831055,62.73347361882527,64.97173865636191
Animal-Assisted Interventions,67.35141134262085,65.93282874425252,72.34301368395488
Creative Arts Therapies,69.14400068918863,67.15092285474141,73.12853169441223
Exposure Therapy,70.32666683197021,69.96628578503926,74.62972442309062
Neuromodulation Techniques,76.61033876736958,74.29208040237427,80.13909149169922
Genetic Testing,77.302250623703,74.97172053654988,80.34398818016052
Eye Movement Desensitization And Reprocessing,77.38867727915445,75.5800913174947,80.2564918200175
Virtual Reality Exposure Therapy,78.39880410830179,76.35783902804056,81.36091876029968
Trauma-Focused CBT,79.1416124900182,77.34033068021138,82.52136361598969
Privacy-Preserving AI in Digital Mental Health,80.50273823738098,77.59742820262909,83.81153110663097
Psychophysiological Metrics For Treatment Response,80.81990913550058,78.87588036060333,84.08492517471313
Psychoeducation Programs,84.49824842810631,82.03593685229619,87.43621704975764
Expressive Writing & Journaling,84.6683784921964,82.38580456376076,87.69831749796867
Biofeedback Devices,85.61862911780675,83.31609121958414,88.57994246482849
Neurofeedback Systems,86.22899091243744,83.89826716979344,89.18367326259613
Brain Stimulation Technologies,86.3633474856615,84.00944700340429,89.25323980798325
Dietary Interventions & Supplements,86.49791652709246,84.15657301495472,89.41389599442482
