Node_Index,Node,Role,RMD,PT
0,Jan-04,Jan-04,0,0
1,Feb-04,Feb-04,2,0
2,Mar-04,Mar-04,4,0
3,Apr-04,Apr-04,0,0
4,May-04,May-04,2,0
5,Jun-04,Jun-04,0,1
6,Jul-04,Jul-04,1,0
7,Aug-04,Aug-04,4,0
8,Sep-04,Sep-04,2,0
9,Oct-04,Oct-04,0,0
10,Nov-04,Nov-04,1,1
11,Dec-04,Dec-04,6,0
12,Jan-05,Jan-05,4,0
13,Feb-05,Feb-05,1,0
14,Mar-05,Mar-05,9,0
15,Apr-05,Apr-05,1,0
16,May-05,May-05,2,0
17,Jun-05,Jun-05,0,0
18,Jul-05,Jul-05,0,0
19,Aug-05,Aug-05,5,0
20,Sep-05,Sep-05,0,0
21,Oct-05,Oct-05,1,0
22,Nov-05,Nov-05,4,0
23,Dec-05,Dec-05,7,0
24,Jan-06,Jan-06,2,0
25,Feb-06,Feb-06,4,0
26,Mar-06,Mar-06,0,0
27,Apr-06,Apr-06,2,0
28,May-06,May-06,2,0
29,Jun-06,Jun-06,2,3
30,Jul-06,Jul-06,4,0
31,Aug-06,Aug-06,2,3
32,Sep-06,Sep-06,0,0
33,Oct-06,Oct-06,4,0
34,Nov-06,Nov-06,2,1
35,Dec-06,Dec-06,24,4
36,Jan-07,Jan-07,2,0
37,Feb-07,Feb-07,2,0
38,Mar-07,Mar-07,0,0
39,Apr-07,Apr-07,2,0
40,May-07,May-07,1,0
41,Jun-07,Jun-07,0,0
42,Jul-07,Jul-07,0,8
43,Aug-07,Aug-07,2,0
44,Sep-07,Sep-07,0,0
45,Oct-07,Oct-07,0,0
46,Nov-07,Nov-07,9,0
47,Dec-07,Dec-07,38,4
48,Jan-08,Jan-08,2,0
49,Feb-08,Feb-08,0,0
50,Mar-08,Mar-08,2,6
51,Apr-08,Apr-08,6,0
52,May-08,May-08,4,6
53,Jun-08,Jun-08,0,0
54,Jul-08,Jul-08,0,2
55,Aug-08,Aug-08,2,0
56,Sep-08,Sep-08,0,0
57,Oct-08,Oct-08,0,0
58,Nov-08,Nov-08,4,0
59,Dec-08,Dec-08,37,0
60,Jan-09,Jan-09,6,0
61,Feb-09,Feb-09,0,0
62,Mar-09,Mar-09,0,2
63,Apr-09,Apr-09,21,0
64,May-09,May-09,1,0
65,Jun-09,Jun-09,0,5
66,Jul-09,Jul-09,1,0
67,Aug-09,Aug-09,0,0
68,Sep-09,Sep-09,1,0
69,Oct-09,Oct-09,8,3
70,Nov-09,Nov-09,1,1
71,Dec-09,Dec-09,3,0
72,Jan-10,Jan-10,9,2
73,Feb-10,Feb-10,10,0
74,Mar-10,Mar-10,6,1
75,Apr-10,Apr-10,9,0
76,May-10,May-10,0,1
77,Jun-10,Jun-10,1,0
78,Jul-10,Jul-10,3,0
79,Aug-10,Aug-10,11,0
80,Sep-10,Sep-10,4,0
81,Oct-10,Oct-10,1,0
82,Nov-10,Nov-10,3,1
83,Dec-10,Dec-10,18,0
84,Jan-11,Jan-11,9,0
85,Feb-11,Feb-11,0,1
86,Mar-11,Mar-11,14,1
87,Apr-11,Apr-11,1,0
88,May-11,May-11,1,0
89,Jun-11,Jun-11,1,0
90,Jul-11,Jul-11,7,8
91,Aug-11,Aug-11,3,0
92,Sep-11,Sep-11,0,1
93,Oct-11,Oct-11,16,0
94,Nov-11,Nov-11,1,1
95,Dec-11,Dec-11,20,2
96,Jan-12,Jan-12,3,0
97,Feb-12,Feb-12,6,2
98,Mar-12,Mar-12,2,1
99,Apr-12,Apr-12,9,0
100,May-12,May-12,7,2
101,Jun-12,Jun-12,0,0
102,Jul-12,Jul-12,15,0
103,Aug-12,Aug-12,5,1
104,Sep-12,Sep-12,2,0
105,Oct-12,Oct-12,3,0
106,Nov-12,Nov-12,1,0
107,Dec-12,Dec-12,63,0
108,Jan-13,Jan-13,7,0
109,Feb-13,Feb-13,0,2
110,Mar-13,Mar-13,6,0
111,Apr-13,Apr-13,6,0
112,May-13,May-13,3,1
113,Jun-13,Jun-13,1,0
114,Jul-13,Jul-13,6,1
115,Aug-13,Aug-13,5,0
116,Sep-13,Sep-13,9,2
117,Oct-13,Oct-13,6,0
118,Nov-13,Nov-13,10,0
119,Dec-13,Dec-13,40,0
120,Jan-14,Jan-14,3,0
121,Feb-14,Feb-14,2,5
122,Mar-14,Mar-14,2,5
123,Apr-14,Apr-14,1,0
124,May-14,May-14,23,2
125,Jun-14,Jun-14,3,0
126,Jul-14,Jul-14,0,0
127,Aug-14,Aug-14,5,11
128,Sep-14,Sep-14,10,0
129,Oct-14,Oct-14,4,15
130,Nov-14,Nov-14,3,1
131,Dec-14,Dec-14,30,0
132,Jan-15,Jan-15,4,1
133,Feb-15,Feb-15,4,0
134,Mar-15,Mar-15,1,6
135,Apr-15,Apr-15,11,0
136,May-15,May-15,2,0
