Date,Period,Entity,Display_Name,Entity_Type,Trend_For_Plot
2004-01-01,Historical,RMD_Anorexia Nervosa,Anorexia Nervosa,RMD,0.15755967283420946
2004-01-01,Historical,RMD_Antisocial Personality Disorder,Antisocial Personality Disorder,RMD,0.500458670256682
2004-01-01,Historical,RMD_Autosarcophagy,Autosarcophagy,RMD,0.0
2004-01-01,Historical,RMD_Avoidant Personality Disorder,Avoidant Personality Disorder,RMD,0.0
2004-01-01,Historical,RMD_Boanthropy,Boanthropy,RMD,0.0
2004-01-01,Historical,RMD_Body Integrity Dysphoria,Body Integrity Dysphoria,RMD,0.28150257875402335
2004-01-01,Historical,RMD_Brief Psychotic Disorder,Brief Psychotic Disorder,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Capgras Syndrome,Capgras Syndrome,RMD,0.18761981632772734
2004-01-01,Historical,RMD_Childhood Disintegrative Disorder,Childhood Disintegrative Disorder,RMD,0.06617679091307431
2004-01-01,Historical,RMD_Chronic Traumatic Encephalopathy,Chronic Traumatic Encephalopathy,RMD,0.2872873951383327
2004-01-01,Historical,RMD_Circadian Rhythm Sleep Wake Disorder,Circadian Rhythm Sleep Wake Disorder,RMD,0.2150929657978073
2004-01-01,Historical,RMD_Cotard Syndrome,Cotard Syndrome,RMD,0.0
2004-01-01,Historical,RMD_Cyclothymic Disorder,Cyclothymic Disorder,RMD,0.21324698815632046
2004-01-01,Historical,RMD_Delusional Disorder,Delusional Disorder,RMD,0.31820296538709325
2004-01-01,Historical,RMD_Diogenes Syndrome,Diogenes Syndrome,RMD,0.0
2004-01-01,Historical,RMD_Disinhibited Social Engagement Disorder,Disinhibited Social Engagement Disorder,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Dissociative Amnesia,Dissociative Amnesia,RMD,0.0
2004-01-01,Historical,RMD_Dissociative Fugue,Dissociative Fugue,RMD,0.18877842166943154
2004-01-01,Historical,RMD_Ekbom Syndrome,Ekbom Syndrome,RMD,0.2960830660064959
2004-01-01,Historical,RMD_Erotomania,Erotomania,RMD,0.0
2004-01-01,Historical,RMD_Factitious Disorder,Factitious Disorder,RMD,0.14489028197537474
2004-01-01,Historical,RMD_Fregoli Delusion,Fregoli Delusion,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Ganser Syndrome,Ganser Syndrome,RMD,0.0
2004-01-01,Historical,RMD_Hallucinogen Persisting Perception Disorder,Hallucinogen Persisting Perception Disorder,RMD,0.0
2004-01-01,Historical,RMD_Histrionic Personality Disorder,Histrionic Personality Disorder,RMD,0.06769041858725604
2004-01-01,Historical,RMD_Hypergraphia,Hypergraphia,RMD,0.2300687158633514
2004-01-01,Historical,RMD_Hyperthymesia,Hyperthymesia,RMD,0.0
2004-01-01,Historical,RMD_Impulse Control Disorders,Impulse Control Disorders,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Intermetamorphosis Syndrome,Intermetamorphosis Syndrome,RMD,0.0
2004-01-01,Historical,RMD_Kleine Levin Syndrome,Kleine Levin Syndrome,RMD,0.5105902499016938
2004-01-01,Historical,RMD_Kleptomania,Kleptomania,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Koro,Koro,RMD,0.0
2004-01-01,Historical,RMD_Landau Kleffner Syndrome,Landau Kleffner Syndrome,RMD,0.21182135933055668
2004-01-01,Historical,RMD_Narcissistic Personality Disorder,Narcissistic Personality Disorder,RMD,0.3091005053682067
2004-01-01,Historical,RMD_Olfactory Reference Syndrome,Olfactory Reference Syndrome,RMD,0.15753173794797606
2004-01-01,Historical,RMD_Othello Syndrome,Othello Syndrome,RMD,0.03151235200742229
2004-01-01,Historical,RMD_Palilalia,Palilalia,RMD,0.0
2004-01-01,Historical,RMD_Postpartum Psychosis,Postpartum Psychosis,RMD,0.0
2004-01-01,Historical,RMD_Pyromania,Pyromania,RMD,0.0
2004-01-01,Historical,RMD_Reactive Attachment Disorder,Reactive Attachment Disorder,RMD,0.1310254283434953
2004-01-01,Historical,RMD_Reduplicative Paramnesia,Reduplicative Paramnesia,RMD,0.0
2004-01-01,Historical,RMD_Rumination Disorder,Rumination Disorder,RMD,0.42803387702429996
2004-01-01,Historical,RMD_Savant Syndrome,Savant Syndrome,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Schizoaffective Disorder,Schizoaffective Disorder,RMD,0.36592105316262086
2004-01-01,Historical,RMD_Schizotypal Personality Disorder,Schizotypal Personality Disorder,RMD,0.3319189945276903
2004-01-01,Historical,RMD_Selective Mutism,Selective Mutism,RMD,0.03450756483445731
2004-01-01,Historical,RMD_Stendhal Syndrome,Stendhal Syndrome,RMD,0.0
2004-01-01,Historical,RMD_Wendigo Psychosis,Wendigo Psychosis,RMD,0.0
2004-01-01,Historical,PT_Acceptance And Commitment Therapy,Acceptance And Commitment Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Animal Assisted Therapy,Animal Assisted Therapy,PT,0.31674061761738526
2004-01-01,Historical,PT_Anticonvulsant Therapy,Anticonvulsant Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Antidepressants,Antidepressants,PT,0.30788935395154793
2004-01-01,Historical,PT_Antipsychotic Medications,Antipsychotic Medications,PT,0.0
2004-01-01,Historical,PT_Anxiolytic Medications,Anxiolytic Medications,PT,0.2985022825492665
2004-01-01,Historical,PT_Art Therapy,Art Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Augmentative Communication Devices,Augmentative Communication Devices,PT,0.3319189945276903
2004-01-01,Historical,PT_Behavioral Activation Therapy,Behavioral Activation Therapy,PT,0.0
2004-01-01,Historical,PT_Biofeedback Devices,Biofeedback Devices,PT,0.21077556186512927
2004-01-01,Historical,PT_Blockchain For Data Protection,Blockchain For Data Protection,PT,0.0
2004-01-01,Historical,PT_Brain Computer Interface,Brain Computer Interface,PT,0.16317216143768593
2004-01-01,Historical,PT_Cbt For Insomnia,Cbt For Insomnia,PT,0.0
2004-01-01,Historical,PT_Chronotherapy,Chronotherapy,PT,0.2942994472611902
2004-01-01,Historical,PT_Closed Loop Neurostimulation,Closed Loop Neurostimulation,PT,0.2267557412324223
2004-01-01,Historical,PT_Clozapine Protocol,Clozapine Protocol,PT,0.0
2004-01-01,Historical,PT_Cognitive Assistive Technologies,Cognitive Assistive Technologies,PT,0.0
2004-01-01,Historical,PT_Cognitive Behavioral Therapy,Cognitive Behavioral Therapy,PT,0.2214103255727898
2004-01-01,Historical,PT_Cognitive Enhancement Programs,Cognitive Enhancement Programs,PT,0.0
2004-01-01,Historical,PT_Cultural Psychiatry Interventions,Cultural Psychiatry Interventions,PT,0.0
2004-01-01,Historical,PT_Deep Brain Stimulation,Deep Brain Stimulation,PT,0.3319189945276903
2004-01-01,Historical,PT_Dialectical Behavior Therapy,Dialectical Behavior Therapy,PT,0.2554228103302735
2004-01-01,Historical,PT_Dietary Interventions And Supplements,Dietary Interventions And Supplements,PT,0.0
2004-01-01,Historical,PT_Digital Health Tools,Digital Health Tools,PT,0.15143829250896348
2004-01-01,Historical,PT_Digital Imaging Technologies For Brain Scanning,Digital Imaging Technologies For Brain Scanning,PT,0.0
2004-01-01,Historical,PT_Digital Phenotyping,Digital Phenotyping,PT,0.29887451688671784
2004-01-01,Historical,PT_Digital Therapeutics,Digital Therapeutics,PT,0.0
2004-01-01,Historical,PT_Electroconvulsive Therapy,Electroconvulsive Therapy,PT,0.0
2004-01-01,Historical,PT_Electroencephalography,Electroencephalography,PT,0.2385871745318671
2004-01-01,Historical,PT_Emdr Therapy,Emdr Therapy,PT,0.2525337060517172
2004-01-01,Historical,PT_Emotion Regulation Training,Emotion Regulation Training,PT,0.0
2004-01-01,Historical,PT_Expressive Writing And Journaling,Expressive Writing And Journaling,PT,0.2300687158633514
2004-01-01,Historical,PT_Fecal Microbiota Transplant,Fecal Microbiota Transplant,PT,0.0
2004-01-01,Historical,PT_Focused Ultrasound Therapy,Focused Ultrasound Therapy,PT,0.0
2004-01-01,Historical,PT_Hypnotherapy,Hypnotherapy,PT,0.15606884612063962
2004-01-01,Historical,PT_Immunotherapy For Neuropsychiatric Disorders,Immunotherapy For Neuropsychiatric Disorders,PT,0.3319189945276903
2004-01-01,Historical,PT_Interpersonal Psychotherapy,Interpersonal Psychotherapy,PT,0.28907289335544595
2004-01-01,Historical,PT_Ketamine Therapy,Ketamine Therapy,PT,0.0
2004-01-01,Historical,PT_Light Therapy,Light Therapy,PT,0.30564963685834934
2004-01-01,Historical,PT_Lithium Therapy,Lithium Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Machine Learning Neuroimaging,Machine Learning Neuroimaging,PT,0.0
2004-01-01,Historical,PT_Meditation And Relaxation Techniques,Meditation And Relaxation Techniques,PT,0.3319189945276903
2004-01-01,Historical,PT_Memory Retrieval Techniques,Memory Retrieval Techniques,PT,0.0
2004-01-01,Historical,PT_Mentalization Based Treatment,Mentalization Based Treatment,PT,0.3077796719336457
2004-01-01,Historical,PT_Metabolic And Enzyme Targeted Therapy,Metabolic And Enzyme Targeted Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Metaverse,Metaverse,PT,0.0
2004-01-01,Historical,PT_Mindfulness Based Stress Reduction,Mindfulness Based Stress Reduction,PT,0.18682115951302766
2004-01-01,Historical,PT_Mood Stabilizers,Mood Stabilizers,PT,0.3240926958660879
2004-01-01,Historical,PT_Motivational Interviewing,Motivational Interviewing,PT,0.32562011292816245
2004-01-01,Historical,PT_Music Therapy,Music Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Naltrexone,Naltrexone,PT,0.3319189945276903
2004-01-01,Historical,PT_Narrative Exposure Therapy,Narrative Exposure Therapy,PT,0.3319189945276903
2004-01-01,Historical,PT_Neurobiological Assessments For Mental Disorders,Neurobiological Assessments For Mental Disorders,PT,0.0
2004-01-01,Historical,PT_Neurocognitive Training,Neurocognitive Training,PT,0.0
2004-01-01,Historical,PT_Neurofeedback Systems,Neurofeedback Systems,PT,0.0
2004-01-01,Historical,PT_Neuromodulation Techniques,Neuromodulation Techniques,PT,0.1698946166308802
2004-01-01,Historical,PT_Neuroplasticity Techniques,Neuroplasticity Techniques,PT,0.3319189945276903
2004-01-01,Historical,PT_Neuroprotective Agents,Neuroprotective Agents,PT,0.2662693014830259
2004-01-01,Historical,PT_Occupational Therapy,Occupational Therapy,PT,0.29539830518333
2004-01-01,Historical,PT_Oxytocin Therapy,Oxytocin Therapy,PT,0.0
2004-01-01,Historical,PT_Personalized Medicine,Personalized Medicine,PT,0.13565506200318142
2004-01-01,Historical,PT_Pharmacogenomic Testing,Pharmacogenomic Testing,PT,0.0
2004-01-01,Historical,PT_Privacy Preserving Ai In Digital Mental Health,Privacy Preserving AI In Digital Mental Health,PT,0.0
2004-01-01,Historical,PT_Prolonged Exposure Therapy,Prolonged Exposure Therapy,PT,0.0
2004-01-01,Historical,PT_Psilocybin Assisted Therapy,Psilocybin Assisted Therapy,PT,0.0
2004-01-01,Historical,PT_Psychoeducation Programs,Psychoeducation Programs,PT,0.3319189945276903
