rmd_name,pt_name,rank,rank_by,forecast_mean_raw,normalization_denominator
RMD_Anorexia Nervosa,PT_Closed Loop Neurostimulation,1,coupling,20.026578227949962,1.0
RMD_Anorexia Nervosa,PT_Transcranial Direct Current Stimulation,2,coupling,32.27736119849385,1.0
RMD_Anorexia Nervosa,PT_Electroconvulsive Therapy,3,coupling,20.87111237528387,1.0
RMD_Anorexia Nervosa,PT_Digital Phenotyping,4,coupling,17.591852332470925,1.0
RMD_Anorexia Nervosa,PT_Neuroprotective Agents,5,coupling,41.7172712620327,1.0
RMD_Anorexia Nervosa,PT_Hypnotherapy,6,coupling,11.816733332088559,1.0
RMD_Anorexia Nervosa,PT_Social Skills Training,7,coupling,32.019623837354395,1.0
RMD_Anorexia Nervosa,PT_Stimulant And Wake Promoting Agents,8,coupling,25.02093435276346,1.0
RMD_Antisocial Personality Disorder,PT_Transcranial Direct Current Stimulation,1,coupling,32.27736119849385,1.0
RMD_Antisocial Personality Disorder,PT_Electroconvulsive Therapy,2,coupling,20.87111237528387,1.0
RMD_Antisocial Personality Disorder,PT_Machine Learning Neuroimaging,3,coupling,12.871072064790562,1.0
RMD_Antisocial Personality Disorder,PT_Immunotherapy For Neuropsychiatric Disorders,4,coupling,9.781975905506505,1.0
RMD_Antisocial Personality Disorder,PT_Hypnotherapy,5,coupling,11.816733332088559,1.0
RMD_Antisocial Personality Disorder,PT_Neuroprotective Agents,6,coupling,41.7172712620327,1.0
RMD_Antisocial Personality Disorder,PT_Stimulant And Wake Promoting Agents,7,coupling,25.02093435276346,1.0
RMD_Antisocial Personality Disorder,PT_Social Skills Training,8,coupling,32.019623837354395,1.0
RMD_Autosarcophagy,PT_Animal Assisted Therapy,1,coupling,6.123684375853989,1.0
RMD_Autosarcophagy,PT_Narrative Exposure Therapy,2,coupling,41.83577893306703,1.0
RMD_Autosarcophagy,PT_Naltrexone,3,coupling,14.856798968418369,1.0
RMD_Autosarcophagy,PT_Art Therapy,4,coupling,5.905425901174663,1.0
RMD_Autosarcophagy,PT_Immunotherapy For Neuropsychiatric Disorders,5,coupling,9.781975905506505,1.0
RMD_Autosarcophagy,PT_Transference Focused Psychotherapy,6,coupling,9.78525111494212,1.0
RMD_Autosarcophagy,PT_Electroconvulsive Therapy,7,coupling,20.87111237528387,1.0
RMD_Autosarcophagy,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Avoidant Personality Disorder,PT_Machine Learning Neuroimaging,1,coupling,12.871072064790562,1.0
RMD_Avoidant Personality Disorder,PT_Cbt For Insomnia,2,coupling,3.1444966207426286,1.0
RMD_Avoidant Personality Disorder,PT_Immunotherapy For Neuropsychiatric Disorders,3,coupling,9.781975905506505,1.0
RMD_Avoidant Personality Disorder,PT_Hypnotherapy,4,coupling,11.816733332088559,1.0
RMD_Avoidant Personality Disorder,PT_Naltrexone,5,coupling,14.856798968418369,1.0
RMD_Avoidant Personality Disorder,PT_Electroconvulsive Therapy,6,coupling,20.87111237528387,1.0
RMD_Avoidant Personality Disorder,PT_Neuroprotective Agents,7,coupling,41.7172712620327,1.0
RMD_Avoidant Personality Disorder,PT_Social Skills Training,8,coupling,32.019623837354395,1.0
RMD_Boanthropy,PT_Acceptance And Commitment Therapy,1,coupling,42.896103035021284,1.0
RMD_Boanthropy,PT_Digital Phenotyping,2,coupling,17.591852332470925,1.0
RMD_Boanthropy,PT_Digital Therapeutics,3,coupling,14.738358545936071,1.0
RMD_Boanthropy,PT_Trauma Focused Cbt,4,coupling,6.870253205870837,1.0
RMD_Boanthropy,PT_Occupational Therapy,5,coupling,58.45976545235784,1.0
RMD_Boanthropy,PT_Anxiolytic Medications,6,coupling,109.31999976192185,1.0
RMD_Boanthropy,PT_Virtual Reality Exposure Therapy,7,coupling,17.508885678634304,1.0
RMD_Boanthropy,PT_Vocal And Speech Biomarkers,8,coupling,0.27303934603075597,1.0
RMD_Body Integrity Dysphoria,PT_Psilocybin Assisted Therapy,1,coupling,1.5116545299868869,1.0
RMD_Body Integrity Dysphoria,PT_Sleep Pattern Monitoring And Manipulation,2,coupling,0.11823454036116218,1.0
RMD_Body Integrity Dysphoria,PT_Stem Cell Therapy For Neurological Disorders,3,coupling,10.485430877818404,1.0
RMD_Body Integrity Dysphoria,PT_Neuromodulation Techniques,4,coupling,9.307442484062893,1.0
RMD_Body Integrity Dysphoria,PT_Cognitive Assistive Technologies,5,coupling,0.15619568582647772,1.0
RMD_Body Integrity Dysphoria,PT_Traditional And Alternative Medicine Approaches,6,coupling,17.56052735219998,1.0
RMD_Body Integrity Dysphoria,PT_Interpersonal Psychotherapy,7,coupling,14.501139380206732,1.0
