set,bin_left,bin_right,count,density
raw,0.0,0.05,210,0.14736842105263157
raw,0.05,0.1,1,0.0007017543859649122
raw,0.1,0.15000000000000002,0,0.0
raw,0.15000000000000002,0.2,0,0.0
raw,0.2,0.25,2,0.0014035087719298245
raw,0.25,0.30000000000000004,0,0.0
raw,0.30000000000000004,0.35000000000000003,0,0.0
raw,0.35000000000000003,0.4,1,0.0007017543859649122
raw,0.4,0.45,0,0.0
raw,0.45,0.5,0,0.0
raw,0.5,0.55,1,0.0007017543859649122
raw,0.55,0.6000000000000001,0,0.0
raw,0.6000000000000001,0.65,1,0.0007017543859649122
raw,0.65,0.7000000000000001,1,0.0007017543859649122
raw,0.7000000000000001,0.75,0,0.0
raw,0.75,0.8,1,0.0007017543859649122
raw,0.8,0.8500000000000001,1,0.0007017543859649122
raw,0.8500000000000001,0.9,1,0.0007017543859649122
raw,0.9,0.9500000000000001,9,0.00631578947368421
raw,0.9500000000000001,1.0,1196,0.8392982456140351
recalibrated,0.0,0.05,122,0.0856140350877193
recalibrated,0.05,0.1,18,0.01263157894736842
recalibrated,0.1,0.15000000000000002,12,0.008421052631578947
recalibrated,0.15000000000000002,0.2,6,0.004210526315789474
recalibrated,0.2,0.25,18,0.01263157894736842
recalibrated,0.25,0.30000000000000004,5,0.0035087719298245615
recalibrated,0.30000000000000004,0.35000000000000003,9,0.00631578947368421
recalibrated,0.35000000000000003,0.4,14,0.009824561403508772
recalibrated,0.4,0.45,6,0.004210526315789474
recalibrated,0.45,0.5,4,0.002807017543859649
recalibrated,0.5,0.55,12,0.008421052631578947
recalibrated,0.55,0.6000000000000001,27,0.018947368421052633
recalibrated,0.6000000000000001,0.65,16,0.011228070175438596
recalibrated,0.65,0.7000000000000001,6,0.004210526315789474
recalibrated,0.7000000000000001,0.75,18,0.01263157894736842
recalibrated,0.75,0.8,17,0.011929824561403509
recalibrated,0.8,0.8500000000000001,19,0.013333333333333334
recalibrated,0.8500000000000001,0.9,30,0.021052631578947368
recalibrated,0.9,0.9500000000000001,43,0.030175438596491227
recalibrated,0.9500000000000001,1.0,1023,0.7178947368421053
