node,hop,propagated_mean_variance,amplification_ratio
Global_Disaster_Total,1,1.6686424709658723,2185.8616234731626
Global_Holidays_Average,1,1.6685253485154128,800709.3933811187
Global_Holidays_Total,1,1.6688859752826333,711.3272509876374
PT_Animal-Assisted Interventions,1,0.007204976008862866,0.20408163264728063
PT_Antidepressants,1,0.035549402236938484,0.20408163265188967
PT_Antipsychotic Medications,1,0.005354760784883889,0.20408163264528326
PT_Behavioral Activation Therapy,1,0.05880134446280344,0.20408163265235296
PT_Benzodiazepines,1,0.008255546646458764,0.20408163264801626
PT_Biofeedback Devices,1,6.599701158179694e-06,0.20408162634227375
PT_Brain Stimulation Technologies,1,1.7592321121494992e-05,0.20408163028559015
PT_Brain-Computer Interface,1,0.001211448059398301,0.20408163261868145
PT_Cognitive Behavioral Therapy,1,0.013766033308846612,0.20408163265003573
PT_Cognitive Enhancement Programs,1,8.424090268892209e-08,0.204081138247012
PT_Cognitive Technologies,1,0.0072429998188602695,0.204081632647311
PT_Creative Arts Therapies,1,0.0027391215672298358,0.2040816326378559
PT_Dietary Interventions & Supplements,1,9.465316461686673e-07,0.2040815886510419
PT_Digital Health Tools,1,0.05799646280249772,0.20408163265234314
PT_Digital Imaging Technologies for Brain Scanning,1,9.736589961495176e-07,0.2040815898769926
PT_Electroencephalography,1,0.09335109165736609,0.2040816326526151
PT_Exposure Therapy,1,0.2446238511712385,23.442479899746154
PT_Expressive Writing & Journaling,1,0.3274617672319362,2838.98904594501
PT_Eye Movement Desensitization and Reprocessing,1,0.3278432878085331,165.17737819283133
PT_Genetic Testing,1,0.32828521096635827,79.10069975222707
PT_Interpersonal Psychotherapy,1,0.32764725428999975,319.89583189096584
PT_Meditation and Relaxation Techniques,1,0.0001272497750932769,0.20408163232575763
PT_Metaverse,1,0.7777083163358729,0.20408163265300772
PT_Mindfulness-Based Stress Reduction,1,0.016308765934438123,0.20408163265050744
PT_Mood Stabilizers,1,0.605800968814316,0.44414295610017274
PT_Neurocognitive Training,1,8.733010594257896e-05,0.2040816321761431
PT_Neurofeedback Systems,1,1.4351430114142466e-06,0.20408160363204625
PT_Neuromodulation Techniques,1,0.0006125652592401116,0.20408163258506962
PT_Neuroprotective Agents,1,0.3275453643692177,623.9310255824
PT_Peer Support Programs & Online Communities,1,1.710321172669531e-08,0.20407919750716685
PT_Personalized Medicine,1,0.6664282935006279,0.20408163265299878
PT_Privacy-Preserving AI in Digital Mental Health,1,0.000957738589115289,0.2040816326095741
PT_Psychoeducation Programs,1,5.7800355776004044e-05,0.20408163193248935
PT_Psychophysiological Metrics for Treatment Response,1,0.00016039143535023445,0.20408163239338836
PT_Regenerative Medicine Approaches,1,6.231721086731675e-05,0.20408163198471757
PT_Resting-state Functional Magnetic Resonance Imaging,1,0.04752276503309912,0.20408163265218485
PT_Selective Serotonin Reuptake Inhibitors,1,0.10599251912564649,0.20408163265266832
PT_Social Skills Training,1,8.486893198189175e-07,0.20408158357820924
PT_Stem Cell Therapy for Neurological Disorders,1,0.000344364290904938,0.20408163253211575
PT_Traditional & Alternative Medicine Approaches,1,0.03438047304445384,0.2040816326518498
PT_Transcranial Magnetic Stimulation,1,0.020811499989762602,0.20408163265106
PT_Trauma-Focused CBT,1,0.31996346618689125,229.17845463529784
PT_Virtual Reality Exposure Therapy,1,0.08507171595244602,135.91970603693818
PT_Voxel-based Lesion-Symptom Mapping,1,0.007788156185356177,55.82816190304601
RMD_Anorexia nervosa,1,0.025865621104532357,0.204081632651451
RMD_Antisocial Personality Disorder,1,0.008590360533217996,0.20408163264821289
RMD_Autosarcophagy,1,0.00039483465691458213,0.2040816325475758
RMD_Avoidant Personality,1,0.026439878405356897,0.204081632651486
RMD_Boanthropy,1,0.042666263726292834,0.2040816326520851
RMD_Body Integrity Dysphoria,1,0.0005545902864209243,0.20408163257796197
RMD_Brief Psychotic,1,0.016600547396406835,0.2040816326505523
RMD_Capgras,1,0.002292713948658535,0.20408163263489532
RMD_Childhood Disintegrative Disorder,1,0.0015293813443609645,0.2040816326258284
RMD_Circadian Rhythm Sleep-Wake,1,3.726027100537049e-05,0.20408163153526712
RMD_Cyclothymic,1,0.005712029429114596,0.20408163264576976
RMD_Delusional,1,0.08661997561552089,0.20408163265258045
RMD_Dementia pugilistica,1,0.048617136721708344,0.20408163265220458
RMD_Diogenes,1,0.003046485576398518,0.20408163263938991
RMD_Disinhibited Social Engagement,1,0.0029765259550542243,0.2040816326390686
RMD_Dissociative Fugue,1,0.0010936635983537656,0.20408163261497886
RMD_Ekbom,1,0.010109337768992598,0.20408163264894133
RMD_Erotomanic,1,0.00556127795455407,0.20408163264557203
RMD_Factitious,1,0.008668432734450515,0.2040816326482565
RMD_Fregoli Delusion,1,0.008742944622526363,0.20408163264829746
RMD_Ganser,1,0.010686592788112405,0.20408163264916385
RMD_Hallucinogen-Induced Psychotic,1,0.1365376856862282,0.20408163265275617
RMD_Histrionic Personality,1,0.001517895000929735,0.20408163262562234
RMD_Hypergraphia,1,0.00511251009848653,0.2040816326449147
RMD_Hyperthymesia,1,0.29940748701290204,0.20408163265292206
RMD_Impulse Control,1,0.001283582604053069,0.2040816326206135
RMD_Intermetamorphosis,1,0.0001314141412208579,0.20408163233612947
RMD_Kleine-Levin,1,0.0006282081998580572,0.20408163258676262
RMD_Kleptomania,1,0.009275050643755464,0.20408163264857074
RMD_Landau-Kleffner,1,9.948379426662409e-05,0.20408163223440695
RMD_Narcissistic Personality,1,0.007080609853170355,0.20408163264717905
RMD_Olfactory Reference,1,0.12239789476200025,0.20408163265272095
RMD_Othello,1,0.0194406159678284,0.2040816326509188
RMD_Palilalia,1,0.04480470199974215,0.2040816326521316
RMD_Paramnesia,1,0.0008678728980677468,0.2040816326050711
RMD_Postpartum Psychosis,1,0.0011997445657545205,0.20408163261834603
RMD_Psychogenic Amnesia,1,0.008920401750878527,0.209708610918814
RMD_Pyromania,1,0.6772853474300354,41.024987457986626
RMD_Reactive Attachment,1,0.6776661108719678,36.880121099436515
RMD_Reduplicative Paramnesia,1,0.6869495943565377,10.756461146606751
RMD_Rumination,1,0.6884349299401272,9.676906312546759
RMD_Savant,1,0.01605921557971409,0.2040816326504677
RMD_Schizoaffective,1,0.04331331802519255,0.20521568338279905
RMD_Schizotypal Personality,1,0.0046358590887299565,0.21519229309553073
RMD_Selective Mutism,1,0.67868806405757,29.02558865430552
RMD_Stendhal,1,0.681563297468751,18.18906393381688
RMD_Walking Corpse,1,0.6750956388985246,116.80822264125051
RMD_koro,1,0.6783055934443388,31.536924387619504
Global_Disaster_Total,2,1.414734950821277,1853.251903984211
Global_Holidays_Average,2,1.4147169319827448,678909.1561730247
Global_Holidays_Total,2,1.4147724130238557,603.0167346567658
PT_Animal-Assisted Interventions,2,0.001470403267114871,0.04164931278515932
PT_Antidepressants,2,0.0072549800483547935,0.041649312786099936
PT_Antipsychotic Medications,2,0.0010928083234456917,0.04164931278475169
PT_Behavioral Activation Therapy,2,0.01200027438016397,0.04164931278619449
PT_Benzodiazepines,2,0.0016848054380528092,0.04164931278530945
PT_Biofeedback Devices,2,1.3468777873836112e-06,0.04164931149842322
PT_Brain Stimulation Technologies,2,3.5902696166316317e-06,0.04164931230318167
PT_Brain-Computer Interface,2,0.00024723429783638797,0.04164931277932275
PT_Cognitive Behavioral Therapy,2,0.0028093945528258396,0.04164931278572158
PT_Cognitive Enhancement Programs,2,1.7192020956922878e-08,0.04164921188714531
PT_Cognitive Technologies,2,0.0014781632283388307,0.04164931278516551
PT_Creative Arts Therapies,2,0.0005590044014754768,0.0416493127832359
PT_Dietary Interventions & Supplements,2,1.9316972370789132e-07,0.04164930380633509
PT_Digital Health Tools,2,0.01183601281683627,0.04164931278619248
