node,mean_variance,mean_ci_95
Global_Disaster_Total,0.0007633797358721495,0.0075622666627168655
Global_Holidays_Average,2.0838078853557818e-06,0.0003949072561226785
Global_Holidays_Total,0.002346157794818282,0.01326131820678711
PT_Animal-Assisted Interventions,0.03530438244342804,0.05017518997192383
PT_Antidepressants,0.17419207096099854,0.11442174017429352
PT_Antipsychotic Medications,0.026238327845931053,0.044217534363269806
PT_Behavioral Activation Therapy,0.2881265878677368,0.1376214623451233
PT_Benzodiazepines,0.040452178567647934,0.054745037108659744
PT_Biofeedback Devices,3.233853567508049e-05,0.001553396345116198
PT_Brain Stimulation Technologies,8.620237349532545e-05,0.0025347918272018433
PT_Brain-Computer Interface,0.005936095491051674,0.02086665853857994
PT_Cognitive Behavioral Therapy,0.06745356321334839,0.07062461972236633
PT_Cognitive Enhancement Programs,4.1278042317571817e-07,0.0001746758644003421
PT_Cognitive Technologies,0.035490699112415314,0.051510147750377655
PT_Creative Arts Therapies,0.013421695679426193,0.03128233179450035
PT_Dietary Interventions & Supplements,4.638005066226469e-06,0.0005860722158104181
PT_Digital Health Tools,0.28418266773223877,0.140289306640625
PT_Digital Imaging Technologies for Brain Scanning,4.7709290811326355e-06,0.0005957873072475195
PT_Electroencephalography,0.45742034912109375,0.18030387163162231
PT_Exposure Therapy,0.010435067117214203,0.027726994827389717
PT_Expressive Writing & Journaling,0.0001153444973169826,0.0029301047325134277
PT_Eye Movement Desensitization and Reprocessing,0.0019847953226417303,0.012150943279266357
PT_Genetic Testing,0.0041502187959849834,0.01734142191708088
PT_Interpersonal Psychotherapy,0.001024231081828475,0.008715550415217876
PT_Meditation and Relaxation Techniques,0.0006235238979570568,0.006752295419573784
PT_Metaverse,3.8107707500457764,0.5179221630096436
PT_Mindfulness-Based Stress Reduction,0.0799129530787468,0.07687939703464508
PT_Mood Stabilizers,1.3639774322509766,0.3115619122982025
PT_Neurocognitive Training,0.00042791751911863685,0.005594829563051462
PT_Neurofeedback Systems,7.032200755929807e-06,0.0007242916617542505
PT_Neuromodulation Techniques,0.0030015697702765465,0.014866252429783344
PT_Neuroprotective Agents,0.0005249704699963331,0.006163054145872593
PT_Peer Support Programs & Online Communities,8.3805737460807e-08,7.847473898436874e-05
PT_Personalized Medicine,3.265498638153076,0.486145555973053
PT_Privacy-Preserving AI in Digital Mental Health,0.004692919086664915,0.018375826999545097
PT_Psychoeducation Programs,0.0002832217433024198,0.004611266776919365
PT_Psychophysiological Metrics for Treatment Response,0.0007859180332161486,0.007632103282958269
PT_Regenerative Medicine Approaches,0.00030535433324985206,0.00477472273632884
PT_Resting-state Functional Magnetic Resonance Imaging,0.23286154866218567,0.12997275590896606
PT_Selective Serotonin Reuptake Inhibitors,0.5193633437156677,0.18940469622612
PT_Social Skills Training,4.158577667112695e-06,0.0005529042682610452
PT_Stem Cell Therapy for Neurological Disorders,0.001687385025434196,0.011175506748259068
PT_Traditional & Alternative Medicine Approaches,0.1684643179178238,0.1092362105846405
PT_Transcranial Magnetic Stimulation,0.10197634994983673,0.08676210790872574
PT_Trauma-Focused CBT,0.0013961324002593756,0.010138888843357563
PT_Virtual Reality Exposure Therapy,0.0006258968496695161,0.006858461536467075
